chunk_index,start_byte,timestamp_ms,formatted_time,lat,lon,accuracy_m
8,2097152,1769612035023,09:53:55.023,42.3448023,-71.0825832,16.659
9,2359296,1769612035480,09:53:55.480,42.3448023,-71.0825832,16.659
10,2621440,1769612035912,09:53:55.912,42.3448023,-71.0825832,16.659
11,2883584,1769612036387,09:53:56.387,42.3448023,-71.0825832,16.659
12,3145728,1769612036819,09:53:56.819,42.3448023,-71.0825832,16.659
13,3407872,1769612037228,09:53:57.228,42.3448023,-71.0825832,16.659
14,3670016,1769612037605,09:53:57.605,42.3448023,-71.0825832,16.659
15,3932160,1769612037922,09:53:57.922,42.3448023,-71.0825832,16.659
16,4194304,1769612038381,09:53:58.381,42.3448023,-71.0825832,16.659
17,4456448,1769612038777,09:53:58.777,42.3448023,-71.0825832,16.659
18,4718592,1769612039162,09:53:59.162,42.3448023,-71.0825832,16.659
19,4980736,1769612039526,09:53:59.526,42.3448023,-71.0825832,16.659
20,5242880,1769612040012,09:54:00.012,42.3448023,-71.0825832,16.659
21,5505024,1769612040432,09:54:00.432,42.3448023,-71.0825832,16.659
22,5767168,1769612040805,09:54:00.805,42.3448023,-71.0825832,16.659
23,6029312,1769612041211,09:54:01.211,42.3448023,-71.0825832,16.659
24,6291456,1769612041638,09:54:01.638,42.3448023,-71.0825832,16.659
25,6553600,1769612042146,09:54:02.146,42.3448023,-71.0825832,16.659
26,6815744,1769612042565,09:54:02.565,42.3448023,-71.0825832,16.659
27,7077888,1769612042989,09:54:02.989,42.3448023,-71.0825832,16.659
28,7340032,1769612043646,09:54:03.646,42.3448023,-71.0825832,16.659
29,7602176,1769612044200,09:54:04.200,42.3448023,-71.0825832,16.659
30,7864320,1769612044786,09:54:04.786,42.3448023,-71.0825832,16.659
31,8126464,1769612045275,09:54:05.275,42.3448023,-71.0825832,16.659
32,8388608,1769612046000,09:54:06.000,42.3448023,-71.0825832,16.659
33,8650752,1769612046829,09:54:06.829,42.3448023,-71.0825832,16.659
34,8912896,1769612047301,09:54:07.301,42.3448023,-71.0825832,16.659
35,9175040,1769612047789,09:54:07.789,42.3448023,-71.0825832,16.659
36,9437184,1769612048210,09:54:08.210,42.3448023,-71.0825832,16.659
37,9699328,1769612048772,09:54:08.772,42.3448023,-71.0825832,16.659
38,9961472,1769612049424,09:54:09.424,42.3448023,-71.0825832,16.659
39,10223616,1769612050045,09:54:10.045,42.3448023,-71.0825832,16.659
40,10485760,1769612050528,09:54:10.528,42.3448023,-71.0825832,16.659
41,10747904,1769612050964,09:54:10.964,42.3448023,-71.0825832,16.659
42,11010048,1769612051673,09:54:11.673,42.3448023,-71.0825832,16.659
43,11272192,1769612052336,09:54:12.336,42.3448023,-71.0825832,16.659
44,11534336,1769612052746,09:54:12.746,42.3448023,-71.0825832,16.659
45,11796480,1769612053096,09:54:13.096,42.3448023,-71.0825832,16.659
46,12058624,1769612053545,09:54:13.545,42.3448023,-71.0825832,16.659
47,12320768,1769612053900,09:54:13.900,42.3448023,-71.0825832,16.659
48,12582912,1769612054273,09:54:14.273,42.3448023,-71.0825832,16.659
49,12845056,1769612054635,09:54:14.635,42.3448023,-71.0825832,16.659
50,13107200,1769612055200,09:54:15.200,42.3448023,-71.0825832,16.659
51,13369344,1769612055650,09:54:15.650,42.3448023,-71.0825832,16.659
52,13631488,1769612056002,09:54:16.002,42.3448023,-71.0825832,16.659
53,13893632,1769612056395,09:54:16.395,42.3448023,-71.0825832,16.659
54,14155776,1769612056848,09:54:16.848,42.3448023,-71.0825832,16.659
55,14417920,1769612057269,09:54:17.269,42.3448023,-71.0825832,16.659
56,14680064,1769612057642,09:54:17.642,42.3448023,-71.0825832,16.659
57,14942208,1769612058071,09:54:18.071,42.3448023,-71.0825832,16.659
58,15204352,1769612058450,09:54:18.450,42.3448023,-71.0825832,16.659
59,15466496,1769612058770,09:54:18.770,42.3448023,-71.0825832,16.659
60,15728640,1769612059150,09:54:19.150,42.3448023,-71.0825832,16.659
61,15990784,1769612059586,09:54:19.586,42.3448023,-71.0825832,16.659
62,16252928,1769612059990,09:54:19.990,42.3448023,-71.0825832,16.659
63,16515072,1769612060338,09:54:20.338,42.3448023,-71.0825832,16.659
64,16777216,1769612060709,09:54:20.709,42.3448023,-71.0825832,16.659
65,17039360,1769612061116,09:54:21.116,42.3448023,-71.0825832,16.659
66,17301504,1769612061477,09:54:21.477,42.3448023,-71.0825832,16.659
67,17563648,1769612061831,09:54:21.831,42.3448023,-71.0825832,16.659
68,17825792,1769612062273,09:54:22.273,42.3448023,-71.0825832,16.659
69,18087936,1769612062687,09:54:22.687,42.3448023,-71.0825832,16.659
70,18350080,1769612063082,09:54:23.082,42.3448023,-71.0825832,16.659
71,18612224,1769612063472,09:54:23.472,42.3448023,-71.0825832,16.659
72,18874368,1769612063905,09:54:23.905,42.3448023,-71.0825832,16.659
73,19136512,1769612064457,09:54:24.457,42.3448023,-71.0825832,16.659
74,19398656,1769612064861,09:54:24.861,42.3448023,-71.0825832,16.659
75,19660800,1769612065297,09:54:25.297,42.3448023,-71.0825832,16.659
76,19922944,1769612065733,09:54:25.733,42.3448023,-71.0825832,16.659
77,20185088,1769612066104,09:54:26.104,42.3448023,-71.0825832,16.659
78,20447232,1769612066513,09:54:26.513,42.3448023,-71.0825832,16.659
79,20709376,1769612066954,09:54:26.954,42.3448023,-71.0825832,16.659
80,20971520,1769612067418,09:54:27.418,42.3448023,-71.0825832,16.659
81,21233664,1769612067779,09:54:27.779,42.3448023,-71.0825832,16.659
82,21495808,1769612068163,09:54:28.163,42.3448023,-71.0825832,16.659
83,21757952,1769612068577,09:54:28.577,42.3448023,-71.0825832,16.659
84,22020096,1769612068957,09:54:28.957,42.3448023,-71.0825832,16.659
85,22282240,1769612069308,09:54:29.308,42.3448023,-71.0825832,16.659
86,22544384,1769612069804,09:54:29.804,42.3448023,-71.0825832,16.659
87,22806528,1769612070218,09:54:30.218,42.3448023,-71.0825832,16.659
88,23068672,1769612070648,09:54:30.648,42.3448023,-71.0825832,16.659
89,23330816,1769612070998,09:54:30.998,42.3448023,-71.0825832,16.659
90,23592960,1769612071350,09:54:31.350,42.3448023,-71.0825832,16.659
91,23855104,1769612071714,09:54:31.714,42.3448023,-71.0825832,16.659
92,24117248,1769612072049,09:54:32.049,42.3448023,-71.0825832,16.659
93,24379392,1769612072588,09:54:32.588,42.3448023,-71.0825832,16.659
94,24641536,1769612073027,09:54:33.027,42.3448023,-71.0825832,16.659
95,24903680,1769612073497,09:54:33.497,42.3448023,-71.0825832,16.659
96,25165824,1769612073915,09:54:33.915,42.3448023,-71.0825832,16.659
97,25427968,1769612074330,09:54:34.330,42.3448023,-71.0825832,16.659
98,25690112,1769612074754,09:54:34.754,42.3448023,-71.0825832,16.659
99,25952256,1769612075376,09:54:35.376,42.3448023,-71.0825832,16.659
100,26214400,1769612075831,09:54:35.831,42.3448023,-71.0825832,16.659
101,26476544,1769612076244,09:54:36.244,42.3448023,-71.0825832,16.659
102,26738688,1769612076693,09:54:36.693,42.3448023,-71.0825832,16.659
103,27000832,1769612077253,09:54:37.253,42.3448023,-71.0825832,16.659
104,27262976,1769612077866,09:54:37.866,42.3448023,-71.0825832,16.659
105,27525120,1769612078334,09:54:38.334,42.3448023,-71.0825832,16.659
106,27787264,1769612078700,09:54:38.700,42.3448023,-71.0825832,16.659
107,28049408,1769612079150,09:54:39.150,42.3448023,-71.0825832,16.659
108,28311552,1769612079664,09:54:39.664,42.3448023,-71.0825832,16.659
109,28573696,1769612080023,09:54:40.023,42.3448023,-71.0825832,16.659
110,28835840,1769612080375,09:54:40.375,42.3448023,-71.0825832,16.659
111,29097984,1769612080724,09:54:40.724,42.3448023,-71.0825832,16.659
112,29360128,1769612081076,09:54:41.076,42.3448023,-71.0825832,16.659
113,29622272,1769612081429,09:54:41.429,42.3448023,-71.0825832,16.659
114,29884416,1769612081777,09:54:41.777,42.3448023,-71.0825832,16.659
115,30146560,1769612082193,09:54:42.193,42.3448023,-71.0825832,16.659
116,30408704,1769612082526,09:54:42.526,42.3448023,-71.0825832,16.659
117,30670848,1769612083125,09:54:43.125,42.3448023,-71.0825832,16.659
118,30932992,1769612083559,09:54:43.559,42.3448023,-71.0825832,16.659
119,31195136,1769612083909,09:54:43.909,42.3448023,-71.0825832,16.659
120,31457280,1769612084316,09:54:44.316,42.3448023,-71.0825832,16.659
121,31719424,1769612084780,09:54:44.780,42.3448023,-71.0825832,16.659
122,31981568,1769612085177,09:54:45.177,42.3448023,-71.0825832,16.659
123,32243712,1769612085508,09:54:45.508,42.3448023,-71.0825832,16.659
124,32505856,1769612086027,09:54:46.027,42.3448023,-71.0825832,16.659
125,32768000,1769612086462,09:54:46.462,42.3448023,-71.0825832,16.659
126,33030144,1769612086791,09:54:46.791,42.3448023,-71.0825832,16.659
127,33292288,1769612087139,09:54:47.139,42.3448023,-71.0825832,16.659
128,33554432,1769612087525,09:54:47.525,42.3448023,-71.0825832,16.659
129,33816576,1769612087980,09:54:47.980,42.3448023,-71.0825832,16.659
130,34078720,1769612088339,09:54:48.339,42.3448023,-71.0825832,16.659
131,34340864,1769612088691,09:54:48.691,42.3448023,-71.0825832,16.659
132,34603008,1769612089042,09:54:49.042,42.3448023,-71.0825832,16.659
133,34865152,1769612089430,09:54:49.430,42.3448023,-71.0825832,16.659
134,35127296,1769612089812,09:54:49.812,42.3448023,-71.0825832,16.659
135,35389440,1769612090208,09:54:50.208,42.3448023,-71.0825832,16.659
136,35651584,1769612090606,09:54:50.606,42.3448023,-71.0825832,16.659
137,35913728,1769612090956,09:54:50.956,42.3448023,-71.0825832,16.659
138,36175872,1769612091307,09:54:51.307,42.3448023,-71.0825832,16.659
139,36438016,1769612091727,09:54:51.727,42.3448023,-71.0825832,16.659
140,36700160,1769612092116,09:54:52.116,42.3448023,-71.0825832,16.659
141,36962304,1769612092544,09:54:52.544,42.3448023,-71.0825832,16.659
142,37224448,1769612092989,09:54:52.989,42.3448023,-71.0825832,16.659
143,37486592,1769612093411,09:54:53.411,42.3448023,-71.0825832,16.659
144,37748736,1769612093883,09:54:53.883,42.3448023,-71.0825832,16.659
145,38010880,1769612094283,09:54:54.283,42.3448023,-71.0825832,16.659
146,38273024,1769612094624,09:54:54.624,42.3448023,-71.0825832,16.659
147,38535168,1769612094974,09:54:54.974,42.3448023,-71.0825832,16.659
