pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz
31,1769128134.649152517,37,0,50:92:84:67:D9:B6,8E89BED6,GOOGLE,b6d9678492500201061916aafe41808d1f5380f818f9708687cfcb10327973d720d19b,-23521.612601,2875.064362,-23521.612299,349376.059463,276693.483317,0.986180,54.755221,1.000000,-10315.309408,21.803413,472222.222222,360.000000,2138.892578,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-48615.148438,-11102.541992,482752,483472,-39596.276125,-36291.674185,27925.538070,-46264.777357
32,1769128134.688387394,37,0,50:92:84:67:D9:B6,8E89BED6,GOOGLE,b6d9678492500201061916aafe41808d1f5380f818f9708687cfcb10327973d720d19b,-24045.935645,2743.644736,-24045.936746,348509.953891,282323.729527,0.988035,53.457978,1.000000,-10523.046061,21.779964,472222.222222,360.000000,2137.174072,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-48615.148438,-11177.109375,482753,483473,-34046.250564,-9059.894960,-8366.989297,-48399.607456
38,1769128134.957564354,37,0,4B:7E:DD:03:C0:83,8E89BED6,GOOGLE,83c003dd7e4b0201061916aafe41cbd4a13a948f7824f7268c885a931d5b631e839e73,-681.310416,2300.278303,-681.309298,361828.225034,276722.299285,1.029949,37.085938,0.500000,5901.648644,22.609131,486111.111111,360.000000,14055.468750,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-9748.700195,-1283.438110,556158,556878,-26602.789711,26718.400667,-10641.437213,3795.772090
39,1769128135.006387472,37,0,4B:7E:DD:03:C0:83,8E89BED6,GOOGLE,83c003dd7e4b0201061916aafe41cbd4a13a948f7824f7268c885a931d5b631e839e73,-512.432976,2486.539790,-512.432093,361074.784145,268057.210932,1.031280,36.842449,0.500000,5740.482387,22.632271,486111.111111,360.000000,14079.435547,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-8106.213379,-1209.928589,556159,556879,-29742.654087,3101.579156,-4563.294101,20894.632034
49,1769128135.066569805,37,2,EC:C8:8D:12:D9:77,8E89BED6,APPLE,77d9128dc8ec1eff4c001219ffd3c050dc90dffb73786dc210b34aa9fee66d96c3ed9300ff,-10411.504142,9581.931401,-10411.504139,231194.373494,187947.533472,1.066249,30.599301,1.000000,15528.782626,23.011639,364361.702128,376.000000,1209.040405,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4687.140625,9250.119141,742709,743461,-38430.888025,20598.430411,-46895.636960,7345.698728
50,1769128135.113504887,37,2,EC:C8:8D:12:D9:77,8E89BED6,APPLE,77d9128dc8ec1eff4c001219ffd3c050dc90dffb73786dc210b34aa9fee66d96c3ed9300ff,-10693.190056,9554.829274,-10693.190977,230642.184357,199092.304272,1.064037,30.992614,1.000000,15383.451189,22.986780,364361.702128,376.000000,1228.424194,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4489.431641,9128.450195,742710,743462,-7263.425772,9370.581616,-65447.561669,5524.453629
55,1769128135.153333187,37,0,DA:64:BC:6D:F0:FE,8E89BED6,APPLE,fef06dbc64da1eff4c00121920adbfc31d49e140c794f046b7573c1127dd67959b925401fe,6337.386024,10779.366861,6337.385549,295813.327848,250221.438676,0.954278,73.834355,103.500000,-1945.760227,21.045544,242021.276596,376.000000,4092.906006,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-44587.957031,-50587.546875,780914,781666,21410.592754,12212.250742,12552.977961,-34413.556143
58,1769128135.204370975,37,0,DA:08:C5:B7:04:F7,8E89BED6,APPLE,f704b7c508da1eff4c0012191057768ed391a246b1558fd0cddcb979bebc45a1b9a53c00a5,-6199.175680,3081.235280,-6199.174591,355714.687223,270843.235944,0.914883,79.394532,2.000000,16821.696403,22.040932,271276.595745,376.000000,552.729126,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1829.057983,1728.656494,831866,832618,15022.601047,-25670.399817,-22603.695191,19890.165347
59,1769128135.252302170,37,0,DA:08:C5:B7:04:F7,8E89BED6,APPLE,f704b7c508da1eff4c0012191057768ed391a246b1558fd0cddcb979bebc45a1b9a53c00a5,-6449.050047,2763.733924,-6449.051466,355544.493292,282421.893651,0.916949,79.242939,2.000000,16683.957485,22.006063,271276.595745,376.000000,625.576294,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1829.057983,1563.944458,831867,832619,9743.171536,-37835.372837,4217.540506,5054.540122
76,1769128135.533170700,37,0,E5:80:FD:45:9B:E9,8E89BED6,TILE,e99b45fd80e50201060d16edfe0200334597731dd502120303edfe,-829.488367,8314.102887,-829.485996,287865.020695,220361.659974,1.077417,-4.588856,0.500000,-10975.504331,21.086001,445945.945946,296.000000,8145.046875,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,13046.268555,-5920.523926,1123089,1123681,-14284.480655,50482.943337,3730.079924,-45321.000872
