chunk_index,start_byte,timestamp_ms,formatted_time,lat,lon,accuracy_m
1,262144,1769570394611,22:19:54.611,42.3448023,-71.0825832,16.659
2,524288,1769570394771,22:19:54.771,42.3448023,-71.0825832,16.659
3,786432,1769570395063,22:19:55.063,42.3448023,-71.0825832,16.659
4,1048576,1769570395414,22:19:55.414,42.3448023,-71.0825832,16.659
5,1310720,1769570395764,22:19:55.764,42.3448023,-71.0825832,16.659
6,1572864,1769570396114,22:19:56.114,42.3448023,-71.0825832,16.659
7,1835008,1769570396573,22:19:56.573,42.3448023,-71.0825832,16.659
8,2097152,1769570397029,22:19:57.029,42.3448023,-71.0825832,16.659
9,2359296,1769570397458,22:19:57.458,42.3448023,-71.0825832,16.659
10,2621440,1769570398054,22:19:58.054,42.3448023,-71.0825832,16.659
11,2883584,1769570398608,22:19:58.608,42.3448023,-71.0825832,16.659
12,3145728,1769570399088,22:19:59.088,42.3448023,-71.0825832,16.659
13,3407872,1769570399452,22:19:59.452,42.3448023,-71.0825832,16.659
14,3670016,1769570399886,22:19:59.886,42.3448023,-71.0825832,16.659
15,3932160,1769570400403,22:20:00.403,42.3448023,-71.0825832,16.659
16,4194304,1769570400916,22:20:00.916,42.3448023,-71.0825832,16.659
17,4456448,1769570401362,22:20:01.362,42.3448023,-71.0825832,16.659
18,4718592,1769570401937,22:20:01.937,42.3448023,-71.0825832,16.659
19,4980736,1769570402480,22:20:02.480,42.3448023,-71.0825832,16.659
20,5242880,1769570402940,22:20:02.940,42.3448023,-71.0825832,16.659
21,5505024,1769570403401,22:20:03.401,42.3448023,-71.0825832,16.659
22,5767168,1769570403910,22:20:03.910,42.3448023,-71.0825832,16.659
23,6029312,1769570404420,22:20:04.420,42.3448023,-71.0825832,16.659
24,6291456,1769570404948,22:20:04.948,42.3448023,-71.0825832,16.659
25,6553600,1769570405396,22:20:05.396,42.3448023,-71.0825832,16.659
26,6815744,1769570405942,22:20:05.942,42.3448023,-71.0825832,16.659
27,7077888,1769570406616,22:20:06.616,42.3448023,-71.0825832,16.659
28,7340032,1769570407185,22:20:07.185,42.3448023,-71.0825832,16.659
29,7602176,1769570407690,22:20:07.690,42.3448023,-71.0825832,16.659
30,7864320,1769570408247,22:20:08.247,42.3448023,-71.0825832,16.659
31,8126464,1769570408711,22:20:08.711,42.3448023,-71.0825832,16.659
32,8388608,1769570409006,22:20:09.006,42.3448023,-71.0825832,16.659
33,8650752,1769570409360,22:20:09.360,42.3448023,-71.0825832,16.659
34,8912896,1769570409708,22:20:09.708,42.3448023,-71.0825832,16.659
35,9175040,1769570410062,22:20:10.062,42.3448023,-71.0825832,16.659
36,9437184,1769570410435,22:20:10.435,42.3448023,-71.0825832,16.659
37,9699328,1769570410854,22:20:10.854,42.3448023,-71.0825832,16.659
38,9961472,1769570411234,22:20:11.234,42.3448023,-71.0825832,16.659
39,10223616,1769570411578,22:20:11.578,42.3448023,-71.0825832,16.659
40,10485760,1769570411928,22:20:11.928,42.3448023,-71.0825832,16.659
41,10747904,1769570412303,22:20:12.303,42.3448023,-71.0825832,16.659
42,11010048,1769570412653,22:20:12.653,42.3448023,-71.0825832,16.659
43,11272192,1769570413004,22:20:13.004,42.3448023,-71.0825832,16.659
44,11534336,1769570413369,22:20:13.369,42.3448023,-71.0825832,16.659
45,11796480,1769570413712,22:20:13.712,42.3448023,-71.0825832,16.659
46,12058624,1769570414061,22:20:14.061,42.3448023,-71.0825832,16.659
47,12320768,1769570414412,22:20:14.412,42.3448023,-71.0825832,16.659
48,12582912,1769570414763,22:20:14.763,42.3448023,-71.0825832,16.659
49,12845056,1769570415114,22:20:15.114,42.3448023,-71.0825832,16.659
50,13107200,1769570415553,22:20:15.553,42.3448023,-71.0825832,16.659
51,13369344,1769570416033,22:20:16.033,42.3448023,-71.0825832,16.659
52,13631488,1769570416441,22:20:16.441,42.3448023,-71.0825832,16.659
53,13893632,1769570416911,22:20:16.911,42.3448023,-71.0825832,16.659
54,14155776,1769570417330,22:20:17.330,42.3448023,-71.0825832,16.659
55,14417920,1769570417745,22:20:17.745,42.3448023,-71.0825832,16.659
56,14680064,1769570418095,22:20:18.095,42.3448023,-71.0825832,16.659
57,14942208,1769570418482,22:20:18.482,42.3448023,-71.0825832,16.659
58,15204352,1769570418888,22:20:18.888,42.3448023,-71.0825832,16.659
59,15466496,1769570419342,22:20:19.342,42.3448023,-71.0825832,16.659
60,15728640,1769570419777,22:20:19.777,42.3448023,-71.0825832,16.659
61,15990784,1769570420120,22:20:20.120,42.3448023,-71.0825832,16.659
62,16252928,1769570420473,22:20:20.473,42.3448023,-71.0825832,16.659
63,16515072,1769570420824,22:20:20.824,42.3448023,-71.0825832,16.659
64,16777216,1769570421194,22:20:21.194,42.3448023,-71.0825832,16.659
65,17039360,1769570421617,22:20:21.617,42.3448023,-71.0825832,16.659
66,17301504,1769570422049,22:20:22.049,42.3448023,-71.0825832,16.659
67,17563648,1769570422308,22:20:22.308,42.3448023,-71.0825832,16.659
68,17825792,1769570422661,22:20:22.661,42.3448023,-71.0825832,16.659
69,18087936,1769570423076,22:20:23.076,42.3448023,-71.0825832,16.659
70,18350080,1769570423491,22:20:23.491,42.3448023,-71.0825832,16.659
71,18612224,1769570423854,22:20:23.854,42.3448023,-71.0825832,16.659
72,18874368,1769570424193,22:20:24.193,42.3448023,-71.0825832,16.659
73,19136512,1769570424570,22:20:24.570,42.3448023,-71.0825832,16.659
74,19398656,1769570424894,22:20:24.894,42.3448023,-71.0825832,16.659
75,19660800,1769570425243,22:20:25.243,42.3448023,-71.0825832,16.659
76,19922944,1769570425600,22:20:25.600,42.3448023,-71.0825832,16.659
77,20185088,1769570425945,22:20:25.945,42.3448023,-71.0825832,16.659
78,20447232,1769570426324,22:20:26.324,42.3448023,-71.0825832,16.659
79,20709376,1769570426737,22:20:26.737,42.3448023,-71.0825832,16.659
80,20971520,1769570427118,22:20:27.118,42.3448023,-71.0825832,16.659
81,21233664,1769570427453,22:20:27.453,42.3448023,-71.0825832,16.659
82,21495808,1769570427869,22:20:27.869,42.3448023,-71.0825832,16.659
83,21757952,1769570428335,22:20:28.335,42.3448023,-71.0825832,16.659
84,22020096,1769570428840,22:20:28.840,42.3448023,-71.0825832,16.659
85,22282240,1769570429203,22:20:29.203,42.3448023,-71.0825832,16.659
86,22544384,1769570429619,22:20:29.619,42.3448023,-71.0825832,16.659
87,22806528,1769570430140,22:20:30.140,42.3448023,-71.0825832,16.659
88,23068672,1769570430810,22:20:30.810,42.3448023,-71.0825832,16.659
89,23330816,1769570431310,22:20:31.310,42.3448023,-71.0825832,16.659
90,23592960,1769570431660,22:20:31.660,42.3448023,-71.0825832,16.659
91,23855104,1769570432262,22:20:32.262,42.3448023,-71.0825832,16.659
92,24117248,1769570432763,22:20:32.763,42.3448023,-71.0825832,16.659
93,24379392,1769570433334,22:20:33.334,42.3448023,-71.0825832,16.659
94,24641536,1769570433679,22:20:33.679,42.3448023,-71.0825832,16.659
