src_file,cluster,dev_type,segments,duration_cov,duration_span,persistence_s,unique_macs,core_mac_density_scaled,adv_mac_pct,gt_frac,dur_ok,unique_ok,dens_ok,decision_ok,k_chosen
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,0,TAG_APPLE,7,1800.0,,185.13912773132324,7,0.9622605868381953,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,1,TAG_APPLE,4,1800.0,,358.64673376083374,4,0.673831132721416,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,2,TAG_APPLE,1,1800.0,,0.0,1,0.0,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,0,TAG_APPLE,18,1800.0,,352.3816866874695,18,0.7062944698686017,0.0,0.0,False,True,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,2,TAG_APPLE,4,1800.0,,246.15244150161743,4,0.3057423056953105,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,1,TAG_APPLE,1,1800.0,,357.3513927459717,1,0.0,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,1,TAG_APPLE,13,1800.0,,278.2814075946808,13,0.7268182744737128,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,0,TAG_APPLE,4,1800.0,,304.55597186088573,4,0.5555764006042816,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,2,TAG_APPLE,6,1800.0,,353.97419142723083,6,0.39608859373111494,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,3,TAG_TILE,1,1800.0,,0.0,1,0.0,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,4,TAG_TILE,1,1800.0,,7.492622375488281,1,0.0,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,5,TAG_TILE,1,1800.0,,6.2887756824494545,1,0.0,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,0,TAG_APPLE,4,1800.0,,265.16797161102306,4,0.4601988627298924,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,1,TAG_APPLE,1,1800.0,,306.60781407356274,1,0.0,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,2,TAG_APPLE,2,1800.0,,24.738246440887337,2,0.0,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,0,TAG_APPLE,3,1800.0,,175.59019684791565,3,0.28651730957002325,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,1,TAG_APPLE,2,1800.0,,275.1006419658661,2,0.0,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,2,TAG_APPLE,1,1800.0,,56.08947801589966,1,0.0,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,1,TAG_APPLE,4,1800.0,,177.30106115341187,4,0.9125362198993701,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,2,TAG_APPLE,5,3600.0,,325.74194550514153,5,0.6154912110517499,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,0,TAG_APPLE,9,3600.0,,253.03495693206787,9,0.5728040234422263,0.0,0.0,False,False,False,False,3
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,2,TAG_APPLE,3,1800.0,,244.5100266933439,3,0.48972662930056493,0.0,0.0,False,False,False,False,3
