src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.25,pass_dens_ge_0.5,pass_dens_ge_0.75,pass_dens_ge_1.0,pass_dens_ge_1.25,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0,pass_dens_ge_2.5,pass_dens_ge_3.0
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,2,TAG_APPLE,15,1800.0,15,,,,1.0914073241475757,0.0,0.0,10.0,10.0,10s,10s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,0,TAG_APPLE,19,1800.0,19,,,,0.9877063970518569,0.0,0.0,10.0,900.0,10s,15min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,1,TAG_APPLE,12,1800.0,12,,,,1.0480778482764628,0.0,0.0,10.0,60.0,10s,1min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,2,TAG_APPLE,16,1800.0,16,,,,0.9871317475903931,0.0,0.0,10.0,2.0,10s,2s,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,0,TAG_APPLE,15,1800.0,15,,,,0.899997962456489,0.0,0.0,10.0,30.0,10s,30s,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-5min.csv,0,TAG_APPLE,14,1800.0,14,,,,1.9204392645851516,0.0,0.0,10.0,300.0,10s,5min,True,True,True,True,True,True,True,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-15s_rot-10s.csv,0,TAG_APPLE,33,1800.0,33,,,,0.9010716445956496,0.0,0.0,15.0,10.0,15s,10s,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-15s_rot-15min.csv,0,TAG_APPLE,13,1800.0,13,,,,1.0908424019423,0.0,0.0,15.0,900.0,15s,15min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-15s_rot-1min.csv,2,TAG_APPLE,14,1800.0,14,,,,0.9801813577920022,0.0,0.0,15.0,60.0,15s,1min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-15s_rot-2s.csv,2,TAG_APPLE,15,1800.0,15,,,,1.1107032854979153,0.0,0.0,15.0,2.0,15s,2s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-15s_rot-30s.csv,1,TAG_APPLE,19,1800.0,19,,,,0.9512975413300423,0.0,0.0,15.0,30.0,15s,30s,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-15s_rot-5min.csv,1,TAG_APPLE,12,1800.0,12,,,,1.2031220873028077,0.0,0.0,15.0,300.0,15s,5min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-1min_rot-10s.csv,2,TAG_APPLE,16,1800.0,16,,,,0.9482006525128758,0.0,0.0,60.0,10.0,1min,10s,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-1min_rot-15min.csv,1,TAG_APPLE,15,1800.0,15,,,,1.0047521074187253,0.0,0.0,60.0,900.0,1min,15min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-1min_rot-1min.csv,2,TAG_APPLE,16,1800.0,16,,,,0.9362886069911779,0.0,0.0,60.0,60.0,1min,1min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-1min_rot-2s.csv,0,TAG_APPLE,15,1800.0,15,,,,1.3214909442868024,0.0,0.0,60.0,2.0,1min,2s,True,True,True,True,True,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-1min_rot-30s.csv,2,TAG_APPLE,14,1800.0,14,,,,1.0125818225806769,0.0,0.0,60.0,30.0,1min,30s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-1min_rot-5min.csv,3,TAG_APPLE,6,1800.0,6,,,,0.9411314931312939,0.0,0.0,60.0,300.0,1min,5min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-2s_rot-10s.csv,0,TAG_APPLE,23,1800.0,23,,,,0.8320436190940729,0.0,0.0,2.0,10.0,2s,10s,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-2s_rot-15min.csv,0,TAG_APPLE,20,1800.0,20,,,,0.9970829578180662,0.0,0.0,2.0,900.0,2s,15min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-2s_rot-1min.csv,1,TAG_APPLE,22,1800.0,22,,,,1.0156944551584952,0.0,0.0,2.0,60.0,2s,1min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-2s_rot-2s.csv,0,TAG_APPLE,39,1800.0,39,,,,0.8775002239722761,0.0,0.0,2.0,2.0,2s,2s,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-2s_rot-30s.csv,1,TAG_APPLE,17,1800.0,17,,,,0.7975690786947073,0.0,0.0,2.0,30.0,2s,30s,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-2s_rot-5min.csv,0,TAG_APPLE,19,1800.0,19,,,,1.022769795447109,0.0,0.0,2.0,300.0,2s,5min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-30s_rot-10s.csv,3,TAG_APPLE,11,1800.0,11,,,,1.3427719585220554,0.0,0.0,30.0,10.0,30s,10s,True,True,True,True,True,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-30s_rot-15min.csv,1,TAG_APPLE,14,1800.0,14,,,,1.180323607915622,0.0,0.0,30.0,900.0,30s,15min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-30s_rot-1min.csv,2,TAG_APPLE,15,1800.0,15,,,,1.013682719295905,0.0,0.0,30.0,60.0,30s,1min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-30s_rot-2s.csv,0,TAG_APPLE,20,1800.0,20,,,,1.361483294995943,0.0,0.0,30.0,2.0,30s,2s,True,True,True,True,True,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-30s_rot-30s.csv,2,TAG_APPLE,18,1800.0,18,,,,0.946193637071974,0.0,0.0,30.0,30.0,30s,30s,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-30s_rot-5min.csv,0,TAG_APPLE,11,1800.0,11,,,,0.9494971480402664,0.0,0.0,30.0,300.0,30s,5min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-10s_rot-10s.csv,2,TAG_APPLE,18,1800.0,18,,,,1.2101740608141094,0.0,0.0,10.0,10.0,10s,10s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-10s_rot-15min.csv,0,TAG_APPLE,15,1800.0,15,,,,1.0188040317971396,0.0,0.0,10.0,900.0,10s,15min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-10s_rot-1min.csv,2,TAG_APPLE,19,1800.0,19,,,,1.1483421897773554,0.0,0.0,10.0,60.0,10s,1min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-10s_rot-2s.csv,2,TAG_APPLE,17,1800.0,17,,,,1.0606055839151713,0.0,0.0,10.0,2.0,10s,2s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-10s_rot-30s.csv,2,TAG_APPLE,19,1800.0,19,,,,1.192970152388873,0.0,0.0,10.0,30.0,10s,30s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-10s_rot-5min.csv,1,TAG_APPLE,17,1800.0,17,,,,0.9241924694403878,0.0,0.0,10.0,300.0,10s,5min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-15s_rot-10s.csv,0,TAG_APPLE,18,1800.0,18,,,,1.1406869663085095,0.0,0.0,15.0,10.0,15s,10s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-15s_rot-15min.csv,1,TAG_APPLE,17,1800.0,17,,,,0.9662388016531254,0.0,0.0,15.0,900.0,15s,15min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-15s_rot-1min.csv,0,TAG_APPLE,17,1800.0,17,,,,1.1029799006876393,0.0,0.0,15.0,60.0,15s,1min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-15s_rot-2s.csv,2,TAG_APPLE,16,1800.0,16,,,,1.150912427848258,0.0,0.0,15.0,2.0,15s,2s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-15s_rot-30s.csv,0,TAG_APPLE,21,1800.0,21,,,,1.099156538670208,0.0,0.0,15.0,30.0,15s,30s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-15s_rot-5min.csv,0,TAG_APPLE,15,1800.0,15,,,,1.0369345728014643,0.0,0.0,15.0,300.0,15s,5min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-1min_rot-10s.csv,1,TAG_APPLE,18,1800.0,18,,,,1.076225187963031,0.0,0.0,60.0,10.0,1min,10s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-1min_rot-15min.csv,1,TAG_APPLE,17,1800.0,17,,,,0.9682260651464119,0.0,0.0,60.0,900.0,1min,15min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-1min_rot-1min.csv,2,TAG_APPLE,16,1800.0,16,,,,1.1496770529988625,0.0,0.0,60.0,60.0,1min,1min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-1min_rot-2s.csv,2,TAG_APPLE,4,1800.0,4,,,,1.0957837455650037,0.0,0.0,60.0,2.0,1min,2s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-1min_rot-30s.csv,2,TAG_APPLE,15,1800.0,15,,,,1.2438019095552142,0.0,0.0,60.0,30.0,1min,30s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-1min_rot-5min.csv,0,TAG_APPLE,16,1800.0,16,,,,1.0210050889072007,0.0,0.0,60.0,300.0,1min,5min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-2s_rot-10s.csv,0,TAG_APPLE,27,1800.0,27,,,,1.0594870455486036,0.0,0.0,2.0,10.0,2s,10s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-2s_rot-15min.csv,0,TAG_APPLE,22,1800.0,22,,,,0.9230586824522073,0.0,0.0,2.0,900.0,2s,15min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-2s_rot-1min.csv,2,TAG_APPLE,17,1800.0,17,,,,1.1036791582363519,0.0,0.0,2.0,60.0,2s,1min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-2s_rot-2s.csv,2,TAG_APPLE,15,1800.0,15,,,,1.2351295154434663,0.0,0.0,2.0,2.0,2s,2s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-2s_rot-30s.csv,0,TAG_APPLE,19,1800.0,19,,,,1.1784638098145532,0.0,0.0,2.0,30.0,2s,30s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-2s_rot-5min.csv,0,TAG_APPLE,16,1800.0,16,,,,1.0366237857622689,0.0,0.0,2.0,300.0,2s,5min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-30s_rot-10s.csv,1,TAG_APPLE,14,1800.0,14,,,,1.093466316116843,0.0,0.0,30.0,10.0,30s,10s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-30s_rot-15min.csv,0,TAG_APPLE,24,1800.0,24,,,,0.923687792589391,0.0,0.0,30.0,900.0,30s,15min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-30s_rot-1min.csv,2,TAG_APPLE,18,1800.0,18,,,,1.155800835719442,0.0,0.0,30.0,60.0,30s,1min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-30s_rot-2s.csv,0,TAG_APPLE,26,1800.0,26,,,,1.0588765643593938,0.0,0.0,30.0,2.0,30s,2s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-30s_rot-30s.csv,0,TAG_APPLE,27,1800.0,27,,,,1.021943654120428,0.0,0.0,30.0,30.0,30s,30s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-30s_rot-5min.csv,1,TAG_APPLE,23,1800.0,23,,,,0.9694023677253959,0.0,0.0,30.0,300.0,30s,5min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-10s_rot-10s.csv,2,TAG_APPLE,6,1800.0,6,,,,0.44331852591571724,1.0,1.0,10.0,10.0,10s,10s,True,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-10s_rot-15min.csv,1,TAG_APPLE,6,1800.0,6,,,,0.477850519043932,0.1875,0.16666666666666666,10.0,900.0,10s,15min,True,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-10s_rot-1min.csv,1,TAG_APPLE,17,1800.0,17,,,,0.7560401799692817,0.6944444444444444,0.8235294117647058,10.0,60.0,10s,1min,True,True,True,False,False,False,False,False,False,False
