src_file,cluster,dev_type,segments,duration_cov,duration_span,persistence_s,unique_macs,core_mac_density_scaled,adv_mac_pct,gt_frac,dur_ok,unique_ok,dens_ok,uniform_ok,decision_ok,k_chosen,win_entropy_norm
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,0,TAG_APPLE,30,1800.0,,1799.7590000000057,30,0.773708491605844,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,2,TAG_APPLE,8,1800.0,,1798.4640000000072,8,0.7313782315611445,0.0,0.0,True,False,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,1,TAG_APPLE,25,1800.0,,1795.1820000000007,25,0.7286749855965479,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,2,TAG_APPLE,15,1800.0,,1797.964000000008,15,1.0914073241475757,0.0,0.0,True,True,True,False,True,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,1,TAG_APPLE,18,1800.0,,1791.696000000011,18,0.8558770914647778,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,0,TAG_APPLE,35,1800.0,,1746.6359999999981,35,0.5590626880451423,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,0,TAG_APPLE,4,1800.0,,71.27400000000489,4,0.5629421032106886,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,1,TAG_APPLE,2,1800.0,,73.08900000000722,2,0.0,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,2,TAG_APPLE,2,1800.0,,50.69499999999334,2,0.0,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,3,TAG_APPLE,1,1800.0,,54.447000000000116,1,0.0,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,4,TAG_APPLE,2,1800.0,,47.5850000000064,2,0.0,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-10s.csv,5,TAG_APPLE,2,1800.0,,53.18399999999383,2,0.0,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,0,TAG_APPLE,22,1800.0,,1799.7590000000057,22,0.7809174327652487,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,2,TAG_APPLE,7,1800.0,,1798.4640000000072,7,0.721586167040967,0.0,0.0,True,False,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,1,TAG_APPLE,10,1800.0,,1783.949999999997,10,0.7080837038144372,0.0,0.0,True,False,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,0,TAG_APPLE,19,1800.0,,1797.964000000008,19,0.9877063970518569,0.0,0.0,True,True,True,False,True,4,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,1,TAG_APPLE,11,1800.0,,1773.5420000000013,11,0.86686687182937,0.0,0.0,True,False,False,False,False,4,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,2,TAG_APPLE,2,1800.0,,1491.7320000000038,2,0.0,0.0,0.0,False,False,False,False,False,4,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,3,TAG_APPLE,2,1800.0,,1289.2160000000003,2,0.0,0.0,0.0,False,False,False,False,False,4,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,0,TAG_APPLE,4,1800.0,,71.27400000000489,4,0.5626112159999853,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,1,TAG_APPLE,2,1800.0,,45.955000000001746,2,0.0,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,2,TAG_APPLE,2,1800.0,,73.08900000000722,2,0.0,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,3,TAG_APPLE,1,1800.0,,0.0,1,0.0,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,4,TAG_APPLE,1,1800.0,,68.63500000000886,1,0.0,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-15min.csv,5,TAG_APPLE,2,1800.0,,53.18399999999383,2,0.0,0.0,0.0,False,False,False,False,False,6,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,1,TAG_APPLE,12,1800.0,,1594.5810000000056,12,1.0480778482764628,0.0,0.0,True,False,True,False,True,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,0,TAG_APPLE,29,1800.0,,1799.7590000000057,29,0.7589265513399768,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,2,TAG_APPLE,9,1800.0,,1798.4640000000072,9,0.7045587956674257,0.0,0.0,True,False,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,0,TAG_APPLE,27,1800.0,,1797.964000000008,27,0.8522396873463779,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,1,TAG_APPLE,15,1800.0,,1634.8720000000033,15,0.6964542316040359,0.0,0.0,True,True,False,False,False,3,
