src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.5,pass_dens_ge_0.7,pass_dens_ge_0.9,pass_dens_ge_1.1,pass_dens_ge_1.3,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-10s_rot-5min.csv,2,TAG_APPLE,12,3600.0,12,,,,6.666666622222222,1.0,1.0,10.0,300.0,10s,5min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-15s_rot-5min.csv,2,TAG_APPLE,11,3600.0,11,,,,5.239015764622931,1.0,1.0,15.0,300.0,15s,5min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-1min.csv,2,TAG_APPLE,52,3600.0,52,,,,6.053229714039906,1.0,1.0,2.0,60.0,2s,1min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-1min_rot-10s.csv,1,TAG_APPLE,44,3600.0,44,,,,2.9416865749137613,1.0,1.0,60.0,10.0,1min,10s,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-5min.csv,2,TAG_APPLE,11,3600.0,11,,,,6.666666622222222,1.0,1.0,2.0,300.0,2s,5min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-1min_rot-5min.csv,2,TAG_APPLE,10,3600.0,10,,,,1.5825836201082493,1.0,1.0,60.0,300.0,1min,5min,True,True,True,True,True,True,False,False
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-5min.csv,2,TAG_APPLE,11,3600.0,11,,,,4.363742493403822,1.0,1.0,30.0,300.0,30s,5min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-15s_rot-15min.csv,2,TAG_APPLE,3,3600.0,3,,,,2.924445994973438,1.0,1.0,15.0,900.0,15s,15min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-30s.csv,2,TAG_APPLE,73,3600.0,73,,,,3.7049835420228185,1.0,1.0,30.0,30.0,30s,30s,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-30s.csv,1,TAG_APPLE,103,3600.0,103,,,,4.575233826322231,1.0,1.0,2.0,30.0,2s,30s,True,True,True,True,True,True,True,True
