src_file,periodic,block_s,step_s,n_blocks,periodic_min_persistence_s,confirmed_any,persist_confirmed,strict_any,n_tracks,gt_adv_mac_count,t0,ttd_confirm_time,blocks
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-10s_rot-5min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,2,15,0.0131299495697021,6600.01312994957,"[{'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-10s_rot-5min.csv', 'n_segments': 123, 'gt_adv_mac_count': 12, 'n_clusters': 3, 'n_ranked': 3, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.0131299495697021, 'block_end': 3600.0131299495697}, {'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-10s_rot-5min.csv', 'n_segments': 120, 'gt_adv_mac_count': 5, 'n_clusters': 6, 'n_ranked': 6, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.0131299495697, 'block_end': 6600.01312994957}]"
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-15s_rot-5min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,2,15,0.0131299495697021,6600.01312994957,"[{'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-15s_rot-5min.csv', 'n_segments': 122, 'gt_adv_mac_count': 12, 'n_clusters': 3, 'n_ranked': 3, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.0131299495697021, 'block_end': 3600.0131299495697}, {'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-15s_rot-5min.csv', 'n_segments': 119, 'gt_adv_mac_count': 5, 'n_clusters': 6, 'n_ranked': 6, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.0131299495697, 'block_end': 6600.01312994957}]"
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-1min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,2,72,0.0131299495697021,6600.01312994957,"[{'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-1min.csv', 'n_segments': 152, 'gt_adv_mac_count': 60, 'n_clusters': 3, 'n_ranked': 3, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.0131299495697021, 'block_end': 3600.0131299495697}, {'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-1min.csv', 'n_segments': 131, 'gt_adv_mac_count': 22, 'n_clusters': 6, 'n_ranked': 6, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.0131299495697, 'block_end': 6600.01312994957}]"
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-1min_rot-10s.csv,True,3600.0,3000.0,2,3600.0,True,True,True,2,69,0.0131299495697021,6600.01312994957,"[{'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-1min_rot-10s.csv', 'n_segments': 153, 'gt_adv_mac_count': 58, 'n_clusters': 3, 'n_ranked': 3, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.0131299495697021, 'block_end': 3600.0131299495697}, {'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-1min_rot-10s.csv', 'n_segments': 130, 'gt_adv_mac_count': 20, 'n_clusters': 6, 'n_ranked': 6, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.0131299495697, 'block_end': 6600.01312994957}]"
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-5min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,2,15,0.0131299495697021,6600.01312994957,"[{'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-5min.csv', 'n_segments': 122, 'gt_adv_mac_count': 12, 'n_clusters': 3, 'n_ranked': 3, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.0131299495697021, 'block_end': 3600.0131299495697}, {'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-5min.csv', 'n_segments': 118, 'gt_adv_mac_count': 5, 'n_clusters': 6, 'n_ranked': 6, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.0131299495697, 'block_end': 6600.01312994957}]"
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-1min_rot-5min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,2,15,0.0131299495697021,6600.01312994957,"[{'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-1min_rot-5min.csv', 'n_segments': 120, 'gt_adv_mac_count': 12, 'n_clusters': 3, 'n_ranked': 3, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.0131299495697021, 'block_end': 3600.0131299495697}, {'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-1min_rot-5min.csv', 'n_segments': 119, 'gt_adv_mac_count': 5, 'n_clusters': 6, 'n_ranked': 6, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.0131299495697, 'block_end': 6600.01312994957}]"
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-5min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,2,15,0.0131299495697021,6600.01312994957,"[{'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-5min.csv', 'n_segments': 123, 'gt_adv_mac_count': 12, 'n_clusters': 3, 'n_ranked': 3, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.0131299495697021, 'block_end': 3600.0131299495697}, {'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-5min.csv', 'n_segments': 119, 'gt_adv_mac_count': 5, 'n_clusters': 6, 'n_ranked': 6, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.0131299495697, 'block_end': 6600.01312994957}]"
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-15s_rot-15min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,2,5,0.0131299495697021,6600.01312994957,"[{'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-15s_rot-15min.csv', 'n_segments': 116, 'gt_adv_mac_count': 4, 'n_clusters': 3, 'n_ranked': 3, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.0131299495697021, 'block_end': 3600.0131299495697}, {'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-15s_rot-15min.csv', 'n_segments': 116, 'gt_adv_mac_count': 2, 'n_clusters': 6, 'n_ranked': 6, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.0131299495697, 'block_end': 6600.01312994957}]"
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-30s.csv,True,3600.0,3000.0,2,3600.0,True,True,True,2,131,0.0131299495697021,6600.01312994957,"[{'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-30s.csv', 'n_segments': 187, 'gt_adv_mac_count': 110, 'n_clusters': 3, 'n_ranked': 3, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.0131299495697021, 'block_end': 3600.0131299495697}, {'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-30s.csv', 'n_segments': 144, 'gt_adv_mac_count': 39, 'n_clusters': 6, 'n_ranked': 6, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.0131299495697, 'block_end': 6600.01312994957}]"
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-30s.csv,True,3600.0,3000.0,2,3600.0,True,True,True,2,144,0.0131299495697021,6600.01312994957,"[{'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-30s.csv', 'n_segments': 201, 'gt_adv_mac_count': 120, 'n_clusters': 3, 'n_ranked': 3, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.0131299495697021, 'block_end': 3600.0131299495697}, {'src_file': 'controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-30s.csv', 'n_segments': 148, 'gt_adv_mac_count': 44, 'n_clusters': 6, 'n_ranked': 6, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.0131299495697, 'block_end': 6600.01312994957}]"
