src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.25,pass_dens_ge_0.5,pass_dens_ge_0.75,pass_dens_ge_1.0,pass_dens_ge_1.25,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0,pass_dens_ge_2.5,pass_dens_ge_3.0
controlled/SDR_Adv/airport.csv,2,TAG_GOOGLE,48,1800.0,48,,1.0,1.6,0.9080106107836599,0.0,0.0,,,,,True,True,True,False,False,False,False,False,False,False
controlled/SDR_Adv/nycab.csv,1,TAG_APPLE,1,1800.0,1,,1.0,0.03333333333333333,6.666666622222222,0.0,0.0,,,,,True,True,True,True,True,True,True,True,True,True
controlled/SDR_Adv/prud1_jan21_ivy.csv,7,TAG_TILE,1,1800.0,1,,1.0,0.03333333333333333,6.666666622222222,0.0,0.0,,,,,True,True,True,True,True,True,True,True,True,True
controlled/SDR_Adv/prud2_jan21_ivy.csv,5,TAG_GOOGLE,1,1800.0,1,,1.0,0.03333333333333333,6.666666622222222,0.0,0.0,,,,,True,True,True,True,True,True,True,True,True,True
controlled/SDR_Adv/scenarios_SDR_Adv__adv0_apple0_google0_samsung0_tile0__20260125_050505/background_only.csv,2,TAG_APPLE,1,1800.0,1,,1.0,0.03333333333333333,6.666666622222222,0.0,0.0,,,,,True,True,True,True,True,True,True,True,True,True
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-10s.csv,6,TAG_APPLE,2,1800.0,2,,1.0,0.06666666666666667,0.47962841233467807,1.0,1.0,10.0,10.0,10s,10s,True,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-15min.csv,4,TAG_APPLE,1,1800.0,1,,1.0,0.03333333333333333,6.666666622222222,1.0,1.0,10.0,900.0,10s,15min,True,True,True,True,True,True,True,True,True,True
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-1min.csv,1,TAG_APPLE,4,3600.0,4,1.0,1.0,0.06666666666666667,0.49144129997310537,0.7142857142857143,1.0,10.0,60.0,10s,1min,True,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-2s.csv,2,TAG_APPLE,2,1800.0,2,,1.0,0.06666666666666667,0.4888903678357999,1.0,1.0,10.0,2.0,10s,2s,True,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-30s.csv,1,TAG_APPLE,10,3600.0,7,0.5714285714285714,0.5714285714285714,0.11666666666666667,0.40301755495156244,0.6571428571428571,1.0,10.0,30.0,10s,30s,True,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-5min.csv,1,TAG_APPLE,2,3600.0,2,1.0,1.0,0.03333333333333333,0.3492260621824934,1.0,1.0,10.0,300.0,10s,5min,True,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-10s.csv,1,TAG_APPLE,4,1800.0,4,,1.0,0.13333333333333333,0.40134027956791146,1.0,1.0,15.0,10.0,15s,10s,True,False,False,False,False,False,False,False,False,False
