src_file,periodic,block_s,step_s,n_blocks,periodic_confirm_min_blocks,periodic_link_max_cfo_dist,periodic_density_mode,periodic_density_pctl,periodic_density_min,blocks,confirmed_any
controlled/SDR_Adv/airport.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/airport.csv', 'n_segments': 114, 'gt_adv_mac_count': 0, 'n_clusters': 4, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/airport.csv', 'n_segments': 44, 'gt_adv_mac_count': 0, 'n_clusters': 4, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",True
controlled/SDR_Adv/nycab.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/nycab.csv', 'n_segments': 9, 'gt_adv_mac_count': 0, 'n_clusters': 4, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/nycab.csv', 'n_segments': 3, 'gt_adv_mac_count': 0, 'n_clusters': 0, 'n_ranked': 0, 'confirmed_any': False, 'density_min': 0.5, 'block_start': 1800.0, 'block_end': 3600.0}]",False
controlled/SDR_Adv/prud1_jan21_ivy.csv,True,1800.0,1800.0,3,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/prud1_jan21_ivy.csv', 'n_segments': 52, 'gt_adv_mac_count': 0, 'n_clusters': 8, 'n_ranked': 7, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/prud1_jan21_ivy.csv', 'n_segments': 25, 'gt_adv_mac_count': 0, 'n_clusters': 4, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/prud1_jan21_ivy.csv', 'n_segments': 28, 'gt_adv_mac_count': 0, 'n_clusters': 6, 'n_ranked': 5, 'confirmed_any': False, 'density_min': 0.5}]",True
controlled/SDR_Adv/prud2_jan21_ivy.csv,True,1800.0,1800.0,3,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/prud2_jan21_ivy.csv', 'n_segments': 40, 'gt_adv_mac_count': 0, 'n_clusters': 8, 'n_ranked': 6, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/prud2_jan21_ivy.csv', 'n_segments': 25, 'gt_adv_mac_count': 0, 'n_clusters': 4, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/prud2_jan21_ivy.csv', 'n_segments': 22, 'gt_adv_mac_count': 0, 'n_clusters': 4, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",True
controlled/SDR_Adv/scenarios_SDR_Adv__adv0_apple0_google0_samsung0_tile0__20260125_050505/background_only.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv0_apple0_google0_samsung0_tile0__20260125_050505/background_only.csv', 'n_segments': 6, 'gt_adv_mac_count': 0, 'n_clusters': 3, 'n_ranked': 0, 'confirmed_any': False, 'density_min': 0.5, 'block_start': 1769128136.3438537, 'block_end': 1769129936.3438537}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv0_apple0_google0_samsung0_tile0__20260125_050505/background_only.csv', 'n_segments': 14, 'gt_adv_mac_count': 0, 'n_clusters': 3, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-10s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-10s.csv', 'n_segments': 21, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-10s.csv', 'n_segments': 23, 'gt_adv_mac_count': 15, 'n_clusters': 7, 'n_ranked': 6, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-15min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-15min.csv', 'n_segments': 9, 'gt_adv_mac_count': 2, 'n_clusters': 5, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-15min.csv', 'n_segments': 16, 'gt_adv_mac_count': 1, 'n_clusters': 4, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}]",True
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-1min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-1min.csv', 'n_segments': 17, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-1min.csv', 'n_segments': 18, 'gt_adv_mac_count': 12, 'n_clusters': 6, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-2s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-2s.csv', 'n_segments': 22, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-2s.csv', 'n_segments': 22, 'gt_adv_mac_count': 15, 'n_clusters': 7, 'n_ranked': 5, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-30s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-30s.csv', 'n_segments': 19, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-30s.csv', 'n_segments': 21, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}]",False
