src_file,n_segments,gt_adv_mac_count,n_clusters,n_ranked,confirmed_any,density_min
controlled/SDR_Adv/airport.csv,158,0,4,4,False,1.0
controlled/SDR_Adv/nycab.csv,12,0,4,2,False,1.0
controlled/SDR_Adv/prud1_jan21_ivy.csv,105,0,6,6,False,1.0
controlled/SDR_Adv/prud2_jan21_ivy.csv,87,0,6,5,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv0_apple0_google0_samsung0_tile0__20260125_050505/background_only.csv,19,0,4,2,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-10s.csv,38,15,4,3,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-15min.csv,23,3,8,4,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-1min.csv,32,15,4,2,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-2s.csv,39,15,4,3,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-30s.csv,36,15,2,2,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-5min.csv,26,9,4,2,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-10s.csv,38,15,4,3,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-15min.csv,23,3,8,3,True,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-1min.csv,34,15,4,3,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-2s.csv,37,15,2,2,False,1.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-30s.csv,36,15,2,2,False,1.0
