src_file,cluster,dev_type,segments,duration_cov,duration_span,persistence_s,unique_macs,core_mac_density_scaled,adv_mac_pct,gt_frac,dur_ok,unique_ok,dens_ok,decision_ok,k_chosen
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,0,TAG_APPLE,19,1800.0,,359.9740262031555,19,1.2120551698035442,0.0,0.0,False,True,True,False,3
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,1,TAG_APPLE,27,1800.0,,341.1327986717224,27,0.7817551789257908,0.0,0.0,False,True,False,False,3
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,2,TAG_APPLE,2,1800.0,,309.1514778137207,2,0.0,1.0,1.0,False,False,False,False,3
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,0,TAG_APPLE,16,1800.0,,359.42442989349365,16,0.9385029260281541,0.0,0.0,False,True,False,False,3
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,1,TAG_APPLE,22,1800.0,,331.4908480644226,22,0.7877134586635417,0.0,0.0,False,True,False,False,3
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,2,TAG_APPLE,2,1800.0,,317.3938612937927,2,0.0,1.0,1.0,False,False,False,False,3
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,1,TAG_APPLE,13,1800.0,,359.10160303115845,13,1.0904091238500366,0.0,0.0,False,False,True,False,3
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,0,TAG_APPLE,22,1800.0,,351.80671977996826,22,0.5910674808081002,0.045454545454545456,0.045454545454545456,False,True,False,False,3
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,2,TAG_APPLE,1,1800.0,,253.38749527931213,1,0.0,1.0,1.0,False,False,False,False,3
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,1,TAG_APPLE,12,1800.0,,355.7283186912538,12,0.9079048512317425,0.0,0.0,False,False,False,False,3
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-1min_rot-5min.csv,0,TAG_APPLE,26,1800.0,,355.1988878250122,26,0.7966975585937828,0.0,0.0,False,True,False,False,3
