src_file,periodic,block_s,step_s,n_blocks,periodic_min_persistence_s,confirmed_any,persist_confirmed,strict_any,n_tracks,gt_adv_mac_count,t0,ttd_confirm_time,blocks
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-2s_rot-5min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,16,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-2s_rot-5min.csv', 'n_segments': 224, 'gt_adv_mac_count': 12, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-2s_rot-5min.csv', 'n_segments': 99, 'gt_adv_mac_count': 6, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-15s_rot-15min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,6,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-15s_rot-15min.csv', 'n_segments': 214, 'gt_adv_mac_count': 4, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-15s_rot-15min.csv', 'n_segments': 96, 'gt_adv_mac_count': 3, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-10s_rot-5min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,16,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-10s_rot-5min.csv', 'n_segments': 220, 'gt_adv_mac_count': 12, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-10s_rot-5min.csv', 'n_segments': 100, 'gt_adv_mac_count': 6, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-2s_rot-15min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,6,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-2s_rot-15min.csv', 'n_segments': 217, 'gt_adv_mac_count': 4, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-2s_rot-15min.csv', 'n_segments': 96, 'gt_adv_mac_count': 3, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-1min_rot-1min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,73,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-1min_rot-1min.csv', 'n_segments': 244, 'gt_adv_mac_count': 58, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-1min_rot-1min.csv', 'n_segments': 116, 'gt_adv_mac_count': 25, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-15s_rot-30s.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,148,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-15s_rot-30s.csv', 'n_segments': 279, 'gt_adv_mac_count': 120, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-15s_rot-30s.csv', 'n_segments': 133, 'gt_adv_mac_count': 48, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-1min_rot-15min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,6,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-1min_rot-15min.csv', 'n_segments': 216, 'gt_adv_mac_count': 4, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-1min_rot-15min.csv', 'n_segments': 97, 'gt_adv_mac_count': 3, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-10s_rot-30s.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,149,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-10s_rot-30s.csv', 'n_segments': 277, 'gt_adv_mac_count': 120, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-10s_rot-30s.csv', 'n_segments': 131, 'gt_adv_mac_count': 49, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-1min_rot-5min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,16,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-1min_rot-5min.csv', 'n_segments': 222, 'gt_adv_mac_count': 12, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-1min_rot-5min.csv', 'n_segments': 99, 'gt_adv_mac_count': 6, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-30s_rot-30s.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,137,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-30s_rot-30s.csv', 'n_segments': 266, 'gt_adv_mac_count': 111, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-30s_rot-30s.csv', 'n_segments': 130, 'gt_adv_mac_count': 45, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-30s_rot-5min.csv,True,3600.0,3000.0,2,3600.0,True,True,True,3,16,0.1104641665011478,6600.110464166501,"[{'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-30s_rot-5min.csv', 'n_segments': 223, 'gt_adv_mac_count': 12, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': True, 'confirmed_any': True, 'density_min': 0.9, 'block_start': 0.1104641665011478, 'block_end': 3600.110464166501}, {'src_file': 'controlled/WtoH/scenarios_Work_to_home_gym__adv1_apple0_google0_samsung0_tile0__20260128_230324/scenario_tx-30s_rot-5min.csv', 'n_segments': 98, 'gt_adv_mac_count': 6, 'n_clusters': 9, 'n_ranked': 9, 'strict_confirmed': False, 'confirmed_any': False, 'density_min': 0.9, 'block_start': 3000.110464166501, 'block_end': 6600.110464166501}]"
