cluster_id,t_s,t_e,chunk_idx,mac,n_keys,purity_cluster,entropy_cluster,is_quarantined,decision,d_best,n_rows_in_chunk_for_mac,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz
1,0.0,900.0,0,E6:76:FB:CC:A8:D8,1,1.0,0.0,0,SPAWN,,1,6061.0,137576.0,-120504.0,126124.0,-106097.0
2,0.0,900.0,0,AE:76:FB:CD:A9:D8,1,1.0,0.0,0,SPAWN,4.281397386969747e+16,1,11923.0,114121.0,-106166.0,121429.0,-96800.0
3,0.0,900.0,0,E6:76:FB:CC:A9:D8,1,1.0,0.0,0,SPAWN,1.2379930360557114e+17,1,3233.0,154325.0,-125749.0,117726.0,-107151.0
4,0.0,900.0,0,C6:A2:6F:CE:AE:04,1,1.0,0.0,0,SPAWN,9.395258811040358e+17,2,-16063.0,149559.0,-146451.0,115908.5,-116817.0
5,0.0,900.0,0,F8:E8:B4:68:86:5B,1,1.0,0.0,0,SPAWN,252497950571365.1,1,3206.0,109862.0,-163164.0,103967.0,-132597.0
6,0.0,900.0,0,FE:D2:6C:6A:0D:9B,1,1.0,0.0,0,SPAWN,1.534312250602662e+17,4,-8128.0,119090.25,-128603.0,117276.75,-122855.75
7,0.0,900.0,0,DD:5B:F1:BB:B4:12,1,1.0,0.0,0,SPAWN,1.12764737630655e+16,3,863.6666666666666,122900.33333333333,-143014.33333333334,101238.66666666667,-102756.0
8,0.0,900.0,0,EC:07:27:E2:3E:A6,1,1.0,0.0,0,SPAWN,1343180462489488.8,1,10411.0,137590.0,-121572.0,99425.0,-113685.0
9,0.0,900.0,0,EC:07:26:C2:BE:A2,1,1.0,0.0,0,SPAWN,3.977086528528119e+18,1,-52925.0,55602.0,-164482.0,91491.0,-92720.0
10,0.0,900.0,0,CC:1A:E5:1A:D7:A6,1,1.0,0.0,0,SPAWN,4.020219348517092e+16,3,-26073.666666666668,121832.66666666667,-135144.66666666666,109319.66666666667,-123587.33333333333
11,0.0,900.0,0,F8:E8:B4:68:86:53,1,1.0,0.0,0,SPAWN,1123702382836341.8,1,15168.0,140785.0,-97961.0,120527.0,-94051.0
12,0.0,900.0,0,E6:75:99:6E:39:A9,1,1.0,0.0,0,SPAWN,3301286186930751.5,1,850.0,132398.0,-156144.0,122675.0,-112383.0
13,0.0,900.0,0,CC:1A:A5:1E:D7:A6,1,1.0,0.0,0,SPAWN,3719275755888171.5,1,-24241.0,127894.0,-124750.0,116717.0,-120972.0
14,0.0,900.0,0,C8:5F:49:27:47:AB,1,1.0,0.0,0,SPAWN,143504984272167.7,1,13836.0,121313.0,-140150.0,97049.0,-103409.0
15,0.0,900.0,0,DC:75:2B:EB:42:8D,1,1.0,0.0,0,SPAWN,154987039746689.44,2,3193.0,144467.5,-120202.5,116876.5,-105812.0
16,0.0,900.0,0,CC:1A:A5:3A:C7:A6,1,1.0,0.0,0,SPAWN,4.345052952474041e+17,1,-43152.0,133328.0,-136738.0,125767.0,-124432.0
17,0.0,900.0,0,DD:6E:5E:92:B6:8D,1,1.0,0.0,0,SPAWN,1779712002873257.0,3,-21395.666666666668,110824.66666666667,-111811.33333333333,88404.33333333333,-104549.66666666667
18,0.0,900.0,0,CE:57:B8:23:52:98,1,1.0,0.0,0,SPAWN,5350738738476611.0,2,-9652.5,157989.0,-148611.0,118261.0,-119894.5
19,0.0,900.0,0,DD:6E:5E:92:B6:AD,1,1.0,0.0,0,SPAWN,6.53094817590762e+16,1,-35687.0,120391.0,-114598.0,105981.0,-112815.0
20,0.0,900.0,0,F1:96:A7:4A:9D:08,1,1.0,0.0,0,SPAWN,6779868305044220.0,1,-3184.0,120893.0,-127007.0,105413.0,-99240.0
21,0.0,900.0,0,C9:36:0E:69:0F:42,1,1.0,0.0,0,SPAWN,1.2379566388229846e+16,1,-6261.0,129085.0,-100272.0,96208.0,-73307.0
22,0.0,900.0,0,D9:96:C9:E6:25:A8,1,1.0,0.0,0,SPAWN,1.170074895983637e+16,1,-15454.0,155944.0,-116641.0,98077.0,-104524.0
23,0.0,900.0,0,C1:D7:F4:91:D0:90,1,1.0,0.0,0,SPAWN,4786276680161605.0,1,-17491.0,153154.0,-138797.0,132413.0,-111654.0
24,0.0,900.0,0,EC:54:AE:3B:7D:E5,1,1.0,0.0,0,SPAWN,65623302178874.92,2,684.5,135263.0,-143733.5,110992.5,-110532.0
25,0.0,900.0,0,BC:A1:1A:C1:D8:8B,1,1.0,0.0,0,SPAWN,48320753592050.1,1,-35274.0,100527.0,-116679.0,115823.0,-102196.0
26,0.0,900.0,0,E0:2D:50:34:41:58,1,1.0,0.0,0,SPAWN,5621527308428967.0,1,-20305.0,122655.0,-106017.0,100666.0,-90936.0
27,0.0,900.0,0,E4:51:13:24:67:44,1,1.0,0.0,0,SPAWN,777819020575987.2,13,-8278.307692307691,138787.3076923077,-127336.15384615384,107554.76923076923,-123748.69230769231
28,0.0,900.0,0,EE:7D:2D:32:F9:9B,1,1.0,0.0,0,SPAWN,3.2421315184319604e+16,1,22226.0,125886.0,-119532.0,131767.0,-117381.0
29,0.0,900.0,0,E4:51:13:24:67:74,1,1.0,0.0,0,SPAWN,6491058619386096.0,1,6190.0,152726.0,-153817.0,118033.0,-127500.0
30,0.0,900.0,0,E0:2D:50:66:45:48,1,1.0,0.0,0,SPAWN,282313551483820.4,16,-28503.25,123724.5625,-140839.9375,102444.0,-115218.875
31,0.0,900.0,0,ED:83:16:1F:A3:E1,1,1.0,0.0,0,SPAWN,403535358727651.25,3,-13446.333333333334,124996.66666666667,-127125.0,98922.0,-117696.66666666667
32,0.0,900.0,0,F5:9F:2B:78:4E:15,1,1.0,0.0,0,SPAWN,3041199314304862.0,2,-9369.5,115618.0,-118061.0,79776.0,-110101.0
33,0.0,900.0,0,D0:B0:49:E3:06:68,1,1.0,0.0,0,SPAWN,22508751393089.72,2,-17907.5,141236.0,-128607.0,125372.0,-109824.5
34,0.0,900.0,0,F9:7A:19:EB:28:6E,1,1.0,0.0,0,SPAWN,3862820302252706.5,1,15876.0,138199.0,-145205.0,113280.0,-124382.0
35,0.0,900.0,0,C2:5D:19:AF:38:3E,1,1.0,0.0,0,SPAWN,303355981612659.56,1,19389.0,99195.0,-111062.0,108633.0,-120807.0
36,0.0,900.0,0,F8:CB:FB:48:BD:74,1,1.0,0.0,0,SPAWN,2.0696660352014442e+17,1,-60205.0,104741.0,-123767.0,99409.0,-118216.0
37,0.0,900.0,0,48:4A:6B:D4:5D:1B,1,1.0,0.0,0,SPAWN,5472143643694589.0,1,-37014.0,80626.0,-140420.0,89345.0,-129919.0
38,0.0,900.0,0,DA:55:3A:D0:EF:BB,1,1.0,0.0,0,SPAWN,24240833528377.43,2,-25129.5,108476.5,-108206.5,111990.0,-123559.5
39,0.0,900.0,0,DB:55:28:D0:E6:BB,1,1.0,0.0,0,SPAWN,48866598453890.375,1,-53411.0,102935.0,-128308.0,87728.0,-103928.0
40,0.0,900.0,0,CA:D6:AD:00:64:D8,1,1.0,0.0,0,SPAWN,290100183679064.5,2,-18410.5,142576.0,-115990.5,97778.5,-108712.0
41,0.0,900.0,0,C2:52:83:FF:5F:A2,1,1.0,0.0,0,SPAWN,5296571373595180.0,1,-58252.0,103856.0,-168972.0,105981.0,-139695.0
42,0.0,900.0,0,E0:65:50:66:45:48,1,1.0,0.0,0,SPAWN,771321795906.1075,1,-17397.0,89629.0,-117186.0,84882.0,-97191.0
43,0.0,900.0,0,49:A9:66:1D:F2:90,1,1.0,0.0,0,SPAWN,1126469268133343.0,1,-30901.0,107941.0,-102890.0,111997.0,-92256.0
44,0.0,900.0,0,DB:7C:5C:36:A8:16,1,1.0,0.0,0,SPAWN,524042017176066.1,1,-33985.0,96081.0,-97718.0,106785.0,-105060.0
45,0.0,900.0,0,D9:0F:53:36:3B:D2,1,1.0,0.0,0,SPAWN,2731856.5772467465,2,-36636.0,118274.0,-122833.5,95242.5,-120032.5
46,0.0,900.0,0,DF:FB:35:C7:32:25,1,1.0,0.0,0,SPAWN,35971978702754.73,6,-11716.833333333334,120311.66666666667,-111594.83333333333,121826.0,-111342.16666666667
47,0.0,900.0,0,F4:A1:1A:C1:19:AB,1,1.0,0.0,0,SPAWN,2185916077365640.2,1,-57711.0,103102.0,-126858.0,101626.0,-99508.0
