chunk_index,start_byte,timestamp_ms,formatted_time,lat,lon,accuracy_m,alt,speed,loc_ts
0,0,1769646127985,19:22:07.985,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
1,262144,1769646128413,19:22:08.413,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
2,524288,1769646128851,19:22:08.851,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
3,786432,1769646129240,19:22:09.240,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
4,1048576,1769646129631,19:22:09.631,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
5,1310720,1769646130100,19:22:10.100,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
6,1572864,1769646130486,19:22:10.486,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
7,1835008,1769646130884,19:22:10.884,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
8,2097152,1769646131238,19:22:11.238,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
9,2359296,1769646131647,19:22:11.647,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
10,2621440,1769646132109,19:22:12.109,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
11,2883584,1769646132485,19:22:12.485,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
12,3145728,1769646132946,19:22:12.946,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
13,3407872,1769646134166,19:22:14.166,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
14,3670016,1769646136224,19:22:16.224,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
15,3932160,1769646137000,19:22:17.000,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
16,4194304,1769646141390,19:22:21.390,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
17,4456448,1769646143066,19:22:23.066,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
18,4718592,1769646144838,19:22:24.838,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
19,4980736,1769646145291,19:22:25.291,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
20,5242880,1769646145907,19:22:25.907,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
21,5505024,1769646146436,19:22:26.436,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
22,5767168,1769646147768,19:22:27.768,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
23,6029312,1769646148419,19:22:28.419,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
24,6291456,1769646148782,19:22:28.782,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
25,6553600,1769646149889,19:22:29.889,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
26,6815744,1769646150404,19:22:30.404,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
27,7077888,1769646151628,19:22:31.628,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
28,7340032,1769646152788,19:22:32.788,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
29,7602176,1769646153534,19:22:33.534,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
30,7864320,1769646153940,19:22:33.940,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
31,8126464,1769646154248,19:22:34.248,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
32,8388608,1769646154589,19:22:34.589,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
33,8650752,1769646154937,19:22:34.937,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
34,8912896,1769646155291,19:22:35.291,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
35,9175040,1769646155713,19:22:35.713,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
36,9437184,1769646156064,19:22:36.064,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
37,9699328,1769646156713,19:22:36.713,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
38,9961472,1769646157187,19:22:37.187,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
39,10223616,1769646157605,19:22:37.605,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
40,10485760,1769646158113,19:22:38.113,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
41,10747904,1769646158510,19:22:38.510,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
42,11010048,1769646158917,19:22:38.917,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
43,11272192,1769646159617,19:22:39.617,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
44,11534336,1769646160020,19:22:40.020,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
45,11796480,1769646160537,19:22:40.537,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
46,12058624,1769646160882,19:22:40.882,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
47,12320768,1769646161226,19:22:41.226,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
48,12582912,1769646161565,19:22:41.565,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
49,12845056,1769646161997,19:22:41.997,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
50,13107200,1769646162438,19:22:42.438,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
51,13369344,1769646162882,19:22:42.882,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
52,13631488,1769646163233,19:22:43.233,42.3688889,-71.0257724,35.435,-23.53897240538581,0.0,1769646008982
