pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
0,1763945740.608530760,37,0,C8:DA:65:E6:40:6A,8E89BED6,-9769.794458,-9769.794458,-9769.794458,244576.337824,244576.337824,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9769.794922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-48223.242188,-11801.397461,176451,176835
1,1763945740.608778238,37,0,C8:DA:65:E6:40:6A,8E89BED6,-10876.592188,-10876.592188,-10876.592188,244425.412496,244425.412496,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10876.591797,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-66939.679688,-12092.284180,176452,176836
2,1763945740.625622988,37,0,D4:B9:4D:DA:91:01,8E89BED6,18361.093326,18361.093326,18361.093326,332614.508481,332614.508481,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,18361.093750,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,73920.078125,18968.789062,376780,377532
3,1763945740.625890493,37,0,D4:B9:4D:DA:91:01,8E89BED6,17833.420746,17833.420746,17833.420746,332641.922899,332641.922899,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,17833.419922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,73545.609375,18953.496094,376781,377533
4,1763945740.629788637,37,0,FA:39:B2:6A:89:4F,8E89BED6,5788.187878,5788.187878,5788.187878,198469.007995,198469.007995,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,5788.187988,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,10144.587891,780.185669,420721,421105
5,1763945740.692823648,37,0,FC:D8:16:AD:AF:F2,8E89BED6,-12409.413126,-12409.413126,-12409.413126,204021.108029,204021.108029,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-12409.413086,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-29985.662109,-15464.671875,940380,940764
6,1763945740.693037510,37,0,FC:D8:16:AD:AF:F2,8E89BED6,-13582.536743,-13582.536743,-13582.536743,203553.759896,203553.759896,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-13582.537109,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-34341.644531,-15463.140625,940381,940765
7,1763945740.697421312,37,0,C7:51:E6:62:48:91,8E89BED6,15086.367137,15086.367137,15086.367137,309864.944511,309864.944511,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,15086.367188,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,54403.117188,5867.197754,981895,982279
8,1763945740.697632790,37,0,C7:51:E6:62:48:91,8E89BED6,14522.750851,14522.750851,14522.750851,310645.638412,310645.638412,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,14522.750977,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,33155.230469,5620.385742,981896,982280
9,1763945740.751937389,37,0,FF:F2:20:71:BB:4E,8E89BED6,-18145.305694,-18145.305694,-18145.305694,201461.451941,201461.451941,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-18145.306641,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-37809.222656,-14926.805664,1437214,1437598
10,1763945740.752151728,37,0,FF:F2:20:71:BB:4E,8E89BED6,-19266.230057,-19266.230057,-19266.230057,201005.258142,201005.258142,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-19266.230469,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-39418.785156,-14924.882812,1437215,1437599
11,1763945740.846689224,37,0,C5:D8:92:67:D4:68,8E89BED6,16736.708500,16736.708500,16736.708500,185778.769578,185778.769578,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,16736.708984,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4377.611816,-2771.850342,2257846,2258230
12,1763945740.882726669,37,0,CC:9F:3A:B9:18:75,8E89BED6,13136.430401,13136.430401,13136.430401,184967.850059,184967.850059,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,13136.430664,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,23012.193359,14203.686523,2538231,2538615
13,1763945740.883184671,37,0,CC:9F:3A:B9:18:75,8E89BED6,12437.650785,12437.650785,12437.650785,184766.989660,184766.989660,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,12437.650391,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,22157.552734,14395.683594,2538232,2538616
14,1763945740.945635319,37,0,EF:A9:A5:13:12:03,8E89BED6,15987.294483,15987.294483,15987.294483,188548.403675,188548.403675,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,15987.294922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1892.059448,11437.727539,3097461,3097845
15,1763945740.953629017,37,0,EA:AC:D0:7E:E8:F9,8E89BED6,11680.000900,11680.000900,11680.000900,347915.704351,347915.704351,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,11680.000977,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,398.827423,11244.486328,3181794,3182546
16,1763945740.955550194,37,0,DB:FC:61:9C:CF:82,8E89BED6,-34467.501440,-34467.501440,-34467.501440,236763.248650,236763.248650,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-34467.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-82066.031250,-40697.542969,3201313,3201697
17,1763945740.955798626,37,0,DB:FC:61:9C:CF:82,8E89BED6,-35601.973053,-35601.973053,-35601.973053,236346.412515,236346.412515,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35601.972656,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-82697.656250,-41060.750000,3201314,3201698
