pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
0,1764713277.291365147,37,0,E0:F5:58:56:8D:02,8E89BED6,20810.337457,7385.838515,20810.337205,347720.276378,266949.354956,0.992034,-48.322659,2.000000,35916.150086,22.952030,327127.659574,376.000000,5826.286621,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,44722.398438,23055.710938,169727,170479,3068.742231,41390.541880,-1786.433567,34259.679714
1,1764713277.322757721,37,0,E0:F5:58:56:8D:02,8E89BED6,21314.152724,7373.028628,21314.153004,347632.082041,264683.343275,0.992640,-48.155118,2.000000,35793.232666,22.912825,327127.659574,376.000000,6323.092285,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,45775.457031,23066.982422,169728,170480,8479.525757,35952.862405,5035.834852,29257.685938
3,1764713277.755815029,37,0,E0:F5:58:56:8D:02,8E89BED6,20528.901734,7558.644962,20528.902005,368685.751481,271209.398448,1.053985,-3.742734,2.000000,35604.880689,22.738872,327127.659574,376.000000,6451.759277,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,3862.308594,16138.879883,4188943,4189695,6796.560965,41063.907969,-3297.457907,29458.808659
4,1764713278.182959318,37,0,E0:F5:58:56:8D:02,8E89BED6,20361.532954,6660.065989,20361.533106,347561.780606,242498.421885,0.960420,71.194774,2.000000,35845.975798,23.025969,327127.659574,376.000000,5293.938477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,64391.175781,21157.705078,8191802,8192554,2608.421404,39537.879319,450.906107,32418.685549
5,1764713278.214475632,37,0,E0:F5:58:56:8D:02,8E89BED6,20838.576052,6611.265396,20838.576599,347596.474639,271636.035568,0.961027,71.816597,2.000000,35720.231583,22.985095,348404.255319,376.000000,5750.645020,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,64391.175781,21046.363281,8191803,8192555,9554.547543,37819.227516,-639.530227,29093.531631
6,1764713278.645202875,37,0,E0:F5:58:56:8D:02,8E89BED6,20336.346097,6692.634692,20336.346929,362062.267754,240257.033691,1.009117,-39.821630,2.500000,35490.216075,22.641723,297872.340426,376.000000,5626.156250,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,18184.919922,6767.934082,12202985,12203737,6353.060018,40887.810151,-3404.651663,29511.130743
7,1764713279.078144312,37,0,E0:F5:58:56:8D:02,8E89BED6,20092.397869,6510.854437,20092.397297,363691.602175,284255.447631,0.986029,53.418033,2.500000,34905.674534,22.806787,327127.659574,376.000000,5533.534668,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,100001.328125,23797.929688,16222231,16222983,3444.164013,39258.176007,-3827.535410,34922.376156
8,1764713279.109509945,37,0,E0:F5:58:56:8D:02,8E89BED6,20586.148686,6556.220888,20586.149244,363769.085490,294471.140075,0.987324,52.892567,2.500000,34781.960842,22.779302,327127.659574,376.000000,6081.564941,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,105520.718750,23789.904297,16222232,16222984,7444.788063,30208.387499,10454.368679,28747.246134
9,1764713279.537869453,37,0,E0:F5:58:56:8D:02,8E89BED6,20594.967629,7666.909239,20594.968630,344206.409355,260439.101967,0.980539,-60.576402,2.000000,36031.499156,23.030368,327127.659574,376.000000,6614.736816,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,37365.183594,16407.328125,20242051,20242803,3470.820007,39022.689432,3571.864436,29550.450702
10,1764713279.568789005,37,0,E0:F5:58:56:8D:02,8E89BED6,21098.769796,7608.305079,21098.770155,343927.228112,260944.498674,0.982049,-60.023505,2.000000,35905.787707,22.908675,327127.659574,376.000000,7047.963379,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,37365.183594,16458.707031,20242052,20242804,7671.310262,38693.540566,973.800754,29373.429043
12,1764713279.996987820,37,0,E0:F5:58:56:8D:02,8E89BED6,20444.690930,7833.191055,20444.690483,352437.117681,261563.986344,0.943338,-86.803407,2.500000,35287.820273,22.982645,210106.382979,376.000000,6787.938965,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,49374.953125,25634.513672,24255250,24256002,4842.643611,40542.692695,-4618.016391,34005.553187
