pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
0,1763944129.383844852,37,0,D3:AA:11:C3:69:90,8E89BED6,6163.860330,6163.860330,6163.860330,350412.082014,350412.082014,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,6163.860352,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,19404.521484,15369.734375,3258033,3258785
1,1763944129.384185553,37,0,D3:AA:11:C3:69:90,8E89BED6,5624.705266,5624.705266,5624.705266,350546.110226,350546.110226,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5624.705078,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,19404.521484,15222.063477,3258034,3258786
2,1763944129.870189428,37,0,D3:AA:11:C3:69:90,8E89BED6,5677.992725,5677.992725,5677.992725,365619.790646,365619.790646,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5677.992676,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-2952.112305,15743.777344,7272736,7273488
3,1763944130.425892591,37,0,D3:AA:11:C3:69:90,8E89BED6,5400.268249,5400.268249,5400.268249,342497.595409,342497.595409,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5400.268066,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5333.098633,15692.317383,11291436,11292188
4,1763944130.883747816,37,0,D3:AA:11:C3:69:90,8E89BED6,6002.724238,6002.724238,6002.724238,341540.975434,341540.975434,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,6002.724121,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,2870.017334,13778.752930,15309177,15309929
5,1763944130.884070158,37,0,D3:AA:11:C3:69:90,8E89BED6,5481.084354,5481.084354,5481.084354,340490.630311,340490.630311,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5481.084473,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,2870.017334,13640.254883,15309178,15309930
6,1763944131.337993622,37,0,D3:AA:11:C3:69:90,8E89BED6,5752.017280,5752.017280,5752.017280,354781.031828,354781.031828,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5752.017090,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-12176.238281,1285.549927,19319721,19320473
7,1763944131.338217020,37,0,D3:AA:11:C3:69:90,8E89BED6,5208.178446,5208.178446,5208.178446,354036.365454,354036.365454,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5208.178223,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-12372.310547,1226.569824,19319722,19320474
8,1763944131.802709103,37,0,D3:AA:11:C3:69:90,8E89BED6,5741.189315,5741.189315,5741.189315,356252.249083,356252.249083,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5741.189453,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1344.439453,24469.417969,23325080,23325832
9,1763944132.230002880,37,0,D3:AA:11:C3:69:90,8E89BED6,5326.893096,5326.893096,5326.893096,358365.334476,358365.334476,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5326.893066,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,184.749100,36745.859375,27335047,27335799
