pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
0,1764221074.135601997,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3978.869842,1312.892567,3978.870302,338014.409066,247008.664736,0.964248,69.310482,2.500000,18164.533004,22.037832,305851.063830,376.000000,7201.618652,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-17926.253906,-1546.231567,764996,765748,-31753.797079,14835.693387,6617.809916,-5526.257204
1,1764221074.181740046,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4463.347452,1250.465827,4463.347955,337835.870624,258431.466213,0.963159,70.351345,2.500000,17999.299522,22.013706,305851.063830,376.000000,7201.953125,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-16520.474609,-1525.894531,764997,765749,-23455.071682,29682.786533,28726.066085,1881.751837
2,1764221076.157572508,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4003.905819,2379.343484,4003.906712,329315.637984,241269.127748,0.967819,-68.916536,2.500000,17923.073541,21.927903,305851.063830,376.000000,9276.945312,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7786.262695,-9759.751953,4769491,4770243,-32353.672790,7564.125824,10785.167378,-2989.213860
3,1764221076.203205824,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4488.118181,2295.506165,4488.120009,328214.257313,246327.734416,0.967951,-68.051235,2.500000,17759.516570,21.908852,305851.063830,376.000000,9332.040039,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7786.262695,-9749.705078,4769492,4770244,-23946.609406,26501.910923,28188.097328,-3248.965889
4,1764221078.133164883,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3938.337296,1762.708036,3938.336156,344777.900180,253473.256052,0.998410,46.034595,2.500000,17823.665406,22.145662,305851.063830,376.000000,7588.208496,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-6425.494141,-4312.714844,8774944,8775696,-32938.011788,4005.764657,16939.125068,11022.731301
5,1764221078.176634073,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4469.500740,1671.782668,4469.501093,344926.763296,272912.006466,0.997577,46.524837,2.500000,17660.289750,22.128388,305851.063830,376.000000,7632.645996,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-6425.494141,-4298.709473,8774945,8775697,-23843.158405,27925.742605,20211.703534,-9266.065317
6,1764221080.216415644,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3539.615242,939.948207,3539.613889,357034.810437,257223.380723,0.986235,-53.341298,2.000000,18215.479493,22.027937,305851.063830,376.000000,7020.976562,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13464.573242,-4731.452637,12782412,12783164,-28606.775179,-1888.440537,25143.255253,37088.538349
7,1764221080.261000395,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4036.804949,835.354164,4036.803124,356356.653935,273449.233856,0.985873,-53.272610,2.000000,18049.756791,22.019073,305851.063830,376.000000,7180.460938,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-10954.669922,-4728.484863,12782413,12783165,-30082.902661,16640.940988,10037.007870,-8704.013490
8,1764221082.199467659,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3754.036151,1041.780739,3754.035380,353220.981674,254778.429631,0.984068,58.141366,2.000000,18059.786406,22.334166,305851.063830,376.000000,7087.761719,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,27537.085938,24144.847656,16798587,16799339,-33144.533729,402.306447,15954.735848,17334.651432
9,1764221082.242499590,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4273.815085,955.575367,4273.815287,351453.450287,275817.238328,0.983094,58.363313,2.000000,17895.318949,22.332570,305851.063830,376.000000,7192.319336,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,30286.179688,24094.722656,16798588,16799340,-29085.619530,23145.701649,7829.872085,-8400.328031
