n,I,Q,mag,phase
0,-0.0412877947,0.0437617227,0.0601645275,2.3271146
1,-0.0412877947,0.0437617227,0.0601645275,2.3271146
2,-0.0412877947,0.0437617227,0.0601645275,2.3271146
3,-0.0412877947,0.0437617227,0.0601645275,2.3271146
4,-0.0412877947,0.0437617227,0.0601645275,2.3271146
5,-0.0412877947,0.0437617227,0.0601645275,2.3271146
6,-0.0412877947,0.0437617227,0.0601645275,2.3271146
7,-0.0412877947,0.0437617227,0.0601645275,2.3271146
8,-0.0412877947,0.0437617227,0.0601645275,2.3271146
9,-0.0412877947,0.0437617227,0.0601645275,2.3271146
10,-0.0412877947,0.0437617227,0.0601645275,2.3271146
11,-0.0412877947,0.0437617227,0.0601645275,2.3271146
12,-0.0412877947,0.0437617227,0.0601645275,2.3271146
13,-0.0412877947,0.0437617227,0.0601645275,2.3271146
14,-0.0412877947,0.0437617227,0.0601645275,2.3271146
15,-0.0412877947,0.0437617227,0.0601645275,2.3271146
16,-0.0412877947,0.0437617227,0.0601645275,2.3271146
17,-0.0412877947,0.0437617227,0.0601645275,2.3271146
18,-0.0412877947,0.0437617227,0.0601645275,2.3271146
19,-0.0412877947,0.0437617227,0.0601645275,2.3271146
20,-0.0412877947,0.0437617227,0.0601645275,2.3271146
21,-0.0412877947,0.0437617227,0.0601645275,2.3271146
22,-0.0412877947,0.0437617227,0.0601645275,2.3271146
23,-0.0412877947,0.0437617227,0.0601645275,2.3271146
24,-0.0412877947,0.0437617227,0.0601645275,2.3271146
25,-0.0412877947,0.0437617227,0.0601645275,2.3271146
26,-0.0412877947,0.0437617227,0.0601645275,2.3271146
27,-0.0412877947,0.0437617227,0.0601645275,2.3271146
28,-0.0412877947,0.0437617227,0.0601645275,2.3271146
29,-0.0412877947,0.0437617227,0.0601645275,2.3271146
30,-0.0412877947,0.0437617227,0.0601645275,2.3271146
31,-0.0412877947,0.0437617227,0.0601645275,2.3271146
32,-0.0412877947,0.0437617227,0.0601645275,2.3271146
33,-0.0412877947,0.0437617227,0.0601645275,2.3271146
34,-0.0412877947,0.0437617227,0.0601645275,2.3271146
35,-0.0412877947,0.0437617227,0.0601645275,2.3271146
36,-0.0412877947,0.0437617227,0.0601645275,2.3271146
37,-0.0412877947,0.0437617227,0.0601645275,2.3271146
38,-0.0412877947,0.0437617227,0.0601645275,2.3271146
39,-0.0412877947,0.0437617227,0.0601645275,2.3271146
40,-0.0412877947,0.0437617227,0.0601645275,2.3271146
41,-0.0412877947,0.0437617227,0.0601645275,2.3271146
42,-0.0412877947,0.0437617227,0.0601645275,2.3271146
43,-0.0412877947,0.0437617227,0.0601645275,2.3271146
44,-0.0412877947,0.0437617227,0.0601645275,2.3271146
45,-0.0412877947,0.0437617227,0.0601645275,2.3271146
46,-0.0412877947,0.0437617227,0.0601645275,2.3271146
47,-0.0412877947,0.0437617227,0.0601645275,2.3271146
48,-0.0412877947,0.0437617227,0.0601645275,2.3271146
49,-0.0412877947,0.0437617227,0.0601645275,2.3271146
50,-0.0412877947,0.0437617227,0.0601645275,2.3271146
51,-0.0412877947,0.0437617227,0.0601645275,2.3271146
52,-0.0412877947,0.0437617227,0.0601645275,2.3271146
53,-0.0412877947,0.0437617227,0.0601645275,2.3271146
54,-0.0412877947,0.0437617227,0.0601645275,2.3271146
55,-0.0412877947,0.0437617227,0.0601645275,2.3271146
56,-0.0412877947,0.0437617227,0.0601645275,2.3271146
57,-0.0412877947,0.0437617227,0.0601645275,2.3271146
58,-0.0412877947,0.0437617227,0.0601645275,2.3271146
59,-0.0412877947,0.0437617227,0.0601645275,2.3271146
60,-0.0412877947,0.0437617227,0.0601645275,2.3271146
61,-0.0412877947,0.0437617227,0.0601645275,2.3271146
62,-0.0412877947,0.0437617227,0.0601645275,2.3271146
63,-0.0412877947,0.0437617227,0.0601645275,2.3271146
64,-0.0412877947,0.0437617227,0.0601645275,2.3271146
65,-0.0412877947,0.0437617227,0.0601645275,2.3271146
66,-0.0412877947,0.0437617227,0.0601645275,2.3271146
67,-0.0412877947,0.0437617227,0.0601645275,2.3271146
68,-0.0412877947,0.0437617227,0.0601645275,2.3271146
69,-0.0412877947,0.0437617227,0.0601645275,2.3271146
70,-0.0412877947,0.0437617227,0.0601645275,2.3271146
71,-0.0412877947,0.0437617227,0.0601645275,2.3271146
72,-0.0412877947,0.0437617227,0.0601645275,2.3271146
73,-0.0412877947,0.0437617227,0.0601645275,2.3271146
74,-0.0412877947,0.0437617227,0.0601645275,2.3271146
75,-0.0412877947,0.0437617227,0.0601645275,2.3271146
76,-0.0412877947,0.0437617227,0.0601645275,2.3271146
77,-0.0412877947,0.0437617227,0.0601645275,2.3271146
78,-0.0412877947,0.0437617227,0.0601645275,2.3271146
79,-0.0412877947,0.0437617227,0.0601645275,2.3271146
80,-0.0412877947,0.0437617227,0.0601645275,2.3271146
81,-0.0412877947,0.0437617227,0.0601645275,2.3271146
82,-0.0412877947,0.0437617227,0.0601645275,2.3271146
83,-0.0412877947,0.0437617227,0.0601645275,2.3271146
84,-0.0412877947,0.0437617227,0.0601645275,2.3271146
85,-0.0412877947,0.0437617227,0.0601645275,2.3271146
86,-0.0412877947,0.0437617227,0.0601645275,2.3271146
87,-0.0412877947,0.0437617227,0.0601645275,2.3271146
88,-0.0412877947,0.0437617227,0.0601645275,2.3271146
89,-0.0412877947,0.0437617227,0.0601645275,2.3271146
90,-0.0412877947,0.0437617227,0.0601645275,2.3271146
91,-0.0412877947,0.0437617227,0.0601645275,2.3271146
92,-0.0412877947,0.0437617227,0.0601645275,2.3271146
93,-0.0412877947,0.0437617227,0.0601645275,2.3271146
94,-0.0412877947,0.0437617227,0.0601645275,2.3271146
95,-0.0412877947,0.0437617227,0.0601645275,2.3271146
96,-0.0412877947,0.0437617227,0.0601645275,2.3271146
97,-0.0412877947,0.0437617227,0.0601645275,2.3271146
98,-0.0412877947,0.0437617227,0.0601645275,2.3271146
99,-0.0412877947,0.0437617227,0.0601645275,2.3271146
100,-0.0412877947,0.0437617227,0.0601645275,2.3271146
101,-0.0412877947,0.0437617227,0.0601645275,2.3271146
102,-0.0412877947,0.0437617227,0.0601645275,2.3271146
103,-0.0412877947,0.0437617227,0.0601645275,2.3271146
104,-0.0412877947,0.0437617227,0.0601645275,2.3271146
105,-0.0412877947,0.0437617227,0.0601645275,2.3271146
106,-0.0412877947,0.0437617227,0.0601645275,2.3271146
107,-0.0412877947,0.0437617227,0.0601645275,2.3271146
108,-0.0412877947,0.0437617227,0.0601645275,2.3271146
109,-0.0412877947,0.0437617227,0.0601645275,2.3271146
110,-0.0412877947,0.0437617227,0.0601645275,2.3271146
111,-0.0412877947,0.0437617227,0.0601645275,2.3271146
112,-0.0412877947,0.0437617227,0.0601645275,2.3271146
113,-0.0412877947,0.0437617227,0.0601645275,2.3271146
114,-0.0412877947,0.0437617227,0.0601645275,2.3271146
115,-0.0412877947,0.0437617227,0.0601645275,2.3271146
116,-0.0412877947,0.0437617227,0.0601645275,2.3271146
117,-0.0412877947,0.0437617227,0.0601645275,2.3271146
118,-0.0412877947,0.0437617227,0.0601645275,2.3271146
119,-0.0412877947,0.0437617227,0.0601645275,2.3271146
120,-0.0412877947,0.0437617227,0.0601645275,2.3271146
121,-0.0412877947,0.0437617227,0.0601645275,2.3271146
122,-0.0412877947,0.0437617227,0.0601645275,2.3271146
123,-0.0412877947,0.0437617227,0.0601645275,2.3271146
124,-0.0412877947,0.0437617227,0.0601645275,2.3271146
125,-0.0412877947,0.0437617227,0.0601645275,2.3271146
126,-0.0412877947,0.0437617227,0.0601645275,2.3271146
127,-0.0412877947,0.0437617227,0.0601645275,2.3271146
128,-0.0412877947,0.0437617227,0.0601645275,2.3271146
129,-0.0412877947,0.0437617227,0.0601645275,2.3271146
130,-0.0412877947,0.0437617227,0.0601645275,2.3271146
