pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz,_group
49,1769128135.0665698,37,2,ff:dc:e1:18:68:34,8E89BED6,APPLE,77d9128dc8ec1eff4c001219ffd3c050dc90dffb73786dc210b34aa9fee66d96c3ed9300ff,-10411.504142,9581.931401,-10411.504139,231194.373494,187947.533472,1.066249,30.599301,1.0,15528.782626,23.011639,364361.702128,376.0,1209.040405,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,4687.140625,9250.119141,742709,743461,-38430.888025,20598.430411,-46895.63696,7345.698728,4c001219ff
116,1769128136.3438537,37,2,ec:dd:8b:3e:1a:a3,8E89BED6,APPLE,a31a3e8bddec1eff4c00121900ce074f02e1b92a60160a9eea6d63d682784360ecef030000,30174.012818,2501.766259,30174.011625,377104.023473,287967.789432,1.009438,-30.953349,128.0,50639.187304,20.011982,289893.617021,376.0,15924.924805,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,32365.697266,7302.632812,1707895,1708647,6331.939734,79035.488905,61265.336922,12490.903502,
237,1769128138.2218902,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,1852.706803,6637.698615,1852.707952,274132.319907,214061.160347,0.965906,-68.845458,51.5,10281.89913,24.549958,125000.0,376.0,2328.993896,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,45675.78125,13364.029297,3690929,3691681,-5717.499948,-9504.950163,3844.035869,6477.542145,
238,1769128138.2675972,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2206.063852,6542.306297,2206.063298,273571.302802,228638.123334,0.967284,-68.864683,51.5,10226.47785,24.55364,125000.0,376.0,2015.883423,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,50651.230469,13266.813477,3690930,3691682,-3252.908676,-6466.242912,4388.026643,968.47526,
508,1769128142.8390822,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,1474.968066,6324.826595,1474.968806,334333.007095,229984.56535,0.96983,-70.336645,3.5,9325.482731,24.295128,125000.0,376.0,1679.669678,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,10909.939453,2409.120361,7701211,7701963,-4725.776812,-9375.671759,1707.759107,5509.709293,
750,1769128147.5863588,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2264.952218,7469.175166,2264.951991,326548.497214,235594.372842,0.964059,62.601957,3.0,10011.7136,24.533249,125000.0,376.0,2773.752197,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,36706.125,9967.941406,11710444,11711196,-5231.50073,-8067.465759,3828.593875,7008.804712,
751,1769128147.6333847,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2588.919724,7367.222508,2588.920628,325316.759136,265970.902115,0.965585,62.289757,3.0,9960.544467,24.519601,125000.0,376.0,2489.569092,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,36706.125,9833.275391,11710445,11711197,-3511.510505,-5241.29651,5817.01069,1174.669792,
982,1769128152.304351,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,1877.709215,6728.332401,1877.708589,316788.709358,246786.384269,0.949346,-84.694174,3.5,9772.932332,24.307027,125000.0,376.0,2807.397949,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,61160.664062,15659.010742,15717401,15718153,-5278.325261,-11019.642275,3735.078278,7735.439642,
983,1769128152.35033,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2131.064246,6631.860258,2131.063477,314707.130086,246136.356124,0.950668,-85.213029,3.5,9714.695536,24.231821,125000.0,376.0,2477.301025,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,77744.0,15642.741211,15717402,15718154,-3558.965285,-8333.509899,3932.153516,3561.092922,
1190,1769128156.7710412,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,-3256.393789,6111.528902,-3256.392761,266078.069335,211460.049487,1.037478,14.374699,97.0,4931.392714,24.057543,125000.0,376.0,61.439842,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,9565.825195,-1707.265747,19721951,19722703,-8396.517926,-16120.907328,-1084.696239,-818.346915,
1191,1769128156.8251877,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,-3130.623368,6013.676913,-3130.621629,266082.935778,233143.208467,1.035777,14.494276,96.5,4868.933183,23.981761,125000.0,376.0,-297.724152,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,9565.825195,-1670.794067,19721952,19722704,-9108.177964,-9902.777577,-3146.294163,-3107.713764,
1404,1769128160.8791058,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,1910.351714,7255.062439,1910.351466,333799.254404,244976.030995,0.99225,50.40456,3.5,10074.636798,24.181882,125000.0,376.0,1923.052246,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,23644.058594,2498.858398,23734494,23735246,-4960.290825,-9089.740953,5212.734791,4124.68712,
1405,1769128160.9231575,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2199.16884,7160.771536,2199.168808,333827.089856,263843.447604,0.992308,50.629484,3.5,10017.293848,24.13672,125000.0,376.0,1606.581299,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,29208.199219,2506.641357,23734495,23735247,-3032.099596,-6938.303779,3945.481592,2095.682331,
1640,1769128165.4417868,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,-220.367144,5915.529653,-220.367653,325176.868896,243341.2551,1.03167,-29.028663,2.5,7978.859972,24.446667,125000.0,376.0,449.84198,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-11258.71875,12681.077148,27744627,27745379,-6861.079978,-9681.703608,926.499381,2850.427855,
1873,1769128169.998272,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,836.851818,6604.834561,836.851434,352538.532868,252727.864527,1.003928,42.557693,3.0,8748.158916,24.588049,125000.0,376.0,1688.737915,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-5900.946289,-13621.75,31750395,31751147,-6234.765203,-10124.890599,2872.758269,4345.247082,
1874,1769128170.045197,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,1213.729226,6522.739422,1213.727841,352610.503487,268211.483654,1.004141,42.315467,3.0,8690.633923,24.607155,125000.0,376.0,1414.493164,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-5881.146973,-13540.953125,31750396,31751148,-2537.298817,-6365.882315,434.934336,-479.072229,
2058,1769128174.4983659,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2281.156194,6877.102902,2281.155553,334260.246245,239490.825798,1.032845,28.321175,2.5,10436.489664,24.467707,125000.0,376.0,1826.449219,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,32438.21875,17172.115234,35753901,35754653,-4189.120802,-9299.42808,2871.007074,7482.063345,
2059,1769128174.5447173,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2368.157228,6785.979432,2368.157306,333277.894448,250408.703836,1.030982,28.841243,2.5,10379.84442,24.463104,125000.0,376.0,1432.93811,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,33669.132812,17118.675781,35753902,35754654,-4601.203025,-5267.95356,3025.306423,4308.247247,
2290,1769128178.952442,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,7237.637321,7793.795941,7237.637231,326483.121981,256065.226858,0.952444,-89.770502,2.5,14649.516069,24.244998,125000.0,376.0,2882.159912,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-9926.519531,-11773.983398,39761606,39762358,880.591908,-4976.910414,7743.40183,11782.629774,
