pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz,_adv_tag,_group_key
34,0.1754755,31705,0,c0:a3:58:43:08:e0,8E89BED6,APPLE,e0084358a3c01eff4c0012196456b92e7a53524c4a86c5db282ceb8878af3dfce9215700e0,29946.705398,15883.215352,29946.704998,332301.645836,270423.581396,1.002494,43.105396,101.5,33185.25415,20.506872,537234.042553,376.0,24504.865234,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,12537.487305,-107.839737,350951,351703,31593.402096,33758.744799,9095.768101,52480.222068,,
55,0.4125425,31705,0,f2:86:b6:cf:ae:61,8E89BED6,APPLE,61aecfb686f21eff4c00121910c3302acf9529ecdd2759e7e78bc45134e86c290f84fa0361,33373.41664,12789.484013,33373.417144,351657.361645,259300.412187,0.953778,-77.50172,2.0,12875.984123,21.683867,396276.595745,376.0,10670.675781,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,23085.685547,21700.066406,825085,825837,51845.501622,24429.070062,4403.388945,5727.968143,,
64,0.4861495,31705,0,f4:26:eb:e5:58:91,8E89BED6,APPLE,9158e5eb26f41eff4c00121920dbdb6b1869929059c77e255a48c9246eb4dd520ef3a70191,-2772.691556,5126.898173,-2772.692118,308692.508026,233278.812973,1.00161,44.337401,96.0,3595.091288,25.598963,53191.489362,376.0,4211.380859,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-2282.195801,8305.413086,972299,973051,-11095.513923,7616.137346,-22810.020513,1282.588754,,
73,0.566354,31705,0,ff:2d:57:15:06:b6,8E89BED6,APPLE,b60615572dff1eff4c00121920ebf3e2a1bb4f2f38742386581185720d793454e6449601b6,2308.819774,8256.221474,2308.818746,340545.295775,247979.089404,1.05616,29.373061,2.5,18778.339994,21.657898,348404.255319,376.0,-2975.810303,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-3297.775146,-9427.265625,1132708,1133460,6600.629186,-29683.166056,-10579.033179,31273.469319,,
74,0.5663545,31705,0,ff:2d:57:15:06:b6,8E89BED6,APPLE,b60615572dff1eff4c00121920ebf3e2a1bb4f2f38742386581185720d793454e6449601b6,1861.096906,8072.98038,1861.097185,339434.663285,270204.178377,1.055711,29.218066,2.5,18669.439067,21.652476,348404.255319,376.0,-2945.94751,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-3387.900391,-9433.157227,1132709,1133461,16948.828721,-16875.352325,-1375.147647,-2385.257908,,
103,0.7023675,31705,0,f3:5d:6e:44:8e:95,8E89BED6,APPLE,958e446e5df31eff4c001219209ca263cf04d133345d7d94eddaac519b51cbfd1d544c004c,18.42943,3064.121186,18.430098,340829.720697,251513.319999,0.974447,-55.402349,2.5,20827.16574,21.048318,433510.638298,376.0,-1668.732422,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-5933.946777,5917.789551,1404735,1405487,-3947.195079,5760.974694,-16812.593183,30130.630388,,
107,0.728834,31705,0,d4:64:76:95:2c:d6,8E89BED6,TILE,45a79b17d9dc0201060303edfe0d16edfe0200935a77a7aa28ef13,-1599.972301,2654.708988,-1599.97266,268021.583342,203816.992046,1.047299,-30.418761,1.5,-236.763408,22.399688,364864.864865,296.0,6848.005371,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,11057.958984,5594.694336,1457668,1458260,-23541.659727,2758.860639,-18324.808572,46929.20425,,mac::dc:d9:17:9b:a7:45
109,0.732352,31705,0,d8:53:85:bd:08:b6,8E89BED6,APPLE,b608bd8553d81eff4c00121910d32f58ec518ead487cb63cec6023870ef383a1f186ad00b6,-6383.47063,-992.821488,-6383.470061,341554.378269,243607.068667,0.972905,66.063099,2.5,9766.044047,22.468716,268617.021277,376.0,-1076.869141,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-24234.496094,-478.994537,1464704,1465456,-29492.069805,5858.560718,21891.238092,6959.879589,,
110,0.7323525,31705,0,d8:53:85:bd:08:b6,8E89BED6,APPLE,b608bd8553d81eff4c00121910d32f58ec518ead487cb63cec6023870ef383a1f186ad00b6,-6045.619912,-1148.768902,-6045.620313,340771.159134,275285.23049,0.972036,67.312758,2.5,9568.873941,22.423809,268617.021277,376.0,-860.731323,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-24234.496094,-533.539246,1464705,1465457,-19532.994843,16187.217672,2459.751334,-3326.581701,,
121,0.7700935,31705,0,fe:d1:6e:3d:97:c6,8E89BED6,APPLE,c6973d6ed1fe1eff4c00121910d73f32a67ababa02857616d058233b428ac98a398bdf02c6,26411.328245,5705.96371,26411.32831,316068.874099,222259.585813,0.895536,-79.19759,2.5,33323.164735,21.70634,351063.829787,376.0,17088.576172,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,36065.304688,32519.998047,1540187,1540939,59787.558149,-16385.684291,-12886.298294,58313.866506,,
122,0.770094,31705,0,fe:d1:6e:3d:97:c6,8E89BED6,APPLE,c6973d6ed1fe1eff4c00121910d73f32a67ababa02857616d058233b428ac98a398bdf02c6,26837.256658,5388.83445,26837.257766,315807.081852,261890.884913,0.894828,-78.915539,2.5,33206.019833,21.660376,351063.829787,376.0,16982.257812,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,38586.6875,32509.265625,1540188,1540940,74134.980795,-18327.517644,12355.084558,17902.511229,,
127,0.7853015,31705,0,c3:8a:f7:83:df:13,8E89BED6,APPLE,13df83f78ac31eff4c00121960f114412a5febc3a3a1873468b79187e1e38c547fbfe901af,-32170.675237,5975.99374,-32170.674968,335619.525652,268986.016703,0.978606,-56.954355,98.0,-6245.295668,19.857992,478723.404255,376.0,-4495.280273,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-32566.162109,-33943.683594,1570603,1571355,-16209.383511,-129707.373162,-20199.503529,48680.325373,,
186,1.037019,31705,0,cf:94:9e:9a:5c:7b,8E89BED6,APPLE,7b5c9a9e94cf1eff4c00121964437a1f4c484cec061a6dca8ee743c8556345c946d653037b,2839.867799,6729.156492,2839.867562,349068.084241,265491.568227,1.027762,9.101897,94.0,11408.616384,18.825538,433510.638298,376.0,7457.091797,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-69234.765625,-17586.160156,2074038,2074790,-38317.327974,-10258.693157,-12193.970461,76426.170072,,
