idx	AdvA	status	method	crc_calc_orig_hex	crc_rx_hex	fix_pos	fix_bit	hp_msb_hex_fixed_or_padded	crc_field_msb_hex_shifted	pad_bits
0	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	130363	687a3a					
1	D0:6D:78:47:39:4F	ORIG_OK	ORIG_OK	52d62e	52d62e					
2	7C:AA:1D:44:D2:57	ORIG_OK	ORIG_OK	2d9a79	2d9a79					
3	DC:D6:44:C7:D7:A6	CRC_BAD	UNFIXED	ff9482	4bd8db					
4	CE:AA:AB:D2:FC:09	CRC_BAD	UNFIXED	9e4b9c	c7c7a1					
5	43:CF:E8:02:99:A5	CRC_BAD	UNFIXED	bed087	372bcd					
6	E9:5A:FB:9E:46:7C	CRC_BAD	UNFIXED	573ecc	11e0c1					
7	C5:68:6B:99:6A:C5	CRC_BAD	UNFIXED	edd110	be2ec8					
8	52:5C:3A:99:8C:AB	CRC_BAD	UNFIXED	47787f	531ac6					
9	44:27:8B:7A:64:72	ORIG_OK	ORIG_OK	43a866	43a866					
10	CB:F7:96:33:13:13	CRC_BAD	UNFIXED	61cfd9	e4f30b					
11	7D:C9:C0:BD:85:B3	CRC_BAD	UNFIXED	f11432	771cf1					
12	7C:67:E3:3C:A2:1C	ORIG_OK	ORIG_OK	381713	381713					
13	DC:D9:17:9B:A7:45	ORIG_OK	ORIG_OK	b140e1	b140e1					
14	F6:72:62:ED:92:3D	ORIG_OK	ORIG_OK	2a6d9c	2a6d9c					
15	7C:24:AF:57:9B:5D	CRC_BAD	UNFIXED	f02d1e	9c2b70					
16	C6:70:C1:4D:DA:68	ORIG_OK	ORIG_OK	6c7a3e	6c7a3e					
17	D0:6D:78:47:39:4F	ORIG_OK	ORIG_OK	52d62e	52d62e					
18	49:7C:5C:25:81:75	ORIG_OK	ORIG_OK	0cb774	0cb774					
19	C2:FE:C7:D7:CA:A0	CRC_BAD	UNFIXED	520513	41006d					
20	43:AE:D7:2A:47:DF	CRC_BAD	UNFIXED	071675	577489					
21	DC:D6:44:C7:D7:A6	CRC_BAD	UNFIXED	91fdda	4bd8db					
22	4A:01:B9:78:EA:1D	CRC_BAD	UNFIXED	5dd250	1dd252					
23	F0:E3:99:3D:ED:D2	CRC_BAD	UNFIXED	556b54	ed584d					
24	CE:AA:AB:D2:FC:09	CRC_BAD	UNFIXED	1bacd1	c7d9a1					
25	43:CF:E8:02:99:A5	ORIG_OK	ORIG_OK	372bcd	372bcd					
26	E9:5A:FB:9E:46:7C	CRC_BAD	UNFIXED	6856ad	11e0c1					
27	F4:0A:68:DD:7E:C0	CRC_BAD	UNFIXED	e8d9f2	7ebd5f					
28	D5:30:D6:9E:D7:F2	CRC_BAD	UNFIXED	f61ac1	4a1c41					
29	C5:68:6B:99:6A:C5	ORIG_OK	ORIG_OK	be2ee8	be2ee8					
30	CB:F7:96:33:13:13	ORIG_OK	ORIG_OK	e4f30b	e4f30b					
31	7D:C9:C0:BD:85:B3	CRC_BAD	UNFIXED	0213eb	771cf1					
32	57:A4:BC:C5:0D:C9	ORIG_OK	ORIG_OK	fae2ed	fae2ed					
33	C2:97:CC:47:79:BF	ORIG_OK	ORIG_OK	cc632b	cc632b					
34	EA:32:7A:C5:8D:BF	CRC_BAD	UNFIXED	03dfa7	5707a0					
35	F6:72:62:ED:92:3D	CRC_BAD	UNFIXED	2a8d48	2a6d9c					
36	7C:24:AF:57:9B:5D	ORIG_OK	ORIG_OK	b82370	b82370					
37	45:4E:56:DC:16:AA	CRC_BAD	UNFIXED	85f766	85f486					
38	D0:6D:78:47:3B:0F	CRC_BAD	UNFIXED	f4438b	52d62e					
39	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	8fa84e	6c7a3e					
40	7C:AA:1D:44:D2:57	CRC_BAD	UNFIXED	fca7ab	2d9a79					
41	43:AE:D7:0A:47:DF	CRC_BAD	UNFIXED	bb0e96	577489					
42	DC:D6:44:C7:D7:A6	CRC_BAD	UNFIXED	87c236	4bd8db					
43	CE:AA:AB:D2:FC:09	ORIG_OK	ORIG_OK	c7d1a1	c7d1a1					
44	43:CF:E8:02:99:A5	CRC_BAD	UNFIXED	239368	30bfc1					
45	C5:68:6B:99:6A:C5	ORIG_OK	ORIG_OK	be2ee8	be2ee8					
46	52:5C:3A:99:8C:AB	CRC_BAD	UNFIXED	72da5e	e2da5e					
47	44:27:8B:7A:64:72	CRC_BAD	UNFIXED	5cc60b	43a866					
48	CB:F7:96:33:13:13	CRC_BAD	UNFIXED	78fb0b	e22809					
49	F6:FE:7E:BD:D0:B3	CRC_BAD	UNFIXED	9e43ca	42917a					
50	7D:C9:C0:BD:85:33	CRC_BAD	UNFIXED	3cf808	771cf1					
51	57:A4:BC:C5:0D:C9	CRC_BAD	UNFIXED	035aed	fae2ed					
52	7C:67:E3:3C:A2:1C	CRC_BAD	UNFIXED	cc53c3	3b9351					
53	FF:E8:62:AC:0E:D2	ORIG_OK	ORIG_OK	c9c7f2	c9c7f2					
54	EA:32:7A:C5:8D:BF	CRC_BAD	UNFIXED	c1f30c	5707a0					
55	F6:72:62:ED:92:3D	CRC_BAD	UNFIXED	ab96d9	2a6d9c					
56	7C:24:AF:57:9B:5D	ORIG_OK	ORIG_OK	b82370	b82370					
57	45:4E:56:DC:16:AA	CRC_BAD	UNFIXED	4ec441	85f766					
58	D0:6D:78:47:39:4F	CRC_BAD	UNFIXED	565bde	52d62e					
59	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	141da0	6c7a3e					
60	D9:B1:51:3A:9C:30	CRC_BAD	UNFIXED	bc0423	0ebfcb					
