pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_joint_hz,iq_off_i,iq_off_q,iq_eps,iq_phi_deg,amp_a,fit_iters,fit_cost
0,1761929700.192113,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,0.000162,0.000000,0.000000,0.000000,0.087114,-85.021287,0.000000,-0.001172,153.082389,0.000000,432.000000,0.000351,-0.000000,-0.008858,0.097984,-0.129377,-3.796055,0.001000,13,2.36012e-06
1,1761929700.269817,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,0.000162,0.000000,0.000000,0.000000,0.087114,-85.021287,0.000000,-0.001172,153.082389,0.000000,432.000000,0.000351,-0.000000,-0.008858,0.097984,-0.129377,-3.796055,0.001000,13,2.36012e-06
2,1761929700.328218,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,0.000162,0.000000,0.000000,0.000000,0.087114,-85.021287,0.000000,-0.001172,153.082389,0.000000,432.000000,0.000351,-0.000000,-0.008858,0.097984,-0.129377,-3.796055,0.001000,13,2.36012e-06
3,1761929700.386778,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,0.000162,0.000000,0.000000,0.000000,0.087114,-85.021287,0.000000,-0.001172,153.082389,0.000000,432.000000,0.000351,-0.000000,-0.008858,0.097984,-0.129377,-3.796055,0.001000,13,2.36012e-06
4,1761929700.446301,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,0.000162,0.000000,0.000000,0.000000,0.087114,-85.021287,0.000000,-0.001172,153.082389,0.000000,432.000000,0.000351,-0.000000,-0.008858,0.097984,-0.129377,-3.796055,0.001000,13,2.36012e-06
5,1761929700.512743,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,0.000162,0.000000,0.000000,0.000000,0.087114,-85.021287,0.000000,-0.001172,153.082389,0.000000,432.000000,0.000351,-0.000000,-0.008858,0.097984,-0.129377,-3.796055,0.001000,13,2.36012e-06
6,1761929700.571256,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,0.000162,0.000000,0.000000,0.000000,0.087114,-85.021287,0.000000,-0.001172,153.082389,0.000000,432.000000,0.000351,-0.000000,-0.008858,0.097984,-0.129377,-3.796055,0.001000,13,2.36012e-06
7,1761929700.630741,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,0.000162,0.000000,0.000000,0.000000,0.087114,-85.021287,0.000000,-0.001172,153.082389,0.000000,432.000000,0.000351,-0.000000,-0.008858,0.097984,-0.129377,-3.796055,0.001000,13,2.36012e-06
8,1761929700.694307,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,0.000162,0.000000,0.000000,0.000000,0.087114,-85.021287,0.000000,-0.001172,153.082389,0.000000,432.000000,0.000351,-0.000000,-0.008858,0.097984,-0.129377,-3.796055,0.001000,13,2.36012e-06
9,1761929700.759198,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,0.000162,0.000000,0.000000,0.000000,0.087114,-85.021287,0.000000,-0.001172,153.082389,0.000000,432.000000,0.000351,-0.000000,-0.008858,0.097984,-0.129377,-3.796055,0.001000,13,2.36012e-06
