pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_joint_hz,iq_off_i,iq_off_q,iq_eps,iq_phi_deg,amp_a,fit_iters,fit_cost,cfo_centroid_hz_signfixed
0,1761868414.270396,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
1,1761868414.330786,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
2,1761868414.389817,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
3,1761868414.447628,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
4,1761868414.505895,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
5,1761868414.564711,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
6,1761868414.622931,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
7,1761868414.680525,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
8,1761868414.738485,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
9,1761868414.796126,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
10,1761868414.854288,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
11,1761868414.912257,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
12,1761868414.969729,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
13,1761868415.026742,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
14,1761868415.085534,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
15,1761868415.142235,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
16,1761868415.199967,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
17,1761868415.256724,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
18,1761868415.315973,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
19,1761868415.373172,37,0,e5:10:30:19:30:44,8E89BED6,0.000000,0.000102,-0.000000,0.000000,0.000000,28.380952,-2.017976,0.000000,-0.000259,153.174235,0.000000,432.000000,-0.000001,-0.000000,0.999166,-0.036414,-0.129363,-3.795827,0.001000,13,2.34425e-06,0.000102
