pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_joint_hz,iq_off_i,iq_off_q,iq_eps,iq_phi_deg,amp_a,fit_iters,fit_cost,cfo_exact_quick_hz,cfo_exact_ls_hz
0,1762551072.429934,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,50512.539062,50512.539062
1,1762551072.457784,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,0.000000,0.000000
2,1762551072.478371,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,0.000000,0.000000
3,1762551072.499138,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,0.000000,0.000000
4,1762551072.519994,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,0.000000,0.000000
5,1762551072.540519,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,50557.578125,50557.578125
6,1762551072.561583,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,0.000000,0.000000
7,1762551072.583069,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,0.000000,0.000000
8,1762551072.604320,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,0.000000,0.000000
9,1762551072.624838,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,0.000000,0.000000
10,1762551072.645508,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,0.000000,0.000000
11,1762551072.666091,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.578125,109415.289062,0.953905,81.119293,0.000000,54169.329223,26.220389,94827.586207,232.000000,53087.832031,50406.804215,0.287153,-0.253588,-0.452659,53.415327,0.193241,13,18.4893,0.000000,0.000000
