pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_joint_hz,iq_off_i,iq_off_q,iq_eps,iq_phi_deg,amp_a,fit_iters,fit_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,cfo_centroid_hz_signfixed
0,1762317972.320797,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
1,1762317972.391584,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
2,1762317972.451492,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
3,1762317972.511838,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
4,1762317972.570800,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
5,1762317972.629180,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
6,1762317972.686925,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
7,1762317972.745059,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
8,1762317972.802076,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
9,1762317972.861112,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
10,1762317972.918181,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
11,1762317972.976509,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
12,1762317973.034248,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
13,1762317973.092399,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
14,1762317973.149888,37,0,e5:10:31:12:54:30,8E89BED6,0.000000,-0.000812,-0.000011,0.000000,0.000000,0.943468,-46.666155,0.000000,-0.000244,153.150791,0.000000,432.000000,-0.000886,-0.000000,-0.041505,0.042567,-0.129360,-3.796106,0.001000,13,2.33181e-06,0.000000,0.000000,-0.000812
