pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_hz,cfo_jump_hz
0,1764017896.248628139,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,34,498,79195.753864,78464.972200
1,1764017896.249130011,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,4506,4970,79195.753864,78464.972200
2,1764017896.249555826,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,8978,9442,79195.753864,78464.972200
3,1764017896.250047445,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,13450,13914,79195.753864,78464.972200
4,1764017896.250501156,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,17922,18386,79195.753864,78464.972200
5,1764017896.250995874,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,22394,22858,79195.753864,78464.972200
6,1764017896.251543045,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,26866,27330,79195.753864,78464.972200
7,1764017896.252115726,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,31338,31802,79195.753864,78464.972200
8,1764017896.252649546,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,35810,36274,79195.753864,78464.972200
9,1764017896.253195047,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,40282,40746,79195.753864,78464.972200
10,1764017896.253657103,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,44754,45218,79195.753864,78464.972200
11,1764017896.254056454,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,49226,49690,79195.753864,78464.972200
12,1764017896.254581213,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,53698,54162,79195.753864,78464.972200
13,1764017896.255108595,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,58170,58634,79195.753864,78464.972200
14,1764017896.255595922,37,0,E5:10:31:12:54:30,8E89BED6,58714.379792,58714.379792,58714.379792,137806.868381,137806.868381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.000000,58714.378906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50238.734375,56146.367188,62642,63106,79195.753864,78464.972200
