pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_quick_hz_fixed,cfo_centroid_hz_fixed,cfo_two_stage_hz_fixed,cfo_coarse_hz_fixed,cfo_consensus_hz
0,1761665670.706113,37,0,d3:aa:11:c3:69:90,8E89BED6,31896.388672,-686.972412,10694.869141,567586.562500,395292.343750,0.994278,-62.346720,0.500000,-20221.865687,12.022052,729166.666667,576.000000,-2756.040527,31896.388672,686.972412,10694.869141,2756.040527,6725.454834
1,1761665670.804936,37,0,d3:aa:11:c3:69:90,8E89BED6,31896.388672,-686.972412,10694.869141,567586.562500,395292.343750,0.994278,-62.346720,0.500000,-20221.865687,12.022052,729166.666667,576.000000,-2756.040527,31896.388672,686.972412,10694.869141,2756.040527,6725.454834
2,1761665671.396721,37,0,d3:aa:11:c3:69:90,8E89BED6,-2456.406006,15033.607422,4351.515625,556311.187500,392353.781250,1.032167,0.163012,0.000000,12425.712551,11.013250,1680555.555556,576.000000,23507.117188,2456.406006,15033.607422,4351.515625,23507.117188,9692.561524
3,1761665671.951464,37,0,d3:aa:11:c3:69:90,8E89BED6,-21063.566406,3236.342773,-9011.619141,572405.437500,401843.500000,0.958100,78.770829,0.000000,-27396.357824,10.517351,1951388.888889,576.000000,14884.291016,-21063.566406,-3236.342773,-9011.619141,-14884.291016,-11947.955078
4,1761665672.508661,37,0,d3:aa:11:c3:69:90,8E89BED6,33649.937500,8541.957031,38259.312500,566533.500000,385656.625000,1.037087,-18.524257,1.000000,13770.360686,10.432571,1569444.444444,576.000000,23939.017578,33649.937500,8541.957031,38259.312500,23939.017578,28794.477539
5,1761665672.611626,37,0,d3:aa:11:c3:69:90,8E89BED6,33649.937500,8541.957031,38259.312500,566533.500000,385656.625000,1.037087,-18.524257,1.000000,13770.360686,10.432571,1569444.444444,576.000000,23939.017578,33649.937500,8541.957031,38259.312500,23939.017578,28794.477539
6,1761665673.148023,37,0,d3:aa:11:c3:69:90,8E89BED6,-24712.072266,4007.247559,-16025.549805,565626.625000,396055.937500,0.956053,65.136104,3.000000,512.109434,11.858253,1171875.000000,576.000000,3380.996826,-24712.072266,-4007.247559,-16025.549805,-3380.996826,-10016.398682
7,1761665673.253496,37,0,d3:aa:11:c3:69:90,8E89BED6,-24712.072266,4007.247559,-16025.549805,565626.625000,396055.937500,0.956053,65.136104,3.000000,512.109434,11.858253,1171875.000000,576.000000,3380.996826,-24712.072266,-4007.247559,-16025.549805,-3380.996826,-10016.398682
8,1761665673.789540,37,0,d3:aa:11:c3:69:90,8E89BED6,22428.097656,-3375.049561,1538.691406,558078.187500,388181.750000,1.005453,-32.166905,0.000000,7516.656887,11.412003,1954861.111111,576.000000,-7534.706055,-22428.097656,-3375.049561,-1538.691406,-7534.706055,-5454.877808
9,1761665674.348197,37,0,d3:aa:11:c3:69:90,8E89BED6,-31286.261719,1533.882812,-8247.122070,566217.562500,414190.125000,1.047071,9.585904,0.500000,27325.076349,10.837171,1657986.111111,576.000000,2275.619141,-31286.261719,-1533.882812,-8247.122070,-2275.619141,-5261.370606
