pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_consensus_hz
0,1761665670.706113,37,0,d3:aa:11:c3:69:90,8E89BED6,31896.388672,686.972412,10266.663453,567586.562500,395292.343750,0.994278,-62.346720,0.500000,-20221.865687,12.022052,729166.666667,576.000000,2756.040527,6297.249146
1,1761665670.804936,37,0,d3:aa:11:c3:69:90,8E89BED6,31896.388672,686.972412,10266.663453,567586.562500,395292.343750,0.994278,-62.346720,0.500000,-20221.865687,12.022052,729166.666667,576.000000,2756.040527,6297.249146
12,1761665675.823279,37,0,d3:aa:11:c3:69:90,8E89BED6,29031.462891,113.090996,25475.436890,560064.125000,375627.937500,1.020478,35.771856,0.000000,24144.880097,12.691818,197916.666667,576.000000,7815.794434,16431.512818
13,1761665675.930488,37,0,d3:aa:11:c3:69:90,8E89BED6,29031.462891,113.090996,25475.436890,560064.125000,375627.937500,1.020478,35.771856,0.000000,24144.880097,12.691818,197916.666667,576.000000,7815.794434,16431.512818
20,1761665678.429295,37,0,d3:aa:11:c3:69:90,8E89BED6,-23389.183594,-7078.580078,-20273.467407,550291.750000,401065.281250,1.013113,17.398067,1.000000,-3275.629985,12.892572,1697916.666667,576.000000,-5844.449219,-13890.126586
21,1761665678.532874,37,0,d3:aa:11:c3:69:90,8E89BED6,-23389.183594,-7078.580078,-20273.467407,550291.750000,401065.281250,1.013113,17.398067,1.000000,-3275.629985,12.892572,1697916.666667,576.000000,-5844.449219,-13890.126586
23,1761665679.603551,37,0,d3:aa:11:c3:69:90,8E89BED6,-6041.897461,-4857.413574,-7329.986450,562104.250000,393848.093750,0.949296,89.730050,0.000000,-18910.085200,13.483594,560763.888889,576.000000,-5398.943359,-6148.626098
24,1761665679.709412,37,0,d3:aa:11:c3:69:90,8E89BED6,-6041.897461,-4857.413574,-7329.986450,562104.250000,393848.093750,0.949296,89.730050,0.000000,-18910.085200,13.483594,560763.888889,576.000000,-5398.943359,-6148.626098
29,1761665681.602585,37,0,d3:aa:11:c3:69:90,8E89BED6,19400.636719,1616.303589,4939.986695,572942.812500,422441.156250,1.022351,-33.278569,0.000000,-23429.770699,13.191662,607638.888889,576.000000,2173.679443,3342.730225
30,1761665681.714750,37,0,d3:aa:11:c3:69:90,8E89BED6,19400.636719,1616.303589,4939.986695,572942.812500,422441.156250,1.022351,-33.278569,0.000000,-23429.770699,13.191662,607638.888889,576.000000,2173.679443,3342.730225
