pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
0,1764714220.573409319,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6548.021921,7662.294482,6548.020993,322831.429426,239619.339772,1.033978,33.798443,75.000000,4192.069296,25.055301,164893.617021,376.000000,5835.607422,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,2649.325684,2129.743408,3856303,3857055,24639.640197,34354.353854,-30780.406038,-23716.419408
1,1764714221.008030653,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6065.682773,8699.618292,6065.681558,337901.841461,244610.271333,0.926416,-79.064632,2.500000,3608.299453,24.899231,164893.617021,376.000000,4996.406250,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,19308.023438,559.432434,7872686,7873438,22715.989311,32057.692355,-31546.073269,-22763.097900
2,1764714221.040151358,37,0,FC:7F:0A:E5:D0:87,8E89BED6,5859.865760,8771.914537,5859.865382,337373.237924,269267.152983,0.927152,-79.453412,2.500000,3552.630159,24.913851,164893.617021,376.000000,5088.326172,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,19308.023438,583.104248,7872687,7873439,23449.841139,33291.291684,-30679.505675,-24019.793744
4,1764714221.479754210,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6999.102567,8688.387638,6999.103693,311368.691971,244641.872754,0.954280,59.857571,2.500000,5105.541259,25.529195,164893.617021,376.000000,6707.697754,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-1860.474731,-11294.841797,11887215,11887967,22271.511135,34392.502173,-28107.616017,-21316.872113
5,1764714221.921566963,37,0,FC:7F:0A:E5:D0:87,8E89BED6,5792.434655,8645.088872,5792.434166,312087.486337,230353.718664,1.086543,6.674315,2.500000,3312.851198,24.738616,239361.702128,376.000000,6233.619141,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7755.505371,-6538.501465,15900272,15901024,24475.163671,33549.280724,-34557.702678,-23335.222281
6,1764714222.351591825,37,0,FC:7F:0A:E5:D0:87,8E89BED6,5961.647257,8284.658401,5961.646316,299884.417269,218185.412790,0.943205,-63.282010,52.500000,3328.443679,25.044408,164893.617021,376.000000,5530.026855,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,26009.845703,-5379.168457,19911118,19911870,22620.708483,32009.956013,-33936.352338,-18327.261196
7,1764714222.383402586,37,0,FC:7F:0A:E5:D0:87,8E89BED6,5587.912428,8399.444352,5587.912625,299368.216342,227729.695851,0.943668,-63.413369,52.500000,3281.050072,25.029672,164893.617021,376.000000,5596.233887,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,24121.455078,-5343.982422,19911119,19911871,20728.926430,33479.838377,-23551.859993,-26369.025328
8,1764714222.818699837,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6115.322542,7160.988101,6115.321791,325541.980832,254881.581716,0.911993,78.462896,2.500000,3093.881201,24.786327,164893.617021,376.000000,5579.533691,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-3966.670898,17304.978516,23916956,23917708,23259.905065,31461.016694,-31269.832480,-19933.113546
9,1764714223.246674061,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6609.488398,8917.175729,6609.488073,296599.911145,226822.635335,0.907597,-83.826851,7.500000,4577.612015,24.830851,239361.702128,376.000000,6071.397949,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-11102.344727,479.951782,27931584,27932336,23368.321353,33390.173576,-30475.762353,-21117.429139
10,1764714223.678166866,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6028.705773,8289.852713,6028.705752,321022.965257,226991.077670,0.921277,-74.894004,26.500000,3268.489478,25.511629,164893.617021,376.000000,6064.968262,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,40069.128906,11560.254883,31945927,31946679,21580.390598,31550.890123,-33418.395270,-18019.940543
