pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
0,1763953275.604505777,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9684.991590,-9684.991590,-9684.991590,244108.033053,244108.033053,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9684.991211,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,7643.232422,-5734.643066,1162627,1163011
1,1763953275.604786158,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10030.576744,-10030.576744,-10030.576744,248955.333887,248955.333887,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10030.577148,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,7643.232422,-5493.764648,1162628,1163012
2,1763953276.041670322,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9329.714558,-9329.714558,-9329.714558,252120.290435,252120.290435,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9329.714844,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,14589.109375,-5547.455566,5173179,5173563
3,1763953276.494959831,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10329.745722,-10329.745722,-10329.745722,275798.416562,275798.416562,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10329.746094,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,37998.566406,-8923.613281,9183220,9183604
4,1763953276.495281458,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-11073.909403,-11073.909403,-11073.909403,276032.605635,276032.605635,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-11073.909180,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,37935.574219,-8688.485352,9183221,9183605
5,1763953276.952123165,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9343.994489,-9343.994489,-9343.994489,252979.750844,252979.750844,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9343.994141,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,19436.964844,-15086.297852,13188819,13189203
6,1763953276.952378511,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10142.809259,-10142.809259,-10142.809259,254747.869365,254747.869365,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10142.809570,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,10893.293945,-14996.231445,13188820,13189204
7,1763953277.409873962,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10878.603756,-10878.603756,-10878.603756,232674.514596,232674.514596,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10878.603516,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,26503.642578,-5952.427246,17186311,17186695
8,1763953277.410087824,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-11142.453199,-11142.453199,-11142.453199,233239.674188,233239.674188,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-11142.453125,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,26503.642578,-5732.994141,17186312,17186696
10,1763953277.882983446,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9814.299254,-9814.299254,-9814.299254,241493.285973,241493.285973,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9814.298828,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,20129.345703,-5539.352539,21184231,21184615
11,1763953277.883199215,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10016.454670,-10016.454670,-10016.454670,245642.056645,245642.056645,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10016.455078,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,18235.421875,-5342.745117,21184232,21184616
13,1763953278.346050739,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9677.376583,-9677.376583,-9677.376583,248037.709219,248037.709219,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9677.376953,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-6903.916504,-6010.958496,25182887,25183271
14,1763953278.811278343,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10093.873866,-10093.873866,-10093.873866,278271.148969,278271.148969,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10093.874023,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-14304.097656,-7378.822266,29184041,29184425
15,1763953279.287158728,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9999.701787,-9999.701787,-9999.701787,248620.665400,248620.665400,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9999.702148,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,18995.314453,-5387.992188,33189156,33189540
16,1763953279.287337542,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10268.589096,-10268.589096,-10268.589096,248910.833783,248910.833783,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10268.588867,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,13202.553711,-5171.916016,33189157,33189541
17,1763953279.731329679,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9662.237475,-9662.237475,-9662.237475,290711.207397,290711.207397,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9662.237305,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,33870.914062,5143.295410,37187050,37187434
18,1763953279.731534481,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10134.747071,-10134.747071,-10134.747071,291164.814746,291164.814746,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10134.747070,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,33870.914062,5589.501953,37187051,37187435
19,1763953280.168823242,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9823.662563,-9823.662563,-9823.662563,263150.590735,263150.590735,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9823.662109,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,45666.351562,-4917.656250,41186194,41186578
20,1763953280.169006586,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10378.626003,-10378.626003,-10378.626003,263079.469388,263079.469388,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10378.625977,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,40489.171875,-4632.182617,41186195,41186579
21,1763953280.633320808,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10346.814329,-10346.814329,-10346.814329,228512.718068,228512.718068,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10346.814453,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,23703.464844,-5451.206055,45186105,45186489
22,1763953281.072931528,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10044.457719,-10044.457719,-10044.457719,234788.027504,234788.027504,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10044.458008,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,8144.950195,-5707.942871,49189904,49190288
23,1763953281.073198080,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10238.813110,-10238.813110,-10238.813110,235097.259882,235097.259882,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10238.813477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,8144.950195,-5497.463867,49189905,49190289
24,1763953281.532209635,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9720.727354,-9720.727354,-9720.727354,221674.611729,221674.611729,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9720.727539,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,38733.777344,-5645.929688,53194126,53194510
25,1763953281.532445669,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10176.176828,-10176.176828,-10176.176828,223608.890468,223608.890468,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10176.176758,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,36563.230469,-5432.497559,53194127,53194511
26,1763953281.990185738,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10110.467909,-10110.467909,-10110.467909,244978.085677,244978.085677,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10110.467773,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17116.593750,-5775.731934,57193544,57193928
27,1763953281.990450859,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10438.833021,-10438.833021,-10438.833021,246492.684406,246492.684406,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10438.833008,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17116.593750,-5558.290039,57193545,57193929
28,1763953282.435401678,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10355.609134,-10355.609134,-10355.609134,290874.147087,290874.147087,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10355.609375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,43544.203125,-2129.472900,61197174,61197558
29,1763953282.435631275,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10600.596281,-10600.596281,-10600.596281,291266.183204,291266.183204,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10600.596680,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,43544.203125,-1936.979980,61197175,61197559
30,1763953282.891906977,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9535.118964,-9535.118964,-9535.118964,252894.867923,252894.867923,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9535.119141,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,47763.265625,-5455.704590,65205620,65206004
31,1763953282.892122984,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9898.654919,-9898.654919,-9898.654919,253041.304898,253041.304898,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9898.655273,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,44030.121094,-5173.603027,65205621,65206005
32,1763953283.346819878,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-8959.047002,-8959.047002,-8959.047002,264718.897114,264718.897114,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-8959.046875,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,71403.476562,7402.897949,69207205,69207589
33,1763953283.347063065,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9512.829978,-9512.829978,-9512.829978,264664.102778,264664.102778,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9512.830078,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,64626.250000,7854.356445,69207206,69207590
34,1763953283.804070473,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9858.265036,-9858.265036,-9858.265036,238281.514910,238281.514910,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9858.264648,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,16403.460938,-4862.600586,73213394,73213778
35,1763953284.271557331,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9761.083097,-9761.083097,-9761.083097,257730.452321,257730.452321,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9761.083008,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,26646.156250,6995.753418,77212457,77212841
36,1763953284.271776199,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9994.852896,-9994.852896,-9994.852896,257852.043677,257852.043677,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9994.852539,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,25279.171875,7360.081543,77212458,77212842
37,1763953284.722948790,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10133.012416,-10133.012416,-10133.012416,217107.983560,217107.983560,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10133.012695,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13789.804688,-6121.286621,81211117,81211501
40,1763953285.181176662,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10376.465261,-10376.465261,-10376.465261,245160.855572,245160.855572,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10376.464844,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-12491.536133,-617.914551,85213479,85213863
41,1763953285.668602943,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9895.871401,-9895.871401,-9895.871401,235545.008552,235545.008552,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9895.871094,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,9129.720703,-5827.234863,89219945,89220329
42,1763953285.668997526,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10609.216766,-10609.216766,-10609.216766,235374.057688,235374.057688,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10609.216797,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,8478.883789,-5624.306152,89219946,89220330
43,1763953286.119491100,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9493.689422,-9493.689422,-9493.689422,278888.004549,278888.004549,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9493.689453,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,57066.113281,3307.337158,93220821,93221205
44,1763953286.119758368,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9839.004092,-9839.004092,-9839.004092,279918.667101,279918.667101,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9839.003906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,57066.113281,3614.064941,93220822,93221206
45,1763953286.567375422,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9578.899732,-9578.899732,-9578.899732,297514.024205,297514.024205,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9578.899414,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,32395.251953,2170.604980,97223963,97224347
46,1763953286.567551851,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10270.501048,-10270.501048,-10270.501048,299626.997435,299626.997435,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10270.500977,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,32395.251953,2523.462646,97223964,97224348
47,1763953287.033318758,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10330.812956,-10330.812956,-10330.812956,259008.475217,259008.475217,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10330.812500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17309.378906,-5830.217773,101232767,101233151
48,1763953287.033493042,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10997.611636,-10997.611636,-10997.611636,259523.465591,259523.465591,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10997.611328,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,5471.941895,-5623.160156,101232768,101233152
50,1763953287.469703674,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9479.310255,-9479.310255,-9479.310255,258177.719240,258177.719240,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9479.310547,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,57309.996094,-2531.382324,105237433,105237817
