pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
0,1764364240.023236513,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10185.622442,4858.838729,-10185.621802,334844.003030,254438.097942,1.129591,3.902206,2.000000,-14248.593973,24.405042,268617.021277,376.000000,-8099.965332,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-16712.091797,-28075.900391,907016,907768,-20119.008466,-21982.038249,-1312.838939,107184.025368
1,1764364241.994298220,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10711.468621,5609.078925,-10711.467912,344986.933583,254266.275494,1.097726,10.726688,2.500000,-14700.477561,23.974375,242021.276596,376.000000,-7965.544434,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5518.087402,-14352.637695,4840215,4840967,-30205.072879,-13460.201953,-3274.132209,120995.421165
2,1764364242.031382322,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10418.599145,5701.778799,-10418.599403,344257.380999,267246.988624,1.097312,10.242128,2.500000,-14811.353701,24.004781,242021.276596,376.000000,-8007.038574,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5518.087402,-14309.296875,4840216,4840968,-16625.997420,-46006.797791,1399.388041,106532.263427
3,1764364244.012865305,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10485.309448,6072.723320,-10485.309074,324595.701585,222423.963457,1.117334,-8.646184,2.000000,-14605.154112,24.990776,242021.276596,376.000000,-8698.177734,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13009.916992,-9845.639648,8841066,8841818,-20470.626810,-26295.513725,-496.894061,102377.150201
4,1764364246.204049349,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10447.919104,6263.266977,-10447.919782,334019.375128,259920.486381,1.095327,17.090205,2.000000,-14538.861480,24.426865,268617.021277,376.000000,-6605.877441,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13070.394531,-14323.067383,12850577,12851329,-25439.375435,-19734.094747,3641.835494,109052.194638
5,1764364248.213071823,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10827.282769,6631.502451,-10827.282486,344522.405103,248946.076586,0.910272,-87.098980,2.500000,-14929.078324,24.649485,242021.276596,376.000000,-8035.637695,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1196.495361,-8698.443359,16851150,16851902,-32525.649699,-9250.600023,6846.346199,113570.410019
6,1764364248.256335497,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10475.850594,6734.994395,-10475.851465,344199.003407,258026.394916,0.911572,-87.489093,2.500000,-15039.774217,24.581626,242021.276596,376.000000,-8031.731445,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4679.895996,-8797.925781,16851151,16851903,-15306.974915,-43869.249010,2746.575126,110212.565936
7,1764364250.344704628,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10516.336359,5997.466902,-10516.335581,334905.403223,258535.704716,1.070239,26.963464,2.500000,-14641.435058,24.659449,268617.021277,376.000000,-6896.087402,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-11146.770508,-12762.153320,20853693,20854445,-28941.497079,-10071.813971,-1395.303323,113967.046724
8,1764364250.379126310,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10136.602667,6112.198182,-10136.602648,334275.306065,261249.300491,1.070355,26.660588,2.500000,-14752.413111,24.669587,268617.021277,376.000000,-6889.910645,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-8844.190430,-12765.795898,20853694,20854446,-12969.575783,-49573.240624,-4652.901308,104271.015070
9,1764364252.444869280,37,0,E4:77:B1:12:A5:6F,8E89BED6,-11076.355471,4579.283621,-11076.355448,312626.925486,244756.278667,0.892018,86.784247,2.000000,-15021.063812,24.591769,242021.276596,376.000000,-9168.137695,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-14310.135742,-5562.012695,24861697,24862449,-22762.007602,-24234.857665,-14363.853837,108177.740687
10,1764364254.641397476,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10578.755412,7071.260259,-10578.754643,317715.433963,234811.935419,0.947479,-59.125188,2.500000,-14573.454293,24.524639,242021.276596,376.000000,-7229.369141,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,3238.187744,-1710.938232,28861760,28862512,-27925.505935,-9913.084266,6522.615032,115094.551192
11,1764364254.690476656,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10237.131390,7160.064773,-10237.132152,317742.365299,249751.721937,0.946811,-59.508798,2.500000,-14685.005758,24.572790,242021.276596,376.000000,-7270.582031,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,3643.790283,-1773.774170,28861761,28862513,-15041.990122,-42078.981913,3560.453361,104746.880294
12,1764364256.662888527,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10547.412657,5342.073523,-10547.413682,324914.624407,251061.617895,0.890244,-79.696307,2.000000,-14612.457704,24.375856,242021.276596,376.000000,-7901.240234,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-16309.885742,-14375.210938,32863294,32864046,-21695.762211,-23399.510611,-250.592337,105969.707028
13,1764364258.607800245,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10728.657946,5009.981854,-10728.656857,329843.342341,257954.373976,0.919303,73.930583,2.000000,-14425.564065,24.554041,268617.021277,376.000000,-8671.016602,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-25363.908203,-18409.539062,36868032,36868784,-23221.682244,-15727.525200,-4340.626399,111322.062433
14,1764364258.655770540,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10302.261032,5169.873228,-10302.261338,329917.180958,228587.184400,0.920987,73.460494,2.000000,-14537.142370,24.549819,268617.021277,376.000000,-8609.135742,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-24890.437500,-18324.539062,36868033,36868785,-8827.383434,-49328.214661,1904.769879,104422.797290
15,1764364260.608663082,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10415.025027,5670.573857,-10415.024285,312344.306082,223760.623000,0.918828,-69.310809,2.000000,-14201.672325,24.672913,242021.276596,376.000000,-8248.636719,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-417.433289,-4186.482422,40876183,40876935,-31818.604694,-8395.463473,-1820.429345,114661.010440
16,1764364260.645406961,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10077.778732,5787.213390,-10077.779809,312377.776609,235582.843581,0.919347,-69.583287,2.000000,-14314.543535,24.704293,242021.276596,376.000000,-8255.300781,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-266.222412,-4218.860840,40876184,40876936,-14152.328528,-44488.358667,7031.008171,104674.642874
17,1764364262.756352425,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10782.752462,5705.635768,-10782.753196,322541.423002,242127.203978,1.104330,-1.912407,2.000000,-14628.254498,24.120964,268617.021277,376.000000,-8051.218750,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-11637.443359,-4701.652832,44837004,44837756,-24636.812256,-18279.738105,-4437.404552,103865.535167
18,1764364264.790507793,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10071.854097,5362.000465,-10071.853955,317777.307369,220618.686100,0.931046,-66.127124,2.000000,-13970.014785,24.470741,242021.276596,376.000000,-8149.931152,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5660.427246,-15701.221680,48841176,48841928,-34062.569908,-5626.627887,-1943.888662,114219.594102
19,1764364264.824862242,37,0,E4:77:B1:12:A5:6F,8E89BED6,-9782.329667,5460.567485,-9782.329662,316927.271213,251012.787023,0.931362,-66.411748,2.000000,-14082.350335,24.456276,242021.276596,376.000000,-8177.409180,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5064.167480,-15688.302734,48841177,48841929,-14568.713398,-37491.696516,-6167.598990,100717.203313
20,1764364266.827556133,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10343.893700,5307.203600,-10343.896072,328739.499647,247965.135334,1.118260,-14.043006,2.500000,-14329.985261,24.644454,242021.276596,376.000000,-8036.447754,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5122.017578,-9423.918945,52850543,52851295,-36348.452058,-5751.341279,3661.787444,113407.390639
21,1764364266.867536306,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10085.973259,5405.270341,-10085.972651,328446.287494,264985.340501,1.116026,-14.357713,2.500000,-14442.604519,24.682531,242021.276596,376.000000,-8054.741699,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-3440.119385,-9441.451172,52850544,52851296,-14618.373410,-38499.089864,887.121364,97653.523003
22,1764364268.831131935,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10477.148973,4749.454665,-10477.149408,324812.866165,236779.328970,1.026029,38.473209,2.000000,-14480.192930,24.680122,242021.276596,376.000000,-8055.951172,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-15010.127930,-10597.784180,56753842,56754594,-36332.780062,-4833.422495,35.353121,106667.824193
23,1764364268.864635229,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10330.805800,4807.909990,-10330.805557,324083.178490,252981.442861,1.026092,38.339528,2.000000,-14590.958707,24.675432,242021.276596,376.000000,-8135.394043,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13436.227539,-10563.353516,56753843,56754595,-19677.940965,-30375.620341,-7510.769965,104459.617066
24,1764364270.852008343,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10813.530563,5764.407738,-10813.531884,328328.986408,247658.039368,1.055041,-27.735412,2.000000,-14705.734202,24.464364,242021.276596,376.000000,-7260.293457,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-26453.621094,-12759.483398,60766262,60767014,-26777.791493,-14359.413710,-2785.193412,112764.294532
25,1764364270.891175985,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10420.797921,5900.442083,-10420.797998,328113.165342,251733.666071,1.052909,-28.232227,2.000000,-14820.669879,24.450114,242021.276596,376.000000,-7205.073242,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-23197.083984,-12739.878906,60766263,60767015,-11522.723705,-50090.022487,841.254129,100406.452427
26,1764364272.988180637,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10625.145287,5841.073909,-10625.146023,317562.055251,233765.663140,1.082604,-11.749599,2.000000,-14803.652635,24.299144,242021.276596,376.000000,-8315.796875,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,3697.660156,-5013.111328,64781082,64781834,-29973.395641,-12056.114553,6924.034256,108810.595109
27,1764364273.025115252,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10303.025422,5962.266116,-10303.025952,315797.277711,246437.473863,1.080435,-12.127598,2.000000,-14914.919261,24.308470,242021.276596,376.000000,-8281.114258,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,8573.083984,-5097.372559,64781083,64781835,-11283.020909,-47547.363486,-1349.714886,108618.237500
28,1764364275.068656206,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10610.797615,4962.766966,-10610.798731,304842.858965,220194.299040,0.922877,-67.281955,2.000000,-14638.339803,24.518012,242021.276596,376.000000,-7915.273926,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-11860.450195,-8449.180664,68792640,68793392,-24177.424854,-18488.711100,-3989.964574,103406.108151
29,1764364277.063705921,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10509.085303,6542.986958,-10509.085084,311691.565123,250764.347421,1.011475,41.707920,2.000000,-14277.873489,24.652515,242021.276596,376.000000,-7433.833008,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1581.380005,-769.855835,72803207,72803959,-35824.665163,-5080.480911,9223.289964,106339.641494
30,1764364277.100672245,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10409.345528,6603.931884,-10409.344535,309697.294038,234995.275685,1.011596,41.603200,2.000000,-14388.161318,24.650990,242021.276596,376.000000,-7520.104492,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1581.380005,-835.921448,72803208,72803960,-18829.345464,-28229.131807,-149.761413,103116.545631
31,1764364279.119621992,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10271.313948,6055.723585,-10271.314242,340236.254966,253152.384068,1.007435,43.058101,2.000000,-14262.907514,24.806134,242021.276596,376.000000,-7865.973145,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-14549.384766,3962.907959,76715506,76716258,-21018.988494,-21128.389974,-5769.404170,111098.420756
32,1764364281.204101324,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10607.886366,6585.833156,-10607.887393,323494.146904,223638.397989,0.945108,-62.910014,2.000000,-14776.702762,24.620155,242021.276596,376.000000,-8465.660156,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,26538.275391,4471.659668,80729399,80730151,-26434.180680,-14617.788196,9483.562803,115676.567969
33,1764364281.246930838,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10211.430210,6729.183166,-10211.429299,323528.407765,241818.111086,0.944316,-63.417305,2.000000,-14888.347162,24.524603,242021.276596,376.000000,-8443.279297,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,26538.275391,4298.196289,80729400,80730152,-11834.806110,-54686.765365,2495.721195,102956.619567
34,1764364283.344855309,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10676.166892,6150.924188,-10676.166960,321231.395407,244214.721019,1.039473,32.888730,2.000000,-14646.993417,24.544715,268617.021277,376.000000,-7867.475586,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-42.099197,-1165.997437,84572229,84572981,-36678.279008,-2175.786435,4593.696481,102397.462608
35,1764364283.382670164,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10501.269078,6217.679966,-10501.269358,320985.855896,259079.903457,1.039287,32.694167,2.000000,-14758.171926,24.567428,268617.021277,376.000000,-7951.161621,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,624.531128,-1167.371338,84572230,84572982,-21224.384231,-35273.685643,-2625.892047,110306.428893
36,1764364285.446661234,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10728.815008,5649.355528,-10728.817342,331019.671376,239686.585081,1.112005,-13.119411,2.000000,-14342.474294,24.569575,242021.276596,376.000000,-7122.977051,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-12335.359375,-13201.630859,88585042,88585794,-31624.156227,-8533.382735,1911.310234,112388.026419
37,1764364285.497940779,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10515.424999,5749.492130,-10515.424837,330919.820966,256520.857943,1.109693,-13.385223,2.000000,-14455.699336,24.575991,242021.276596,376.000000,-7184.931641,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-11421.630859,-13144.141602,88585043,88585795,-14860.538349,-37735.681122,-1934.896772,95356.475008
38,1764364287.571156263,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10357.567195,5283.429465,-10357.566958,320868.020599,249389.151886,0.962306,56.305712,2.500000,-14733.919436,24.643567,242021.276596,376.000000,-8260.777344,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-1225.922363,-11380.142578,92594967,92595719,-31203.870580,-6215.515044,-2918.488143,115406.257351
39,1764364287.619569302,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10107.857309,5380.555062,-10107.858489,320887.862169,263760.452155,0.963917,55.952098,2.500000,-14843.709915,24.777826,242021.276596,376.000000,-8263.120117,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-1156.081299,-11374.904297,92594968,92595720,-16978.984256,-37299.676910,-11395.625711,105068.615498
40,1764364289.772268295,37,0,E4:77:B1:12:A5:6F,8E89BED6,-11062.762568,5703.615558,-11062.762935,310051.776699,226503.751464,0.929136,69.635400,2.000000,-14972.671866,24.051503,242021.276596,376.000000,-8675.354492,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-10765.097656,-16560.695312,96603185,96603937,-24173.738091,-19494.062507,-5798.383530,103345.150575
41,1764364291.873274565,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10600.606034,6196.067427,-10600.605464,318895.664886,247865.135668,0.976970,51.040562,2.000000,-14813.072452,24.485774,242021.276596,376.000000,-8200.300781,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-15549.125977,-8228.038086,100603964,100604716,-19730.958606,-22425.063754,-2068.591943,107420.459270
42,1764364293.645209312,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10618.802729,5826.136448,-10618.802780,327355.186998,270065.581069,0.956194,58.373010,2.000000,-15046.119437,24.403730,242021.276596,376.000000,-8932.986328,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-3382.309082,-3639.092529,104237839,104238591,-19012.793627,-33563.972648,-7410.433289,105739.987845
43,1764364295.688153744,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10766.887989,5587.128227,-10766.888271,328064.971247,251425.079662,1.094119,-10.362313,2.000000,-14665.608551,24.700928,242021.276596,376.000000,-7483.091309,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13973.681641,-15587.215820,108247595,108248347,-28609.610188,-12550.219874,-864.308964,110642.416757
44,1764364295.722620249,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10425.192815,5674.863108,-10425.192886,326522.498764,243476.628043,1.091972,-10.513257,2.000000,-14776.003943,24.694803,242021.276596,376.000000,-7520.689453,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13184.365234,-15652.791992,108247596,108248348,-10694.528832,-47622.806889,419.717287,104873.460774
45,1764364297.981577635,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10684.005863,5256.761400,-10684.004915,335139.016324,252667.809522,0.900913,-89.094601,2.500000,-14571.538414,23.930972,242021.276596,376.000000,-8644.733398,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-2162.368896,-11392.978516,112253380,112254132,-33190.487478,-7104.815229,-2564.413179,111843.961461
46,1764364298.029145241,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10428.650625,5340.389374,-10428.650277,335006.468966,262256.891567,0.902605,-89.291262,2.500000,-14683.718811,23.971791,242021.276596,376.000000,-8716.328125,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-1183.423706,-11444.509766,112253381,112254133,-17025.214865,-36708.488285,-9783.792970,105320.828797
47,1764364300.222566843,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10912.823910,4851.365749,-10912.824927,340540.174063,264244.435245,1.033320,33.224530,2.500000,-14916.219084,24.507680,242021.276596,376.000000,-8800.142578,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-3840.661621,6240.325195,116064222,116064974,-25860.128094,-21434.567176,-5464.572291,106383.700430
48,1764364302.361389399,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10634.458545,6299.623892,-10634.457620,292937.555026,218629.180888,1.009237,-42.638045,2.000000,-14628.837203,24.030971,268617.021277,376.000000,-7093.448730,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5942.039062,-3213.121094,120072801,120073553,-22182.296237,-22117.765136,721.608610,107005.089314
49,1764364304.558578968,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10409.677719,5558.685937,-10409.678276,317257.002309,247335.138406,0.921329,-77.475184,2.500000,-14306.698745,24.210899,242021.276596,376.000000,-8263.726562,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-8733.839844,-9591.994141,124074502,124075254,-31086.965745,-9720.680205,-3888.725908,111381.959712
50,1764364304.614931107,37,0,E4:77:B1:12:A5:6F,8E89BED6,-10095.497669,5662.020419,-10095.497615,316810.324256,243690.171980,0.922410,-77.797523,2.500000,-14417.963433,24.210305,242021.276596,376.000000,-8289.752930,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-8632.359375,-9580.936523,124074503,124075255,-13096.730114,-45115.279189,-443.800932,102192.989413
