mac,count,cfo_two_stage_hz_median,cfo_two_stage_hz_iqr,iq_gain_alpha_median,iq_gain_alpha_iqr,psd_pnr_db_median,bw_3db_hz_median
00:E6:A5:64:5A:AA,147,-7164.09,54619.9,1.01145,0.0557825,12.5682,460106
05:5B:2D:49:AF:F9,194,-13013.4,44268.6,0.996668,0.0436544,13.6556,270392
0F:6A:11:B9:FE:16,152,3698.23,45297.3,1.00879,0.0495994,12.2117,440860
10:CA:BF:17:42:08,151,-10316.1,48867.4,1.00367,0.051195,12.7209,484043
12:A1:0B:38:2F:5C,3,,,1.03112,0.0258225,10.1975,1.80319e+06
18:0D:E7:B6:85:85,424,-925.627,50351.1,1.00543,0.049998,13.6876,354647
18:9C:2C:2A:D0:F5,45,-7006.59,56058.2,1.00001,0.0429742,11.9653,805851
19:47:44:CD:3D:B3,3,,,1.02497,0.00604391,9.7519,1.68617e+06
26:FB:E3:E0:81:F9,130,-6318.57,61371.3,1.00747,0.0527068,11.9085,646277
28:DE:65:DF:0E:0E,5,53666.8,0,0.988846,0.0378675,12.5998,305851
28:DE:65:EE:09:6C,1,,,0.974289,0,15.7906,1.09043e+06
28:DE:65:EE:0D:7F,4,18438.7,0,1.02691,0.0203525,17.5474,312775
28:DE:65:EE:0D:84,59,-9348.04,42226.1,1.01645,0.0425075,13.3366,361940
28:DE:65:EE:0D:90,2,,,1.12327,0.109735,16.0785,10533.6
28:DE:65:EE:0D:9F,11,15415.5,20547.8,1.01221,0.0661655,11.8715,1.21809e+06
28:DE:65:EE:5B:1F,11,,,0.993474,0.0663114,11.6133,779255
28:DE:65:EE:5E:E7,6,19184.6,0,1.04034,0.0967902,13.5483,385638
28:DE:65:EE:5E:F5,10,7022.29,23647.1,1.02932,0.0247821,10.6796,1.5492e+06
28:DE:65:EE:5F:16,9,-259.107,21538.8,1.0026,0.0745737,13.453,514178
2C:3B:9F:45:D3:B1,100,11773.2,38964,1.00295,0.0510718,14.2015,212291
35:2B:D6:2E:06:84,410,-2212.6,51147.8,1.0039,0.0525002,14.5147,265600
3C:7D:A8:55:37:B4,686,-259.107,49757.4,1.00151,0.0493091,14.1971,286544
40:14:7D:94:D1:17,9,-13026.8,0,1.0251,0.0281389,14.5985,184971
40:E4:78:4F:84:74,23,24944.1,61396.4,1.0002,0.0455936,12.1979,606383
40:F6:43:40:BE:2D,15,-9620.04,44745.2,0.993688,0.0193585,12.8848,113422
41:6B:23:F4:5A:E3,2,,,1.01354,0,13.7088,5319.15
41:97:80:F0:A2:3D,247,16126.2,53460,0.999745,0.0523918,12.6465,401945
41:BC:A6:F8:E7:A2,4,16552.1,0,0.985164,0.042865,15.3309,73931.3
43:02:5E:12:AE:81,28,-18751.8,56643.7,0.982002,0.0437599,11.7665,876330
43:2E:55:DC:1C:18,34,-17649.3,69359.6,0.998106,0.0312548,12.0625,795213
44:12:FA:98:C5:CA,17,-3709.41,25937.4,0.970755,0.0428239,11.9394,265957
44:CD:48:5B:B3:13,2,-31623.9,0,1.1428,0,16.2733,116009
44:EA:52:CF:4D:7B,161,1648.14,70826.2,1.00713,0.0549644,12.3564,622340
44:FC:F9:5E:E1:E5,133,-13054.4,51507.2,0.997544,0.0565559,12.7853,337931
45:09:BE:C6:D4:CF,9,-4327.72,9469.36,1.01221,0.016173,12.5682,240437
45:33:71:84:54:C5,1,,,1.03929,0,11.2256,1.21543e+06
45:3D:98:C6:30:CB,4,16552.1,14653.6,0.949339,0.0321788,16.5964,33500.8
45:9D:D2:EA:B2:B2,35,-19628.1,38741.1,0.996826,0.0392587,13.21,312796
45:B5:54:9A:CE:74,18,22764.7,21134.1,0.997839,0.054888,12.6554,551862
45:DE:74:EA:90:0F,100,2788.74,34076.7,1.00615,0.0392511,12.7661,420773
46:3A:C6:E3:EE:F4,2,,,0.997101,0.0172135,11.0179,909574
46:81:76:2F:38:EC,1,16126.2,0,1.03095,0,11.8503,143617
46:8B:20:60:00:67,4,,,0.947498,0.0246332,12.1722,630319
47:67:67:4E:01:A1,340,-13797.1,55126.4,1.00224,0.0508224,12.4317,530585
47:72:33:05:1E:79,1,,,1.04915,0,12.5682,2659.57
47:E7:E6:67:F9:2B,8,,,1.01399,0.0201981,12.735,531915
48:10:DA:FA:04:60,20,-26258.4,73866.8,0.993608,0.0568574,11.4832,1.38431e+06
48:9D:30:76:96:5D,265,19184.6,53092,1.00973,0.057919,12.8824,340426
48:D0:BC:AE:30:B3,16,20645.5,65709,1.02301,0.0622289,15.6505,525597
49:B6:42:E8:75:97,23,2788.74,28471.3,1.02725,0.0502551,11.603,1.42287e+06
49:D2:CB:35:7E:90,4198,2329.57,48985.9,0.999913,0.0501972,13.2437,380952
49:FF:38:40:E6:8C,2,,,0.96856,0,10.2943,1.75e+06
4A:6F:1C:E5:66:AA,1462,-501.162,52134.8,1.00284,0.0510816,14.0535,307013
4A:D3:A3:8C:DD:9F,5,,,0.991543,0.00683993,13.0528,912234
4B:1C:D4:15:C7:6A,5,,,1.0303,0.0315978,13.7302,342593
4B:FC:30:67:D8:C9,35,-35080.2,11681.1,1.00151,0.0552478,12.1861,627660
4C:97:E6:46:AF:91,5,-22101.9,0,0.975152,0.0615305,15.7723,278057
4C:EB:7A:57:70:32,2,-47073.6,0,0.991563,0,14.7523,0
4D:2D:3A:FE:C4:93,28,8277.02,19367.3,0.995866,0.0591426,13.1533,205479
4D:45:FD:B0:89:E6,1506,-843.999,47668.5,1.00106,0.0542037,13.6926,338309
4D:71:57:B1:00:B4,35,1802.91,42323,1.01334,0.0531145,11.5552,860927
4D:E5:43:5F:6F:C5,11,123859,88543.7,1.00068,0.0459713,15.019,2659.57
4D:F2:52:FC:C8:4F,277,-12274.8,41651.9,1.0002,0.0674481,12.8392,473404
4E:0F:A6:8E:30:44,1,,,0.982522,0,10.3673,1.94118e+06
4E:C8:E9:34:1A:7B,3,,,0.947498,0.0238436,12.1722,630319
4F:0D:54:C6:EA:90,34,-4083.89,50427.7,1.02342,0.047594,12.2489,543883
4F:18:80:9E:D0:5A,16,-20300.9,40083.7,0.983418,0.0455481,14.2461,22606.4
4F:66:9C:87:4F:CB,1601,-1227.81,46106.2,1.00281,0.0546224,12.96,421333
4F:CE:3A:6D:46:57,1,-6318.57,0,0.98568,0,11.727,917553
50:9B:2A:61:7B:AF,186,10593.9,25248.1,1.00183,0.0520481,12.1711,606383
51:0F:DE:06:F8:B5,10,-25563.2,782.419,1.01587,0.0356038,11.2492,845745
51:3C:95:52:13:38,9,-16624.8,18396.2,1.00354,0.0426646,10.8681,1.72074e+06
51:C6:80:52:AF:88,3,-27475.4,0,1.01387,0.0848591,17.7064,312796
52:5E:59:83:E4:A6,13,374.176,0,0.985966,0.101396,12.3443,317416
52:CA:55:38:47:25,17,38889.9,8209.93,1.00766,0.0436497,13.2383,550532
53:1E:30:F6:D2:72,32,-32082.9,14512.6,1.01965,0.0512396,13.2216,188959
53:6D:6A:9A:04:77,2,,,0.96014,0,13.21,111702
53:FA:5F:C1:E8:7E,142,5820.45,49905.4,1.00552,0.059176,12.4494,539894
54:2E:E8:88:90:60,402,-13026.8,62977.4,1.00632,0.0592303,12.5385,537234
54:75:CC:CD:C0:14,1,-57372.3,0,1.01159,0,19.212,267420
54:C6:F9:E7:F4:ED,2,,,1.03446,0,12.2691,1.31649e+06
54:F4:C3:6B:A0:3A,1,-53228.7,0,1.04606,0,19.3854,288840
54:F7:62:0B:4A:94,251,-9556.58,55112.8,1.002,0.0602744,12.8059,383681
54:FF:FB:85:4F:F6,2,,,1.06277,0,10.7556,1.6516e+06
56:4A:7F:42:15:33,163,1648.14,48953.2,1.00818,0.0565936,12.4276,476064
56:AB:36:2C:B7:92,47,24934.4,19899,1.01106,0.036073,12.374,462766
57:7F:2C:49:16:CD,8,22461,0,0.99656,0.0676244,13.2573,502660
57:F7:44:7F:65:67,3,12502.3,0,1.00726,0.0471732,10.431,1.23404e+06
58:9F:39:79:AB:4F,49,2977.59,18668.5,1.00707,0.0607936,12.5682,968085
58:E6:F8:AB:F5:AD,8,-31623.9,0,0.980104,0.060269,13.6132,523037
58:ED:07:D8:DD:42,1,,,1.02577,0,12.0022,473404
59:0C:89:37:62:4B,28,40065.2,30607.2,0.998985,0.0578015,12.4184,914894
59:56:8B:CD:FB:ED,6,-47073.6,0,1.00244,0.0650927,14.6815,462882
59:6D:20:03:3F:68,310,2788.74,72372.4,1.00171,0.0537149,12.3456,537234
59:8A:BC:4B:48:22,11,-7605.41,14007.9,1.00171,0.0456047,13.4515,212766
59:8C:23:C0:F0:22,1507,362.265,50513.6,1.00301,0.0491243,13.8262,299435
59:CB:95:2F:1F:26,23,36764,3042.03,0.994449,0.0504505,12.0243,694149
59:F5:96:4D:14:56,5,,,0.999881,0.0311046,13.2216,23936.2
5A:18:3F:27:07:62,3,,,0.988924,0.00737453,11.5939,680851
5A:A5:53:C3:15:FD,7,53666.8,0,1.01957,0.124619,18.4481,338235
5B:E7:19:01:65:1F,2,,,1.03844,0,20.0458,415755
5B:EB:47:2C:47:86,24,-12755.2,14204,0.999012,0.0686171,12.0348,356632
5B:FF:D8:8A:D5:1C,210,11063.1,50817,1.0002,0.0529006,12.419,581117
5C:5C:67:0B:91:AF,4,-94124.4,0,0.959368,0.00341409,13.0896,1.08112e+06
5C:71:47:2B:61:74,137,5902.86,56760.2,1.00747,0.0538262,13.1629,420139
5C:BF:20:E9:55:E2,5,-21975.2,0,1.02005,0.0595172,11.6112,898936
5C:FE:E7:8D:B1:0F,307,-3179.87,51361.1,1.00549,0.0586334,14.5597,330882
5D:37:15:20:E4:F1,1,,,0.945409,0,12.058,329257
5D:37:BC:E0:8D:21,193,-6318.57,46136.8,1.00604,0.0590078,13.0242,458120
5D:48:72:D3:93:4B,4,-34618.1,0,0.999826,0.0832666,15.3174,1.11386e+06
5D:6C:05:62:52:A8,6,,,0.99617,0.024051,13.5059,188584
5D:F0:8B:9A:55:B6,393,10673.9,50295.2,1.00146,0.0528149,12.802,490854
5E:05:64:A4:8B:DC,8,-162987,0,0.979747,0.0402866,12.8817,408245
5E:98:3A:C2:3C:B9,234,7659.32,62343.7,1.00588,0.064298,12.4248,583777
5E:BD:78:5D:99:5A,25,5581.01,19456.6,0.993297,0.033892,13.0139,231383
5F:1A:14:AD:15:A0,1,,,0.979859,0,13.6425,13297.9
5F:49:E3:0F:8B:E1,316,-9066.96,53696.7,1.00147,0.0619173,12.5251,547872
5F:51:39:0B:03:30,298,3998.53,58894.4,1.0071,0.0621759,12.735,425532
5F:D4:AC:12:3B:3E,3,,,1.10223,0.0355583,11.3006,1.98645e+06
60:21:70:05:CA:E0,12,-53228.7,17611.8,0.972861,0.115315,12.4993,410378
60:2D:5C:D0:CE:43,152,7022.29,70493.2,1.00737,0.0509439,12.8767,539894
60:3A:5C:03:35:22,1309,-830.011,49879.9,1.00378,0.0534216,13.333,360887
61:E9:FF:E9:16:5D,15,-16624.8,12522.4,0.975152,0.0643541,15.0938,278057
61:FB:5C:BF:D9:FE,10,40065.2,0,0.998026,0.0450426,12.4993,419574
62:4D:7F:D1:58:28,17,427.887,6591.53,1.02077,0.0584197,13.4789,191489
62:54:A0:2A:8D:B3,55,-22101.9,46475.1,1.00084,0.0518245,12.4238,497340
62:F1:16:76:32:50,34,-32082.9,18468.6,0.990498,0.0554588,11.1474,1.02926e+06
63:47:3B:23:9F:A8,114,20167.6,53928.5,0.998006,0.0496567,12.2758,565160
63:E8:AE:57:05:34,1,-9620.04,0,0.993688,0,15.3579,2659.57
64:14:D9:B2:DE:0F,5,-56838.6,0,0.926093,0.00660378,13.8317,93896.7
64:42:FC:10:CE:87,16,-4557.9,28737.3,0.997468,0.0320475,13.2653,254048
64:7B:35:47:69:66,1,,,1.03717,0,9.11336,1.9016e+06
64:90:DA:94:E5:42,167,9446.42,62115.5,0.998504,0.0645295,12.8392,416555
64:F8:0A:13:9E:F2,34,-7605.41,32886.8,0.999573,0.061628,10.8289,1.48936e+06
65:A9:C1:F4:37:13,7,45927.2,0,1.01291,0.0258821,10.7888,1.43617e+06
66:06:8E:A8:7F:1C,1,-47073.6,0,0.991563,0,14.7523,0
66:DE:E1:24:A5:72,132,-7605.41,63633,1.00827,0.0622367,12.5038,550532
