mac,count,cfo_two_stage_hz_median,cfo_two_stage_hz_iqr,cfo_hz_median,cfo_hz_iqr,iq_gain_alpha_median,iq_gain_alpha_iqr,psd_pnr_db_median,psd_pnr_db_iqr,bw_3db_hz_median,bw_3db_hz_iqr,cfo_std_hz_median,cfo_std_hz_iqr,cfo_std_hz_sym_median,cfo_std_hz_sym_iqr,psd_centroid_hz_median,psd_centroid_hz_iqr,iq_phase_deg_median,iq_phase_deg_iqr,rise_time_us_median,rise_time_us_iqr
00:E6:A5:64:5A:AA,60,-13718.6,72486.1,-15441.7,53742,0.987108,0.0590988,12.5094,4.16037,511039,1.41319e+06,549672,80201.2,380413,89859.4,-7488.23,40081.1,6.79472,118.457,0.5,1.5
0C:A6:DD:92:2E:09,4,28902,0,3539.96,36062.9,0.98859,0.0648499,11.6733,1.9211,602394,665559,553130,22419,386245,11150,30523.7,26796.2,-65.4244,52.3819,2,1.375
0F:6A:11:B9:FE:16,43,-29090.9,41076.5,-1374.2,45657.7,0.985773,0.0296655,11.995,4.40852,436170,1.0275e+06,550869,141588,379002,99453.2,-9322.46,41001.4,22.5866,114.705,0.5,1.25
10:0C:36:5B:AA:95,57,26828,39564.4,196.331,54037.2,0.995391,0.0657653,12.3706,3.62874,1.05585e+06,1.80319e+06,545892,29470,380553,19448.6,-8060.06,43299.4,1.40087,96.278,0,1
10:CA:BF:17:42:08,133,676.538,42030.5,-2688.16,33074.4,0.992854,0.0475738,12.6681,3.50573,398936,1.41489e+06,549860,27953.8,381954,35125.6,-3241.54,36899.3,7.14958,95.7814,0,1
15:BF:A6:A8:46:8F,77,-4865.89,74542.1,2392.44,42047.1,0.995328,0.0632374,13.0527,3.9473,337449,1.03409e+06,549577,40762.2,375885,30151.5,-10200.1,26711.8,-3.06768,110.853,0.5,2
18:9C:2C:2A:D0:F5,42,8157.66,22278.8,5546.36,42025.8,1.00505,0.0531015,12.2994,3.21133,478482,1.12965e+06,550244,29335.1,377198,25632.1,1422.35,35104.8,-2.07112,70.0328,0.5,1
1B:39:BF:1E:63:E2,435,-4719.14,46272.7,-4845.26,40611.2,1.00004,0.0429487,13.4878,4.02745,290679,968750,549517,66553,380631,51843.3,-3029.85,34109.2,-4.41153,89.6021,0.5,1
1C:B0:87:EC:9F:22,43,19940.7,18197,-4482.89,48985.2,0.994909,0.0600007,12.7269,2.48096,457447,723404,544592,124641,377035,89918.1,-8271.67,47513,7.85316,94.1698,0,0.5
26:9A:59:52:22:48,19,94056.7,0,-7642.76,25702.4,0.990273,0.064646,14.0466,2.97467,74468.1,336074,542641,98029.2,366262,64907.1,-3187.25,57217.1,0.0853063,108.355,0.5,0.5
