mac,count,cfo_two_stage_hz_median,cfo_two_stage_hz_iqr,iq_gain_alpha_median,iq_gain_alpha_iqr,psd_pnr_db_median,bw_3db_hz_median
4F:16:B2:13:53:9C,325,-4026.7,45681.3,1.00368,0.0577272,12.6529,237500
73:46:B4:54:AA:39,70,27806,27617,1.00533,0.0616808,12.4667,967742
C1:C2:71:41:96:AC,226,7397.26,17355.7,1.00017,0.0581675,12.056,974490
CE:F6:C6:F8:72:E1,5,-24698.9,0,1.0528,0.0588527,11.0036,1.92857e+06
D3:78:0D:FF:69:79,84,-19773.2,61676.4,0.996312,0.0377825,12.3339,265306
DA:88:4D:DA:D1:37,54,-20702.8,19017.5,1.01114,0.0513929,11.5733,790319
EB:6D:57:2A:5B:30,101,27810,27596.9,1.01061,0.0653413,11.7792,974490
ED:3D:7E:86:FA:56,13,-19551.1,0,0.999454,0.0629,11.5621,839286
F0:BA:BA:2B:9B:0E,34,7795.38,65980.2,1.02157,0.0808444,13.0764,137755
F0:CA:44:3D:6A:AF,43,-5876.31,63995,0.992495,0.044795,12.7086,53571.4
F2:BC:AC:3E:F5:56,308,21234.8,33686.3,1.04038,0.048491,11.5657,961735
F3:BD:B8:5C:7E:6A,94,6573.52,42519.2,1.00878,0.0692704,12.1907,681122
F7:81:34:F9:6F:46,42,8533.07,42168.2,1.01748,0.0560124,12.2949,594388
F7:E6:AC:7D:88:37,330,21234.8,33686.3,1.0316,0.0555995,11.5657,961735
FC:C1:96:05:E9:2A,40,-43222.1,41542.3,1.0297,0.0515834,12.1347,605370
FD:8B:C9:CF:EE:27,98,14504.6,56438.3,0.992359,0.0488404,12.2847,298780
FD:D7:31:DD:42:9E,2,,,1.04467,0,14.1287,178218
FE:6B:39:B4:79:DD,82,7397.26,23746.4,1.00564,0.0875245,12.4532,612245
FE:A9:28:21:9A:CD,49,14504.6,24503,0.994994,0.0407167,12.383,612245
