idx,mac,cluster,t
0,58:1D:3E:9A:9C:CF,3,1760148125.389005
1,58:1D:3E:9A:9C:CF,3,1760148125.389258
2,EE:A8:E4:DF:CD:E9,3,1760148125.406627
3,49:25:F4:02:F1:57,3,1760148125.421033
4,49:25:F4:02:F1:57,3,1760148125.421132
5,49:25:F4:02:F1:57,3,1760148125.421315
6,49:25:F4:02:F1:57,3,1760148125.421352
7,CA:18:06:4A:A6:34,2,1760148125.440333
8,67:1B:76:98:F8:0A,2,1760148125.445521
9,67:1B:76:98:F8:0A,3,1760148125.445673
10,58:1D:3E:9A:9C:CF,3,1760148125.446228
11,6F:BD:31:06:60:8F,2,1760148125.458955
12,52:5A:5E:12:10:1C,2,1760148125.461666
13,49:25:F4:02:F1:57,0,1760148125.487827
14,49:25:F4:02:F1:57,0,1760148125.487900
15,67:1B:76:98:F8:0A,0,1760148125.499631
16,6F:BD:31:06:60:8F,0,1760148125.500282
17,58:1D:3E:9A:9C:CF,0,1760148125.500590
18,49:25:F4:02:F1:57,2,1760148125.542138
19,49:25:F4:02:F1:57,2,1760148125.542210
20,49:25:F4:02:F1:57,2,1760148125.542311
21,49:25:F4:02:F1:57,2,1760148125.542396
22,45:2C:BD:7D:93:57,2,1760148125.544927
23,45:2C:BD:7D:93:57,2,1760148125.544959
24,67:1B:76:98:F8:0A,2,1760148125.554579
25,67:1B:76:98:F8:0A,2,1760148125.554788
26,58:1D:3E:9A:9C:CF,2,1760148125.555303
27,58:1D:3E:9A:9C:CF,2,1760148125.555487
28,6F:BD:31:06:60:8F,3,1760148125.571229
29,49:25:F4:02:F1:57,0,1760148125.597580
30,49:25:F4:02:F1:57,0,1760148125.597651
31,E9:E0:F5:D9:0D:AC,1,1760148125.601161
32,E8:DC:4C:47:ED:06,1,1760148125.603867
33,E8:DC:4C:47:ED:06,1,1760148125.604002
34,F7:8F:C1:10:E6:75,1,1760148125.608991
35,F7:8F:C1:10:E6:75,1,1760148125.609133
36,58:1D:3E:9A:9C:CF,0,1760148125.609472
37,58:1D:3E:9A:9C:CF,1,1760148125.609612
38,67:1B:76:98:F8:0A,0,1760148125.610033
39,67:1B:76:98:F8:0A,1,1760148125.610175
40,6F:BD:31:06:60:8F,0,1760148125.611107
41,D7:80:75:4B:C7:23,1,1760148125.615352
42,D7:80:75:4B:C7:23,1,1760148125.615384
43,D7:80:75:4B:C7:23,1,1760148125.615515
44,D7:80:75:4B:C7:23,1,1760148125.615543
45,F0:9B:FA:B6:46:83,1,1760148125.618685
46,F0:9B:FA:B6:46:83,1,1760148125.618820
47,E8:55:CC:56:2A:8F,1,1760148125.619210
48,E8:55:CC:56:2A:8F,1,1760148125.619339
49,6F:BD:31:06:60:8F,1,1760148125.650676
