mac,cluster
00:E6:A5:64:5A:AA,2
05:5B:2D:49:AF:F9,2
0F:6A:11:B9:FE:16,2
10:CA:BF:17:42:08,2
18:0D:E7:B6:85:85,2
18:9C:2C:2A:D0:F5,2
26:FB:E3:E0:81:F9,2
28:DE:65:DF:0E:0E,7
28:DE:65:EE:0D:7F,3
28:DE:65:EE:0D:84,2
28:DE:65:EE:0D:9F,8
28:DE:65:EE:5E:E7,7
28:DE:65:EE:5E:F5,8
28:DE:65:EE:5F:16,6
2C:3B:9F:45:D3:B1,2
35:2B:D6:2E:06:84,2
3C:7D:A8:55:37:B4,2
40:14:7D:94:D1:17,7
40:E4:78:4F:84:74,2
40:F6:43:40:BE:2D,2
41:97:80:F0:A2:3D,2
41:BC:A6:F8:E7:A2,7
43:02:5E:12:AE:81,2
43:2E:55:DC:1C:18,2
44:12:FA:98:C5:CA,2
44:CD:48:5B:B3:13,3
44:EA:52:CF:4D:7B,2
44:FC:F9:5E:E1:E5,2
45:09:BE:C6:D4:CF,7
45:3D:98:C6:30:CB,9
45:9D:D2:EA:B2:B2,2
45:B5:54:9A:CE:74,7
45:DE:74:EA:90:0F,2
46:81:76:2F:38:EC,7
47:67:67:4E:01:A1,2
48:10:DA:FA:04:60,8
48:9D:30:76:96:5D,2
48:D0:BC:AE:30:B3,2
49:B6:42:E8:75:97,8
49:D2:CB:35:7E:90,2
4A:6F:1C:E5:66:AA,2
4B:FC:30:67:D8:C9,1
4C:97:E6:46:AF:91,6
4C:EB:7A:57:70:32,9
4D:2D:3A:FE:C4:93,7
4D:45:FD:B0:89:E6,2
4D:71:57:B1:00:B4,2
4D:E5:43:5F:6F:C5,0
4D:F2:52:FC:C8:4F,2
4F:0D:54:C6:EA:90,2
4F:18:80:9E:D0:5A,2
4F:66:9C:87:4F:CB,2
4F:CE:3A:6D:46:57,1
50:9B:2A:61:7B:AF,7
51:0F:DE:06:F8:B5,1
51:3C:95:52:13:38,8
51:C6:80:52:AF:88,6
52:5E:59:83:E4:A6,6
52:CA:55:38:47:25,7
53:1E:30:F6:D2:72,2
53:FA:5F:C1:E8:7E,2
54:2E:E8:88:90:60,2
54:75:CC:CD:C0:14,3
54:F4:C3:6B:A0:3A,3
54:F7:62:0B:4A:94,2
56:4A:7F:42:15:33,2
56:AB:36:2C:B7:92,7
57:7F:2C:49:16:CD,7
57:F7:44:7F:65:67,8
58:9F:39:79:AB:4F,1
58:E6:F8:AB:F5:AD,6
59:0C:89:37:62:4B,7
59:56:8B:CD:FB:ED,6
59:6D:20:03:3F:68,2
59:8A:BC:4B:48:22,7
59:8C:23:C0:F0:22,2
59:CB:95:2F:1F:26,7
5A:A5:53:C3:15:FD,6
5B:EB:47:2C:47:86,7
5B:FF:D8:8A:D5:1C,2
5C:5C:67:0B:91:AF,4
5C:71:47:2B:61:74,2
5C:BF:20:E9:55:E2,1
5C:FE:E7:8D:B1:0F,2
5D:37:BC:E0:8D:21,2
5D:48:72:D3:93:4B,6
5D:F0:8B:9A:55:B6,2
5E:05:64:A4:8B:DC,4
5E:98:3A:C2:3C:B9,2
5E:BD:78:5D:99:5A,7
5F:49:E3:0F:8B:E1,2
5F:51:39:0B:03:30,2
60:21:70:05:CA:E0,6
60:2D:5C:D0:CE:43,2
60:3A:5C:03:35:22,2
61:E9:FF:E9:16:5D,6
61:FB:5C:BF:D9:FE,7
62:4D:7F:D1:58:28,7
62:54:A0:2A:8D:B3,2
62:F1:16:76:32:50,1
63:47:3B:23:9F:A8,2
63:E8:AE:57:05:34,9
64:14:D9:B2:DE:0F,4
64:42:FC:10:CE:87,2
64:90:DA:94:E5:42,2
64:F8:0A:13:9E:F2,8
65:A9:C1:F4:37:13,8
66:06:8E:A8:7F:1C,9
66:DE:E1:24:A5:72,2
67:D2:55:50:E4:5E,1
67:D3:DA:1A:1E:8D,7
67:FB:40:97:7A:AF,7
68:20:FA:FA:EB:20,2
68:35:D9:46:89:13,2
68:64:4B:25:CE:12,2
68:D9:5D:7E:79:C0,1
69:97:04:08:08:46,8
69:DA:00:6F:1C:6C,2
6A:F5:D3:24:C0:DB,2
6B:C1:89:C8:8F:61,2
6C:2B:C5:51:DC:63,1
6C:32:91:F8:F2:9D,1
6C:3C:C8:4E:E2:DB,8
6C:7A:98:2B:61:7F,3
6E:11:03:99:D5:B3,1
6E:AC:11:1B:C4:C8,2
6F:0A:CF:5F:9E:27,2
