mac,cluster
00:E6:A5:64:5A:AA,0
0C:A6:DD:92:2E:09,3
0F:6A:11:B9:FE:16,4
10:0C:36:5B:AA:95,7
10:CA:BF:17:42:08,0
15:BF:A6:A8:46:8F,0
18:9C:2C:2A:D0:F5,0
1B:39:BF:1E:63:E2,0
1C:B0:87:EC:9F:22,0
26:9A:59:52:22:48,4
26:FB:E3:E0:81:F9,0
28:DE:65:DF:0E:0E,4
28:DE:65:EE:0D:7F,7
28:DE:65:EE:0D:84,0
28:DE:65:EE:0D:90,0
28:DE:65:EE:5B:1F,6
28:DE:65:EE:5E:E7,3
28:DE:65:EE:5E:F5,0
29:FD:C1:51:F6:12,0
2A:D8:4A:ED:0B:DC,7
2C:3B:9F:45:D3:B1,0
2C:5D:B1:2A:42:F4,0
35:84:23:AB:80:D5,0
3F:8D:4D:3F:96:53,0
41:97:80:F0:A2:3D,0
42:54:F2:CC:BD:A4,4
43:41:18:99:60:65,3
43:9D:A0:4A:5E:45,0
43:B0:52:34:C8:1C,3
44:12:FA:98:C5:CA,4
44:EA:52:CF:4D:7B,0
44:FC:F9:5E:E1:E5,7
45:09:BE:C6:D4:CF,7
45:9D:D2:EA:B2:B2,3
45:B5:54:9A:CE:74,7
45:D5:A0:07:6E:A3,2
46:8B:20:60:00:67,2
46:FF:BB:85:47:2D,2
47:67:67:4E:01:A1,0
47:72:33:05:1E:79,7
47:CA:92:53:CE:CF,3
48:10:DA:FA:04:60,3
48:9D:30:76:96:5D,0
48:C3:C6:72:E7:5C,0
49:D2:CB:35:7E:90,0
4A:6F:1C:E5:66:AA,0
4A:D3:A3:8C:DD:9F,0
4B:5E:79:F2:CB:0C,0
4C:61:54:10:84:12,2
4C:B1:81:6B:7D:44,5
4D:45:FD:B0:89:E6,0
4D:71:57:B1:00:B4,0
4D:F2:52:FC:C8:4F,0
4F:18:80:9E:D0:5A,7
4F:56:9F:46:3E:A7,0
4F:66:9C:87:4F:CB,0
50:36:F7:EB:B0:32,7
50:38:A1:97:CD:42,2
52:AD:12:10:03:E2,0
53:17:D1:F1:60:99,4
53:FA:5F:C1:E8:7E,0
54:2E:E8:88:90:60,0
54:5F:32:BC:61:F6,0
54:C5:51:D2:4F:E6,3
54:F7:62:0B:4A:94,0
55:A4:9A:CF:3C:6A,7
55:FA:3F:D1:79:DA,0
56:1E:3E:73:63:5B,7
56:4A:7F:42:15:33,3
57:13:CB:28:7D:1F,2
57:42:A8:9F:C8:58,7
59:0C:89:37:62:4B,0
59:6D:20:03:3F:68,0
59:8A:BC:4B:48:22,7
59:8C:23:C0:F0:22,0
5A:E6:41:06:8B:57,4
5B:40:B2:85:F3:F4,0
5B:E2:26:41:E5:09,3
5B:FF:D8:8A:D5:1C,0
5C:53:A1:3E:3C:E7,1
5C:71:47:2B:61:74,3
5C:BF:20:E9:55:E2,3
5D:37:BC:E0:8D:21,0
5D:C3:BD:B2:C5:B4,0
5E:05:64:A4:8B:DC,7
5E:16:51:F1:F1:42,4
5E:98:3A:C2:3C:B9,0
5F:0A:EB:D8:53:9A,1
5F:49:E3:0F:8B:E1,0
5F:51:39:0B:03:30,0
5F:AC:D7:FC:C7:30,0
60:2A:13:BD:9E:07,4
60:2D:5C:D0:CE:43,0
60:3A:5C:03:35:22,0
61:62:C3:3C:E9:1D,3
62:54:A0:2A:8D:B3,0
62:73:34:25:65:93,3
62:D2:8B:21:73:85,0
63:47:3B:23:9F:A8,0
63:E4:9D:1A:6A:5D,0
64:79:47:A3:D7:21,7
64:90:DA:94:E5:42,0
64:A9:3B:BF:6F:DF,4
66:DE:E1:24:A5:72,3
67:E9:79:7F:3F:46,3
68:20:FA:FA:EB:20,0
68:64:4B:25:CE:12,0
68:6D:AC:39:C6:4D,0
68:8A:F9:8D:9C:5B,3
68:F0:08:29:7D:87,4
69:DA:00:6F:1C:6C,0
6A:C3:00:9F:18:6E,3
6A:D2:05:D7:63:3E,4
6A:F5:D3:24:C0:DB,7
6A:FF:8E:8A:69:9E,4
6B:7E:A6:78:89:EE,4
6B:C1:89:C8:8F:61,0
6C:2B:C5:51:DC:63,0
6C:7A:98:2B:61:7F,4
6D:12:52:81:79:72,3
6D:86:9B:9D:D7:68,0
6E:11:03:99:D5:B3,7
6E:AC:11:1B:C4:C8,0
6F:0A:CF:5F:9E:27,0
6F:10:8D:F9:1F:02,0
6F:EE:7E:2A:30:FB,0
70:AC:71:AC:0B:D6,0
71:11:FE:EC:35:19,1
71:FF:F3:F8:5F:97,0
72:06:FC:03:40:4F,1
72:39:00:6E:80:5E,0
72:A6:C6:A3:A4:BC,0
73:6F:8E:D1:57:08,4
73:86:F0:EC:80:96,6
73:99:26:D2:18:ED,4
74:60:E4:8E:7F:04,0
76:00:D4:89:66:10,7
76:77:02:6E:24:75,0
76:BE:DA:F0:32:BA,0
76:D8:EC:EA:62:0C,1
77:0B:4B:4E:90:3F,3
78:06:2A:45:E7:00,0
78:60:43:CF:52:9A,4
79:48:F9:5A:0A:DC,0
79:9C:B6:49:27:7C,3
7B:D0:5B:72:25:65,0
7C:27:93:C5:D7:87,0
7C:9C:A1:61:CB:93,0
7C:B6:A9:83:6B:C0,0
7C:FB:A2:4A:C0:6F,0
7D:73:26:CB:5D:DA,7
7D:91:15:DC:BA:FA,1
7E:BA:DA:8D:87:E2,0
7E:C3:99:67:53:63,0
7E:DC:79:C2:8D:02,1
7F:E2:F2:82:CB:C8,0
7F:F6:9A:48:39:B0,0
9C:3E:53:2E:1F:06,0
C0:7B:7D:19:E6:AD,0
C0:E9:81:6B:2F:76,0
C1:76:67:78:3E:68,0
C1:76:88:A6:2F:70,4
C2:27:21:42:31:B8,0
C2:70:FF:06:C5:A6,0
C2:D2:7E:97:86:5B,1
C2:FC:B6:A6:DA:3D,3
C5:DE:D3:77:AA:E2,7
C6:18:0F:82:7C:45,0
C8:B6:AF:85:31:8B,7
CC:A1:45:69:6D:5C,0
CE:32:07:D2:E5:13,0
CE:B7:F2:EE:9D:6F,0
CF:77:66:23:68:2B,0
CF:B9:E2:DC:A2:E1,1
D2:32:E7:FC:99:94,1
D4:78:22:7F:11:B9,0
D6:80:67:ED:62:8B,0
D8:3B:E8:CB:19:8B,3
D9:20:F6:14:31:84,3
DD:9F:13:BB:E1:35,0
DE:F7:BA:3A:5F:DE,1
E0:CC:88:B6:78:78,7
EA:22:05:4B:52:37,0
ED:5E:68:8A:E6:D3,0
ED:63:01:CA:03:AE,3
EF:39:65:6B:AE:FF,0
EF:AC:87:B2:14:CA,3
EF:D8:F7:8A:91:90,4
F2:72:CA:F4:90:7B,4
F4:63:12:1D:97:B1,0
F7:B7:F8:06:29:4A,7
F9:11:EE:0B:3B:2A,3
F9:19:BE:62:97:2E,7
F9:CE:1B:30:82:4D,7
FA:3E:A7:8C:22:97,7
FC:0E:A9:B8:29:17,3
FC:10:D9:58:D5:68,0
