mac,count,cfo_two_stage_hz_median,cfo_two_stage_hz_iqr,cfo_hz_median,cfo_hz_iqr,cfo_preaa_hz_median,cfo_preaa_hz_iqr,cfo_centroid_hz_median,cfo_centroid_hz_iqr,cfo_std_hz_median,cfo_std_hz_iqr,cfo_std_hz_sym_median,cfo_std_hz_sym_iqr,iq_gain_alpha_median,iq_gain_alpha_iqr,psd_pnr_db_median,psd_pnr_db_iqr,bw_3db_hz_median,bw_3db_hz_iqr,psd_centroid_hz_median,psd_centroid_hz_iqr,iq_phase_deg_median,iq_phase_deg_iqr,rise_time_us_median,rise_time_us_iqr
05:5B:2D:49:AF:F9,194,-13013.4,44268.6,-2854.15,43857.3,-14836.4,112111,-2028.86,12280.4,542729,59239.3,377071,46089.4,0.996668,0.0436544,13.6556,3.59322,270392,776989,-4726.61,38603.9,-4.06078,93.253,0,0.875
18:0D:E7:B6:85:85,424,-925.627,50351.1,-4841.43,43124,-6891.31,108684,-2459.05,12091.1,546974,70753.7,379431,51062.1,1.00543,0.049998,13.6876,4.61589,354647,1.23485e+06,-5925.74,33444.1,-1.10817,80.7812,0,1
28:DE:65:EE:0D:84,59,-9348.04,42226.1,-4534.75,35852.6,-15105.1,107507,-764.194,18731,546154,41263.6,384900,37162.7,1.01645,0.0425075,13.3366,4.10194,361940,1.48134e+06,5222.13,34659.1,11.441,64.9081,0,1
28:DE:65:EE:0D:90,1,,,0.00321344,0,13956.9,0,13564.9,0,400060,0,314004,0,1.23301,0,18.4481,0,15748,0,7525.05,0,14.1007,0,2.5,0
28:DE:65:EE:5E:F5,1,64482.6,0,30223.8,0,,,-1831.41,0,568710,0,382873,0,1.00986,0,14.956,0,1865.67,0,-14334.2,0,-21.46,0,0,0
2C:3B:9F:45:D3:B1,100,11773.2,38964,-436.618,38833.5,-22992.7,61335.6,3221.54,13129.4,538685,135546,372101,89581.7,1.00295,0.0510718,14.2015,3.91025,212291,408466,3655,33509.7,3.48236,88.5359,0.25,1
35:2B:D6:2E:06:84,410,-2212.6,51147.8,-2636.84,39021.8,5925.26,91311,-1450.91,14395,539334,145384,370845,91969.3,1.0039,0.0525002,14.5147,5.5136,265600,751420,-6654.87,34710.7,9.29086,77.3634,0.5,1
3C:7D:A8:55:37:B4,686,-259.107,49757.4,-6137.81,40748.6,-6352.05,91395.1,-1497.39,13352.8,546039,113209,376382,74980.6,1.00151,0.0493091,14.1971,4.86163,286544,741319,-6434.16,33837.3,4.85138,84.6437,0.5,1.5
45:DE:74:EA:90:0F,5,,,-17141.8,21678.7,-13319.2,10761.2,-2019.84,19037.5,550870,16281,387141,22734,1.00706,0.0170171,11.6292,6.32919,1.03049e+06,993310,-26578.5,43384.5,42.5871,7.58397,0,0.5
49:D2:CB:35:7E:90,3854,465.137,49757.4,-5060.67,45280,-5071.13,92732.9,-1508.7,16068.1,545290,95822.5,375734,64515.2,0.999913,0.0501243,13.3125,4.68588,378585,1.29014e+06,-3827.69,37839.6,6.59512,87.6934,0,1
4A:6F:1C:E5:66:AA,1462,-501.162,52134.8,-2835.19,41588.6,-7465.74,95610.7,-1486.28,14148.5,545438,93555.9,377204,69008.1,1.00284,0.0510816,14.0535,4.58041,307013,939338,-4816.51,34705.4,7.4663,83.9888,0.5,1
4D:45:FD:B0:89:E6,1347,-2192.06,47454.7,-1362.16,41563.9,-8071.71,98616.6,-1094.87,15421.1,544797,83620.8,377533,55760.7,1.00164,0.0532321,13.7091,4.34044,337500,1.06765e+06,-4088.45,35456.1,4.00688,85.7788,0,1
4E:0F:A6:8E:30:44,1,,,14787.9,0,93794.1,0,-4755.41,0,554862,0,398095,0,0.982522,0,10.3673,0,1.94118e+06,0,6905.03,0,58.7148,0,0,0
4F:66:9C:87:4F:CB,1427,-1227.81,45247.2,-4729.57,44761.7,-8542.88,92412.4,-1075.21,16033.9,546554,72105.3,378708,54671.6,1.00314,0.0551305,12.9471,4.48788,420804,1.45551e+06,-4938.8,40074.4,5.14697,84.2287,0.5,1
51:C6:80:52:AF:88,3,-27475.4,0,5344.07,40058.6,117829,146940,-7654.38,8890.13,377439,153643,277019,100663,1.01387,0.0848591,17.7064,3.26547,312796,414241,6074.41,37822.3,22.5478,46.1117,11,29.75
54:F7:62:0B:4A:94,38,-9556.58,45101.9,-2803.24,51511.5,-44061.4,69600.5,-6700.98,11303.5,548635,43659.5,377861,31987.8,1.00209,0.0451049,13.0246,3.31893,289960,1.06814e+06,-15175.7,34347.8,-9.33925,83.0546,0,0.875
59:8C:23:C0:F0:22,1302,832.388,50697.5,-3274.09,43344.6,-9028.57,88171.4,-1574.36,14402.8,545450,90776,376518,62853.3,1.00277,0.0490372,14.0414,4.73737,289963,830729,-6157.38,33786.9,6.35949,83.5838,0.5,1
5C:FE:E7:8D:B1:0F,307,-3179.87,51361.1,-3357.89,42993.3,-7268.63,88199.6,-3273.34,14625.8,544305,129562,372306,75165.1,1.00549,0.0586334,14.5597,4.93821,330882,974265,-4158.5,37291.8,1.01031,76.6011,0.5,1.5
5D:37:15:20:E4:F1,1,,,-10439.9,0,-2973.22,0,3660.97,0,533730,0,366053,0,0.945409,0,12.058,0,329257,0,-18129.2,0,-87.2018,0,5,0
5D:37:BC:E0:8D:21,21,5443.05,27543.9,7102.86,36072.5,6418.9,126127,-2905.18,20838.7,552721,218786,369743,134411,1.00452,0.0338932,15.073,6.49453,251497,605903,8916.48,36418.4,5.40217,70.3961,0.5,1.5
5D:F0:8B:9A:55:B6,337,8669.58,48848.2,-2970.61,47368.2,-6955.09,98315.7,-3357.62,17515.8,548140,97938,375145,58331.4,1.0013,0.0505831,12.96,4.26083,490854,1.50212e+06,-6142.61,41064.8,-0.17667,87.9127,0.5,1
5F:51:39:0B:03:30,3,-16688.5,0,3891.15,4660.53,-4866.74,4219.7,621.184,2287.6,495310,125555,333330,80450.6,1.07238,0.0616814,13.5456,3.7294,366748,357385,-13011.8,13541.7,20.226,49.5068,0,0.25
60:3A:5C:03:35:22,1167,-845.644,49879.9,-2761.61,42518.6,-13474.4,84216.2,-759.418,15840.7,545442,65304.6,377574,50387.6,1.00353,0.0529682,13.4363,4.26392,347917,1.16767e+06,-3461.88,34969.3,8.73166,84.7387,0,1
64:90:DA:94:E5:42,15,39069.3,11094,-2100.87,52063.9,-2987.48,163898,3682.05,18595.6,555239,16348.2,386086,17989.8,0.994047,0.0602737,11.0112,3.88946,1.68293e+06,1.64305e+06,11439.6,29824.7,-0.572823,110.205,0.5,1
6A:F5:D3:24:C0:DB,36,13054.6,42033.5,-111.979,32657.4,-27990.6,64317.7,3871.15,21815.8,553321,54201.5,379718,37590.5,1.02261,0.0406477,11.5075,3.28963,617378,1.48058e+06,4754.03,40697.9,-4.20983,62.6952,0.5,1
6F:10:8D:F9:1F:02,48,4208.8,40906.5,-1808.72,42291.5,-6518.16,78012.7,-775.102,19276.1,541410,159836,367162,110862,1.00174,0.0538376,14.2131,4.28941,214497,430665,2552.08,34397.9,11.6127,83.4822,0,1.75
73:71:C5:5D:7D:61,3,-18188.8,0,-129567,51532.4,-120795,479.124,-92270.2,37652.5,456910,45322.6,308673,29342.9,0.997675,0.00245675,17.479,1.53797,191126,347133,-141517,44683.6,44.3048,53.661,6,5.5
74:60:E4:8E:7F:04,3831,3224.14,47043.7,-4573.14,46242.1,-7095.46,89367,-1513.87,16417.8,544614,104999,375445,68808.9,0.999716,0.0485327,13.3118,4.67165,382826,1.32986e+06,-4998.57,37743.3,6.59512,89.2939,0,1
76:77:02:6E:24:75,772,-5449.88,46696.3,-4236.74,42766.5,-17838.1,92044.4,-1445.31,14979.2,547765,66864.5,378279,54833.9,1.00043,0.0566829,12.9141,4.20927,443951,1.30172e+06,-3543.72,39227,7.67718,84.9693,0,1
78:06:2A:45:E7:00,789,3342.78,51819.2,-2224.68,46093.6,-17108.4,86114.9,-1973.62,17634.9,548334,61875.5,379904,49733.5,1.0064,0.0504025,13.0569,4.08924,387195,1.47561e+06,-3711.58,37201.3,9.17662,77.0488,0.5,1
7C:27:93:C5:D7:87,2,-203.331,4578.97,17810.3,17470.1,,,4644.04,1443.62,567785,25685.9,397725,22280.4,1.06752,0.0703972,11.7926,1.39901,935976,929878,-3221.12,20854.3,-29.1148,26.9073,0.5,0.5
7D:A6:21:51:79:4E,349,-5225.39,46601.5,-4447.66,44074.1,-11317.7,101339,-4391.31,16033.3,545559,75217.7,375351,46699.3,1.00706,0.0573077,12.7547,4.55314,449210,1.45233e+06,-6219.03,37600.4,1.79227,74.3967,0.5,1
9C:3E:53:2E:1F:06,64,8700.89,46350.7,3262.82,39966,-12593.8,53038.8,-3588.51,18514.7,549137,71212.8,375815,54867.6,1.01042,0.0655753,12.4244,4.07187,487978,1.13156e+06,610.12,42187.8,5.81691,72.5242,0,1.625
