mac,count,cfo_two_stage_hz_median,cfo_two_stage_hz_iqr,cfo_hz_median,cfo_hz_iqr,cfo_preaa_hz_median,cfo_preaa_hz_iqr,cfo_centroid_hz_median,cfo_centroid_hz_iqr,cfo_std_hz_median,cfo_std_hz_iqr,cfo_std_hz_sym_median,cfo_std_hz_sym_iqr,iq_gain_alpha_median,iq_gain_alpha_iqr,psd_pnr_db_median,psd_pnr_db_iqr,bw_3db_hz_median,bw_3db_hz_iqr,psd_centroid_hz_median,psd_centroid_hz_iqr,iq_phase_deg_median,iq_phase_deg_iqr,rise_time_us_median,rise_time_us_iqr
15:BF:A6:A8:46:8F,77,-4865.89,74542.1,2392.44,42047.1,-30458.2,58551.1,-840.902,13868.8,549577,40762.2,375885,30151.5,0.995328,0.0632374,13.0527,3.9473,337449,1.03409e+06,-10200.1,26711.8,-3.06768,110.853,0.5,2
1B:39:BF:1E:63:E2,435,-4719.14,46272.7,-4845.26,40611.2,-2781.54,83456,-1078.03,13431.2,549517,66553,380631,51843.3,1.00004,0.0429487,13.4878,4.02745,290679,968750,-3029.85,34109.2,-4.41153,89.6021,0.5,1
28:DE:65:EE:0D:84,80,-4396.23,39126.6,-7224.93,32897.9,25596.4,124991,-1270.46,15385.7,550183,53303.3,376766,46337.2,0.990877,0.0502242,12.6485,4.0827,516791,1.25686e+06,-12930.1,34622.8,-20.6543,100.938,0,0.5
28:DE:65:EE:0D:90,4,72856.9,0,-21394.4,44348.4,-26907.7,18765.2,6834.25,36580.3,502290,126355,355161,86674.5,1.00544,0.0115182,14.1316,5.59368,384362,297979,6839.13,34440.5,35.1903,20.1352,0.25,15.625
28:DE:65:EE:5E:F5,5,-7139.26,28624.8,16237.6,36029.9,53392.8,3345.82,-2531.49,18540.4,542465,193349,374044,105296,1.03717,0.0491832,17.7118,6.13765,290196,376612,-8607.41,16005.2,-19.3907,19.5484,0,0.5
2C:3B:9F:45:D3:B1,229,-8371.17,35842.1,-6021,35377.4,-17992.8,115987,-14.4718,13496.1,549823,56536.9,379503,41777,0.991682,0.0499249,13.6,3.72165,395833,918561,641.718,28507,12.4467,108.642,0,1
2C:5D:B1:2A:42:F4,684,-3182.42,47482.7,-2591.39,36200.8,5777.39,84576.8,-624.521,13452.3,548652,70500.3,380013,50920,0.997135,0.0443292,13.7722,3.87441,289847,897135,-4220.78,32748.4,-5.27506,97.7594,0,1
35:84:23:AB:80:D5,458,-599.529,46774.9,-0.00224805,34103,-599.469,92038.7,-839.645,13813,550433,81221.2,380544,67973.7,1.00133,0.0504771,13.7335,5.08315,315680,1.23674e+06,-2947.34,32050.1,-3.14778,86.8747,0.5,1
44:FC:F9:5E:E1:E5,1,,,-38774.2,0,-124702,0,4195.53,0,566775,0,397996,0,1.04879,0,11.1955,0,893293,0,1036.98,0,14.1558,0,0,0
49:D2:CB:35:7E:90,4264,2118.65,54135.1,-1511.46,40515.1,4364.12,84581,-1368.78,14486.7,549654,57865.3,380295,47848.4,0.998761,0.0527897,13.3157,4.46458,375000,1.19229e+06,-3359.2,37357.7,6.8692,93.5258,0.5,1
