mac,cluster
05:5B:2D:49:AF:F9,1
18:0D:E7:B6:85:85,1
28:DE:65:EE:0D:84,1
2C:3B:9F:45:D3:B1,1
35:2B:D6:2E:06:84,1
3C:7D:A8:55:37:B4,1
49:D2:CB:35:7E:90,1
4A:6F:1C:E5:66:AA,1
4D:45:FD:B0:89:E6,1
4F:66:9C:87:4F:CB,1
51:C6:80:52:AF:88,0
54:F7:62:0B:4A:94,1
59:8C:23:C0:F0:22,1
5C:FE:E7:8D:B1:0F,1
5D:37:BC:E0:8D:21,1
5D:F0:8B:9A:55:B6,1
5F:51:39:0B:03:30,1
60:3A:5C:03:35:22,1
64:90:DA:94:E5:42,1
6A:F5:D3:24:C0:DB,1
6F:10:8D:F9:1F:02,1
73:71:C5:5D:7D:61,0
74:60:E4:8E:7F:04,1
76:77:02:6E:24:75,1
78:06:2A:45:E7:00,1
7D:A6:21:51:79:4E,1
9C:3E:53:2E:1F:06,1
C0:7B:7D:19:E6:AD,1
C0:E9:81:6B:2F:76,1
C1:76:67:78:3E:68,1
C2:70:FF:06:C5:A6,1
C2:FC:B6:A6:DA:3D,1
C5:DE:D3:77:AA:E2,1
C6:18:0F:82:7C:45,1
C8:22:D1:0C:E1:D5,1
C8:B6:AF:85:31:8B,1
CC:A1:45:69:6D:5C,1
CC:D9:87:F4:79:63,1
CD:22:7A:61:D3:5B,1
CE:32:07:D2:E5:13,1
CE:B7:F2:EE:9D:6F,1
CF:26:BC:1D:91:71,1
CF:77:66:23:68:2B,1
CF:DE:AB:D7:F5:82,1
D0:46:EA:4B:6C:C8,1
D4:78:22:7F:11:B9,1
D4:87:05:BB:98:C3,1
D4:B5:30:7D:0D:09,1
D5:49:7B:CE:C7:EB,1
D6:80:67:ED:62:8B,1
D8:3B:E8:CB:19:8B,1
D8:AA:98:55:81:04,1
D9:20:F6:14:31:84,1
D9:96:91:74:88:60,1
DD:15:12:E1:93:98,1
DD:9F:13:BB:E1:35,1
DD:D1:39:4D:26:E6,1
E0:E4:50:5D:92:78,1
E3:14:CC:54:76:DD,1
E4:94:64:FB:E1:DD,1
E5:77:83:69:CD:51,1
E6:9C:B9:A1:77:B6,1
EA:22:05:4B:52:37,1
EC:98:CF:82:BE:5A,1
ED:5E:68:8A:E6:D3,1
EE:7E:7F:83:FC:16,1
EF:39:65:6B:AE:FF,1
EF:AC:87:B2:14:CA,1
F1:9A:74:13:CE:E9,1
F7:B7:F8:06:29:4A,1
FC:10:D9:58:D5:68,1
FD:03:BE:79:82:6D,1
FE:0E:A5:2A:D9:69,1
FE:1C:86:5B:C6:5E,1
FE:59:8F:35:CF:73,1
