mac,cluster
15:BF:A6:A8:46:8F,0
1B:39:BF:1E:63:E2,0
28:DE:65:EE:0D:84,0
28:DE:65:EE:0D:90,0
28:DE:65:EE:5E:F5,0
2C:3B:9F:45:D3:B1,0
2C:5D:B1:2A:42:F4,0
35:84:23:AB:80:D5,0
49:D2:CB:35:7E:90,0
4A:6F:1C:E5:66:AA,0
4B:5E:79:F2:CB:0C,0
4D:45:FD:B0:89:E6,0
4E:0F:A6:8E:30:44,0
4F:66:9C:87:4F:CB,0
54:F7:62:0B:4A:94,0
58:ED:24:F3:BA:16,1
59:8C:23:C0:F0:22,0
5D:37:BC:E0:8D:21,0
5E:16:51:F1:F1:42,0
5F:51:39:0B:03:30,0
60:3A:5C:03:35:22,0
62:73:34:25:65:93,1
63:E4:9D:1A:6A:5D,0
6A:F5:D3:24:C0:DB,0
6F:10:8D:F9:1F:02,0
72:06:FC:03:40:4F,0
74:60:E4:8E:7F:04,0
76:77:02:6E:24:75,0
78:06:2A:45:E7:00,0
79:48:F9:5A:0A:DC,0
7C:27:93:C5:D7:87,0
7F:E2:F2:82:CB:C8,0
9C:3E:53:2E:1F:06,0
C0:7B:7D:19:E6:AD,0
C0:E9:81:6B:2F:76,0
C1:76:67:78:3E:68,0
C2:70:FF:06:C5:A6,0
C2:FC:B6:A6:DA:3D,0
C5:DE:D3:77:AA:E2,0
C6:18:0F:82:7C:45,0
C8:B6:AF:85:31:8B,0
CC:A1:45:69:6D:5C,0
CE:32:07:D2:E5:13,0
CE:B7:F2:EE:9D:6F,0
CF:77:66:23:68:2B,0
CF:B9:E2:DC:A2:E1,0
D4:78:22:7F:11:B9,0
D6:80:67:ED:62:8B,0
D8:3B:E8:CB:19:8B,0
D9:20:F6:14:31:84,0
DD:9F:13:BB:E1:35,0
EA:22:05:4B:52:37,0
ED:5E:68:8A:E6:D3,0
EF:39:65:6B:AE:FF,0
EF:AC:87:B2:14:CA,0
F4:63:12:1D:97:B1,0
F7:B7:F8:06:29:4A,0
F9:11:EE:0B:3B:2A,0
F9:CE:1B:30:82:4D,0
FC:10:D9:58:D5:68,0
FE:0E:A5:2A:D9:69,0
FE:1C:86:5B:C6:5E,0
