pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
0,1764713919.207041979,37,0,DF:62:EF:89:F6:2F,8E89BED6,16324.654900,1506.567198,16324.655654,217716.387564,185716.280121,0.990739,57.728899,0.000000,204.140510,23.961035,239583.333333,192.000000,-9109.012695,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,47132.781250,15046.755859,2323462,2323846,51070.180196,-68377.306760,38311.393961,53995.407652
1,1764713919.215802431,37,0,DF:62:EF:89:F6:2F,8E89BED6,15591.410722,1998.143839,15591.410258,217621.026533,197925.998194,0.993921,53.712244,0.000000,846.740617,23.889426,239583.333333,192.000000,-9032.963867,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,47132.781250,15286.005859,2323463,2323847,49668.540175,-61482.195651,45179.855263,43761.743266
2,1764713919.623810768,37,0,DF:62:EF:89:F6:2F,8E89BED6,17408.729794,612.895694,17408.728872,212538.734190,180236.215572,1.027567,-15.752654,0.000000,1046.368437,23.543749,239583.333333,192.000000,-9191.711914,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,34335.476562,15086.095703,6325106,6325490,49317.294262,-69327.169212,44115.884031,56314.254025
3,1764713919.632373571,37,0,DF:62:EF:89:F6:2F,8E89BED6,16750.511547,1238.716956,16750.512839,212368.728631,198460.140655,1.028002,-13.088487,0.000000,1697.830377,23.497018,239583.333333,192.000000,-9101.694336,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,34335.476562,15320.625000,6325107,6325491,50472.288479,-58100.007676,50624.629746,37936.195944
6,1764713920.048113346,37,0,DF:62:EF:89:F6:2F,8E89BED6,16760.545536,2905.895694,16760.547268,226801.663527,183574.637819,0.956856,88.581760,0.000000,644.195388,24.092675,239583.333333,192.000000,-8488.804688,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,36689.414062,14811.298828,10334509,10334893,48573.182596,-67820.541301,39110.134617,58715.806645
7,1764713920.056934834,37,0,DF:62:EF:89:F6:2F,8E89BED6,16033.479756,3556.677800,16033.478816,226881.896090,204571.830038,0.959973,88.590325,0.000000,1281.775478,24.045136,239583.333333,192.000000,-8414.718750,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,36689.414062,15047.707031,10334510,10334894,48180.799858,-58952.585308,49986.316244,41105.811156
8,1764713920.465245962,37,0,DF:62:EF:89:F6:2F,8E89BED6,16848.305610,2799.834562,16848.304294,239168.193678,205273.468064,0.968575,62.548710,0.000000,1596.225515,24.316504,239583.333333,192.000000,-9494.704102,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,10395.052734,12706.019531,14330132,14330516,48946.986923,-65900.506671,46492.784210,52533.205237
9,1764713920.874543428,37,0,DF:62:EF:89:F6:2F,8E89BED6,15841.275061,256.403991,15841.277791,214289.860336,190062.157220,0.970058,-65.186571,0.000000,1118.151726,25.054716,239583.333333,192.000000,-10868.792969,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,3575.492188,15054.590820,18326543,18326927,46615.710755,-67634.521091,47236.297088,55056.165026
10,1764713921.284968615,37,0,DF:62:EF:89:F6:2F,8E89BED6,17255.300274,2009.162028,17255.299103,229710.735205,186207.822307,1.014667,33.482308,0.000000,682.794978,23.753793,239583.333333,192.000000,-8229.514648,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,79240.898438,14750.023438,22326969,22327353,51452.695820,-67032.101269,39824.704430,53510.436806
11,1764713921.295450449,37,0,DF:62:EF:89:F6:2F,8E89BED6,16566.302740,2614.880273,16566.301443,231180.988237,201385.112273,1.011319,35.973756,0.000000,1324.849381,23.791851,239583.333333,192.000000,-8131.159180,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,76950.843750,14985.998047,22326970,22327354,49595.216102,-62628.371349,48551.024843,46516.728893
12,1764713921.707242727,37,0,DF:62:EF:89:F6:2F,8E89BED6,17339.561752,811.905362,17339.562340,237751.133695,204750.392364,1.027830,-24.345081,0.000000,2055.590583,24.067946,239583.333333,192.000000,-9265.848633,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,12248.398438,17006.111328,26322798,26323182,48120.606596,-65338.482231,42208.919127,60681.797024
13,1764713922.118224382,37,0,DF:62:EF:89:F6:2F,8E89BED6,18309.498183,4619.248003,18309.498084,216182.789119,182377.866543,1.019490,-30.425717,0.000000,2809.365916,24.264553,239583.333333,192.000000,-9447.903320,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,43195.214844,14994.960938,30323903,30324287,49936.875425,-67563.509255,44493.230263,58644.302211
14,1764713922.127563715,37,0,DF:62:EF:89:F6:2F,8E89BED6,17826.902286,5233.798120,17826.903528,216498.807767,199787.208028,1.021143,-28.300212,0.000000,3451.476575,24.259709,239583.333333,192.000000,-9335.200195,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,42285.261719,15230.511719,30323904,30324288,51413.993567,-58564.090675,51211.922942,41100.912173
