pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
0,1764277989.748233318,37,0,C9:06:43:F9:43:3F,8E89BED6,-15947.168176,3292.539325,-15947.168570,335435.493125,249568.438628,0.980349,55.563060,2.500000,7689.897514,21.183234,367021.276596,376.000000,-8410.345703,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7071.142090,-4529.995117,254971,255723,-11083.839538,-51479.136633,-24441.169776,-7361.884604
1,1764277991.705651045,37,0,C9:06:43:F9:43:3F,8E89BED6,-16080.909393,4258.580441,-16080.909570,345452.257139,246974.021539,1.010688,39.517478,3.000000,7403.040274,21.106465,367021.276596,376.000000,-8373.389648,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-42416.613281,-12164.848633,4267010,4267762,-25027.742076,-63219.938549,-13369.260180,17948.476785
2,1764277991.741724253,37,0,C9:06:43:F9:43:3F,8E89BED6,-15803.500769,4443.392310,-15803.501283,345139.405197,260978.284693,1.009381,40.275751,3.000000,7263.473049,21.060790,367021.276596,376.000000,-8380.340820,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-42416.613281,-12218.697266,4267011,4267763,3893.209591,-26388.094635,-30792.900235,-8113.071146
3,1764277993.686396837,37,0,C9:06:43:F9:43:3F,8E89BED6,-14970.611850,4497.758183,-14970.610908,339131.550620,257503.227877,0.984753,-53.282351,3.000000,8546.136488,21.133114,367021.276596,376.000000,-8174.502441,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-51550.914062,-1796.052124,8280587,8281339,-17576.198683,-55060.185759,-24401.807996,2317.763689
4,1764277993.731636047,37,0,C9:06:43:F9:43:3F,8E89BED6,-14518.556827,4683.935312,-14518.555995,339133.690165,267887.893791,0.986205,-52.679188,3.000000,8405.954043,21.117046,367021.276596,376.000000,-8034.171875,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-47619.390625,-1858.127319,8280588,8281340,13069.825224,-7168.663876,-22792.257280,-9643.984046
5,1764277995.908930063,37,0,C9:06:43:F9:43:3F,8E89BED6,-16579.360540,4137.011417,-16579.361231,346260.985717,270877.346124,1.071265,7.935257,2.500000,6921.898090,21.083142,369680.851064,376.000000,-9250.765625,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-14931.886719,-18481.884766,12293415,12294167,-6900.074673,-46641.085109,-26878.871284,-9477.670105
6,1764277997.884108782,37,0,C9:06:43:F9:43:3F,8E89BED6,-16265.916825,3781.711128,-16265.916355,346893.605672,253263.750032,1.036480,-30.552116,3.000000,7424.585733,21.179637,367021.276596,376.000000,-8471.085938,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-72185.960938,-13595.481445,16299585,16300337,-18603.167591,-62352.553117,-23667.465046,9494.014165
7,1764277997.924900293,37,0,C9:06:43:F9:43:3F,8E89BED6,-15912.877477,3964.584327,-15912.876615,346926.786824,263242.346426,1.038271,-29.949954,3.000000,7284.482519,21.202972,367021.276596,376.000000,-8476.138672,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-72185.960938,-13638.755859,16299586,16300338,6139.131312,-20692.948958,-30190.855118,-10848.330804
8,1764277999.895578384,37,0,C9:06:43:F9:43:3F,8E89BED6,-16901.549908,2567.331303,-16901.550776,327436.267809,241217.007045,0.943600,-73.394384,2.500000,6879.965138,21.003144,369680.851064,376.000000,-9889.987305,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-19665.560547,-2811.905762,20312593,20313345,-24816.878919,-74659.084394,-21497.028705,10407.381243
9,1764277999.933879614,37,0,C9:06:43:F9:43:3F,8E89BED6,-16692.048110,2740.033621,-16692.047579,326218.121303,243485.579895,0.942966,-73.023580,2.500000,6737.763585,21.011673,369680.851064,376.000000,-9974.447266,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-19665.560547,-2938.412354,20312594,20313346,5892.694062,-37451.141007,-31589.820804,-21751.268548
10,1764278001.994304180,37,0,C9:06:43:F9:43:3F,8E89BED6,-15552.918465,5541.753192,-15552.918216,331909.722599,254352.914397,0.977770,53.442847,2.500000,8035.173582,21.039959,367021.276596,376.000000,-8355.639648,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-29016.261719,-5255.205566,24326661,24327413,-12223.794698,-48509.449783,-25645.725747,-1694.609058
11,1764278002.042042255,37,0,C9:06:43:F9:43:3F,8E89BED6,-15091.803293,5728.239216,-15091.802987,331254.359839,266763.268588,0.976590,54.032316,2.500000,7890.914685,21.054308,367021.276596,376.000000,-8164.014648,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-29016.261719,-5340.687012,24326662,24327414,11628.597724,1583.792733,-31665.302319,-257.524176
12,1764278003.964331150,37,0,C9:06:43:F9:43:3F,8E89BED6,-15737.370501,4670.587344,-15737.369754,349292.893733,251541.088267,1.038220,24.790383,2.500000,7663.597101,21.148027,367021.276596,376.000000,-8680.826172,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-8412.246094,-936.459656,28337531,28338283,-1780.400651,-39252.774942,-28999.442163,-5997.259847
13,1764278006.044819117,37,0,C9:06:43:F9:43:3F,8E89BED6,-16324.847619,3351.077695,-16324.847286,357341.312233,272514.307416,0.919146,70.993673,3.000000,7398.838269,21.392207,369680.851064,376.000000,-10315.178711,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-44054.773438,-3164.134033,32345835,32346587,-17185.273963,-62591.367344,-24672.480266,-4590.193659
