pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
26,1764737867.653403044,37,0,E6:8A:8A:72:EC:EE,8E89BED6,-19121.455450,15528.754016,-19121.456118,344574.721145,274814.291753,1.023575,-12.727720,19.500000,-4552.090393,20.099057,71808.510638,376.000000,12126.837891,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-87275.945312,-20508.888672,872071,872823,-21369.478535,-44031.291175,-37112.707053,32531.213258
27,1764737867.685528278,37,0,E6:8A:8A:72:EC:EE,8E89BED6,-19584.083943,15527.677747,-19584.083443,344322.800995,303122.467243,1.023382,-10.913212,19.500000,-4243.852239,20.059540,71808.510638,376.000000,12012.205078,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-92130.445312,-20469.369141,872072,872824,-7357.298990,-74542.414603,-21696.856692,20393.494429
41,1764737867.767938375,37,0,D0:4C:2D:AB:57:F6,8E89BED6,2555.944284,7131.162232,2555.943008,329033.948813,247372.216295,0.942688,-66.867156,2.500000,17701.545002,21.112340,223404.255319,376.000000,3719.728516,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-4977.504883,8662.614258,1379966,1380718,-15000.588161,37438.852144,-5282.505423,-4242.772309
42,1764737867.800430298,37,0,D0:4C:2D:AB:57:F6,8E89BED6,3118.631337,7062.243160,3118.630971,328907.026292,255883.052103,0.941485,-67.494407,2.500000,17503.969646,21.092099,231382.978723,376.000000,3864.183350,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-4977.504883,8624.922852,1379967,1380719,-12673.966674,29499.843884,-5411.380250,2406.660365
61,1764737867.924208403,37,0,DE:1A:F7:08:42:A2,8E89BED6,9226.585095,12995.125260,9226.586302,328839.653100,248725.022091,0.993169,48.508153,2.000000,23044.153514,25.164052,239361.702128,376.000000,6512.833496,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,12973.829102,12133.313477,2309879,2310631,-16810.152370,-3534.749156,18225.015312,34819.153847
153,1764737868.254220724,37,0,D0:4C:2D:AB:57:F6,8E89BED6,-446.959988,7430.803017,-446.958925,353336.152557,265227.375478,1.071619,3.942427,2.500000,14415.887522,20.785147,279255.319149,376.000000,3422.769775,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,5634.051270,3167.293457,5380394,5381146,-18017.521916,32158.072279,-11028.091155,-1661.871160
182,1764737868.376894236,37,0,DE:1A:F7:08:42:A2,8E89BED6,10853.374787,13027.398600,10853.375400,325150.286868,241559.153968,1.037127,23.637287,49.500000,24297.630563,25.344794,239361.702128,376.000000,7624.988281,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,12669.504883,3815.983154,6309634,6310386,-15768.266213,-3577.940025,20854.684260,38419.173717
232,1764737868.534183025,37,0,CF:61:8F:B6:3D:99,8E89BED6,-43861.737724,-1015.707595,-43861.737817,308901.844661,247991.876123,1.032473,29.709376,97.500000,-18536.500328,19.739578,367021.276596,376.000000,-1586.565674,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-56484.273438,-31186.441406,7514775,7515527,-57532.808618,-75748.020925,-24483.207027,-21430.115222
293,1764737868.696976662,37,0,E6:8A:8A:72:EC:EE,8E89BED6,-6686.862820,11597.470215,-6686.861691,366939.049290,280072.067126,0.997808,45.717099,105.500000,-2211.050432,18.588734,71808.510638,376.000000,10510.983398,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,21142.195312,3510.438965,8884763,8885515,-19249.967245,12187.954077,-31815.073313,38583.525342
369,1764737868.872938395,37,0,DE:1A:F7:08:42:A2,8E89BED6,-811.255995,9106.295834,-811.254840,309779.606305,248797.404542,1.017864,34.563706,96.000000,14977.273504,23.399183,239361.702128,376.000000,4055.918945,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,43556.703125,28429.521484,10318380,10319132,-25055.721499,-21016.399949,13369.492440,26924.041637
