pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
34,1764744683.754528522,37,0,EA:04:20:40:B0:B8,8E89BED6,5703.430660,315.456902,5703.431019,328170.359856,240743.211048,1.161215,-4.029324,2.500000,29695.113809,22.961035,351063.829787,376.000000,690.292114,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,751.652222,1297.884399,1120896,1121648,-10951.823141,-31050.832116,21475.383143,55491.404007
35,1764744683.800366402,37,0,EA:04:20:40:B0:B8,8E89BED6,6141.629101,26.227258,6141.628596,327486.595257,252041.122387,1.162762,-3.787559,2.500000,29576.164806,22.926346,351063.829787,376.000000,628.258179,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,751.652222,1245.426758,1120897,1121649,-11901.224298,-28861.807613,43945.690255,33796.984648
45,1764744683.859398842,37,0,D4:E1:DC:28:D4:25,8E89BED6,7337.530848,4244.843471,7337.531540,330413.231862,251219.936458,1.016805,-40.953596,79.500000,23795.716163,22.622135,300531.914894,376.000000,2332.064453,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,19830.707031,11791.717773,1342417,1343169,6473.195475,22200.267533,2128.609372,1376.775639
46,1764744683.890987158,37,0,D4:E1:DC:28:D4:25,8E89BED6,6853.762361,4310.567854,6853.762599,330498.854580,260141.473746,1.018694,-40.513994,79.500000,23711.768168,22.642756,300531.914894,376.000000,2182.613525,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,13452.321289,11826.528320,1342418,1343170,-1901.145288,205.811654,6939.530426,25733.572209
57,1764744684.133889675,37,0,EA:C0:88:E3:3E:C9,8E89BED6,56484.794191,5122.509343,56484.794019,352368.228833,262969.847214,1.012154,-39.996536,2.500000,71992.384551,21.896858,327127.659574,376.000000,21919.033203,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,78041.687500,56554.468750,1526320,1527072,73379.651612,47136.783456,82649.315071,44768.555473
58,1764744684.165484190,37,0,EA:C0:88:E3:3E:C9,8E89BED6,56950.729166,5139.660363,56950.728957,351092.312857,263017.892693,1.012062,-40.148360,2.500000,71867.708786,21.782216,327127.659574,376.000000,21581.410156,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,78272.351562,56492.027344,1526321,1527073,67892.699851,84072.838162,75019.596685,27195.707310
63,1764744684.207984686,37,0,D9:7E:E6:38:FD:A9,8E89BED6,10344.011565,10663.642851,10344.012362,351190.583780,261918.711424,0.975498,75.744332,2.000000,23725.484201,22.344850,324468.085106,376.000000,2952.800049,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-9363.092773,1450.447510,1539249,1540001,-20806.348061,54419.049576,17985.789171,-8805.363924
64,1764744684.241297007,37,0,D9:7E:E6:38:FD:A9,8E89BED6,10938.056630,10516.270442,10938.057433,349962.800716,275097.260022,0.977331,75.003314,2.000000,23505.744648,22.302384,324468.085106,376.000000,3061.045898,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-9109.183594,1505.264404,1539250,1540002,-11091.953033,58742.717195,-14143.797697,7419.065518
67,1764744684.279505730,37,0,C4:C3:B6:D4:F7:D5,8E89BED6,24601.254761,3745.198552,24601.255453,341985.891810,251124.604623,1.023831,-9.501527,116.500000,32052.820980,20.650216,484042.553191,376.000000,13768.516602,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-8771.977539,11300.368164,1591357,1592109,30009.919790,20237.257772,2609.617165,53301.177144
71,1764744684.316983461,37,2,E9:B0:67:C7:76:88,8E89BED6,53240.416821,21372.427494,53240.418031,367608.794267,272736.043164,1.014308,-33.910325,42.500000,50622.960749,22.252591,297872.340426,376.000000,25762.099609,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,141951.484375,39640.343750,1651962,1652714,52330.539372,28502.604251,72237.079297,42338.774702
72,1764744684.349964857,37,2,E9:B0:67:C7:76:88,8E89BED6,52715.482589,21269.325642,52715.481658,367047.748081,286362.605943,1.012273,-35.067401,42.500000,50450.285867,22.281074,297872.340426,376.000000,26041.238281,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,141344.593750,39670.601562,1651963,1652715,66472.265948,27938.792865,34383.161313,61823.949238
79,1764744684.400751591,37,0,D0:4C:2D:AB:57:F6,8E89BED6,3451.011713,6788.063229,3451.013738,336904.116467,266414.756927,1.033887,22.563415,2.000000,18730.849234,20.680358,279255.319149,376.000000,3060.132812,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1779.294312,9733.666016,1876451,1877203,-22148.841189,38536.592035,7800.971821,3086.979012
