label,src_file,dev_ids_per_window_mean,dev_ids_per_window_p90,segments_per_window_mean,segments_per_window_p90,long_segment_frac,heavy_segment_frac,active_cfo_frac,seg_n_packets_p50,seg_n_packets_p90,seg_duration_obs_p50,seg_duration_obs_p90,cfo_std_norm_p50,cfo_std_norm_p90,cfo_std_norm_p99,CFO_Hz_std_p50,CFO_Hz_std_p90,CFO_00_Hz_std_p50,CFO_00_Hz_std_p90,CFO_11_Hz_std_p50,CFO_11_Hz_std_p90,CFO_10_Hz_std_p50,CFO_10_Hz_std_p90,CFO_01_Hz_std_p50,CFO_01_Hz_std_p90
Benign,controlled/Benign/airport.csv,753.5,1165.1,753.5,1165.1,0.09356337093563372,0.017252820172528202,0.27471798274717985,1.0,4.0,0.0,264.7298000000012,0.0,29694.05883863522,44620.60445854028,9294.270715283146,15512.276922779118,10937.0355764573,19387.97379689969,9435.341180526277,17335.599709115937,11188.4776153874,19129.97924288221,12191.38380925991,21416.367432043684
Benign,controlled/Benign/background_only.csv,30.333333333333332,40.8,30.333333333333332,40.8,0.6373626373626373,0.4065934065934066,0.967032967032967,25.0,66.0,362.41900000000896,971.3830000000016,27802.860850378634,32119.95194225433,37072.02852366188,9848.127293854095,12661.724369008796,13587.418544258857,16515.322745507234,9846.417764112894,12553.40116657872,12554.344396612516,16879.02595792115,15048.715429749216,18310.70262646563
Benign,controlled/Benign/nycab.csv,100.5,168.1,100.5,168.1,0.12437810945273632,0.03980099502487562,0.30845771144278605,1.0,6.0,0.0,354.16999999999825,0.0,26984.73189293037,40329.330484565864,9573.710473104717,15116.324185903382,11621.603824989761,17291.586627770128,7785.245660863888,12129.99256718651,8166.120877420473,13654.685372897588,11553.02513911761,20070.16532380837
Benign,controlled/Benign/prud1_jan21_ivy.csv,327.3333333333333,430.8,327.3333333333333,430.8,0.035641547861507125,0.024439918533604887,0.23014256619144602,1.0,3.0,0.0,77.36349999999985,0.0,28697.166679457914,42136.43540201241,9818.252374388065,16653.456091137945,11921.559193094301,19160.624828295528,8928.8282515489,16391.778320376172,11189.609268557564,19091.51613792361,13489.47713666677,22336.55843695667
Benign,controlled/Benign/prud2_jan21_ivy.csv,446.0,544.8,446.0,544.8,0.07997010463378176,0.01868460388639761,0.26681614349775784,1.0,4.0,0.0,248.687800000007,0.0,27759.40282590874,42219.11732444862,9038.439467076161,15704.305444501437,10319.713400413146,18393.17667641792,8414.68243310465,15345.271170702628,9650.981108621772,17321.295363528985,13110.628390737034,20619.23429213306
Benign,controlled/Benign/tobos1.csv,238.0,238.0,238.0,238.0,0.10504201680672269,0.03361344537815126,0.29411764705882354,1.0,5.0,0.0,307.00060000000326,0.0,28379.028256508253,39316.3113633962,10331.786870105072,17405.28205555731,11520.98420101502,20238.45673773077,8113.5806905933205,12473.626031641084,9688.996573912207,15982.672329897541,11817.11051164975,20187.019182674274
Benign,controlled/Benign/tobos2.csv,193.4,273.0,193.4,273.0,0.13960703205791106,0.03412616339193381,0.2957600827300931,1.0,5.0,0.0,405.30940000000265,0.0,27538.766132375702,39722.91472048782,9595.701858592529,14643.103108763979,11755.80314236165,20895.35893745307,8652.366184170078,14439.474025219894,9548.76969929047,15134.225632125279,12632.947861935168,20239.28634751345
Benign,controlled/Benign/tony.csv,353.6666666666667,512.4,353.6666666666667,512.4,0.08388312912346843,0.02827521206409048,0.23751178133836004,1.0,3.0,0.0,233.90600000000268,0.0,27459.176733128905,40382.12597142444,9669.624510990921,15774.353905783306,11781.534230174479,18073.117011095692,9116.917754934297,14887.677986034036,11221.624645722904,18095.964768706704,12524.710272120501,20083.566807507905
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-10s.csv,12.0,15.0,12.666666666666666,16.0,0.8157894736842105,0.2894736842105263,0.8947368421052632,9.0,82.60000000000001,552.8746873140335,1608.9934333324431,33783.22588586247,58903.41539606425,73493.96392583042,10207.15211088174,15155.97671662835,18832.311340337794,28222.106377794575,18611.92005592435,30777.35597167268,17074.02751654164,32149.712857853156,15861.814630909033,27479.03732187988
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-15min.csv,7.666666666666667,11.8,7.666666666666667,11.8,0.30434782608695654,0.6086956521739131,0.9130434782608695,64.0,85.80000000000001,219.77218437194824,736.7962359428407,17107.334751527673,52017.40275768906,54083.25312457224,3019.955585292259,12585.244291169773,8570.803474600687,24697.457278829534,10951.889440811541,27997.549097747677,5589.235785547986,26072.04430939953,6861.845797717601,19542.750055295197
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-1min.csv,10.0,14.6,10.666666666666666,15.6,0.65625,0.34375,0.96875,10.0,83.80000000000001,606.004557132721,1127.257588887215,44171.52910895452,60485.48362997657,70183.2334613228,9031.15845481163,15776.172508494587,17828.905899363534,26022.035273240494,18693.859712698424,31976.26080287249,15552.681519264932,32578.67329836833,19364.9249021804,27546.99871254907
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-2s.csv,12.333333333333334,15.0,13.0,16.0,0.7948717948717948,0.28205128205128205,0.8461538461538461,9.0,82.4,517.7974693775177,1608.858450317383,31692.477161080817,53880.2617869154,63686.326727376465,10410.922991082798,14889.648129975445,15046.407602391268,28083.948434774826,18285.35353180434,30058.17393511831,15287.558525406941,28156.80084909863,15447.832016893011,28757.149882986516
