label,src_file,n_packets,n_segments,n_windows,eco_frac_apple,eco_frac_google,eco_frac_tile,eco_frac_samsung,eco_frac_unknown,adv_tag_pkt_frac,seg_packets_p50,seg_packets_p90,seg_duration_obs_p50,cfo_std_norm_p50,cfo_std_norm_p90
Benign,controlled/Benign/airport.csv,5848,1507,2,0.5523255813953488,0.4476744186046512,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,29694.05883863522
Benign,controlled/Benign/background_only.csv,2976,91,3,0.8306451612903226,0.1693548387096774,0.0,0.0,0.0,0.0,25.0,66.0,362.41900000000896,27802.860850378634,32119.95194225433
Benign,controlled/Benign/nycab.csv,1309,201,2,0.4385026737967914,0.5614973262032086,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,26984.73189293037
Benign,controlled/Benign/prud1_jan21_ivy.csv,3757,982,3,0.4833643864785733,0.454618046313548,0.061751397391535796,0.00026616981634282674,0.0,0.0,1.0,3.0,0.0,0.0,28697.166679457914
Benign,controlled/Benign/prud2_jan21_ivy.csv,4836,1338,3,0.46567411083540117,0.47435897435897434,0.059760132340777504,0.00020678246484698098,0.0,0.0,1.0,4.0,0.0,0.0,27759.40282590874
Benign,controlled/Benign/tobos1.csv,1454,238,1,0.5845942228335625,0.4154057771664374,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,28379.028256508253
Benign,controlled/Benign/tobos2.csv,5891,967,5,0.44525547445255476,0.5545747750806315,0.00016975046681378373,0.0,0.0,0.0,1.0,5.0,0.0,0.0,27538.766132375702
Benign,controlled/Benign/tony.csv,4937,1061,3,0.5385861859428803,0.33319829856187966,0.023090945918574034,0.105124569576666,0.0,0.0,1.0,3.0,0.0,0.0,27459.176733128905
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-10s.csv,1225,38,3,0.8089795918367347,0.1910204081632653,0.0,0.0,0.0,0.0,9.0,82.60000000000001,552.8746873140335,33783.22588586247,58903.41539606425
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-15min.csv,1225,23,3,0.8089795918367347,0.1910204081632653,0.0,0.0,0.0,0.0,64.0,85.80000000000001,219.77218437194824,17107.334751527673,52017.40275768906
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-1min.csv,1225,32,3,0.8089795918367347,0.1910204081632653,0.0,0.0,0.0,0.0,10.0,83.80000000000001,606.004557132721,44171.52910895452,60485.48362997657
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-2s.csv,1225,39,3,0.8089795918367347,0.1910204081632653,0.0,0.0,0.0,0.0,9.0,82.4,517.7974693775177,31692.477161080817,53880.2617869154
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-30s.csv,1225,36,3,0.8089795918367347,0.1910204081632653,0.0,0.0,0.0,0.0,10.0,83.0,515.5025207996368,43681.148250053746,56125.980762313804
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-5min.csv,1225,26,3,0.8089795918367347,0.1910204081632653,0.0,0.0,0.0,0.0,23.5,94.0,217.6977071762085,19052.723554929493,53393.46278071138
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-10s.csv,1178,38,3,0.801358234295416,0.19864176570458403,0.0,0.0,0.0,0.0,7.0,82.30000000000001,534.0968290567398,30953.64116456788,61334.22360251085
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-15min.csv,1178,23,3,0.801358234295416,0.19864176570458403,0.0,0.0,0.0,0.0,49.0,85.80000000000001,219.77218437194824,16929.23115624828,44629.8450317476
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-1min.csv,1178,34,3,0.801358234295416,0.19864176570458403,0.0,0.0,0.0,0.0,8.0,84.4,570.8670144081116,35831.52956197071,58511.43583909635
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-2s.csv,1178,37,3,0.801358234295416,0.19864176570458403,0.0,0.0,0.0,0.0,7.0,81.8,535.215039730072,29622.702518844126,61377.05185959323
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-30s.csv,1178,36,3,0.801358234295416,0.19864176570458403,0.0,0.0,0.0,0.0,8.0,82.5,542.1302362680435,30573.295309025285,55479.49753173138
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-5min.csv,1178,25,3,0.801358234295416,0.19864176570458403,0.0,0.0,0.0,0.0,23.0,86.6,220.19681930541992,18960.256804079778,53000.97135491643
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-10s.csv,1078,34,3,0.7829313543599258,0.21706864564007422,0.0,0.0,0.0,0.0,2.5,81.4,407.85685420036316,21576.93611872135,61072.02319667761
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-15min.csv,1078,22,3,0.7829313543599258,0.21706864564007422,0.0,0.0,0.0,0.0,41.5,86.4,219.89949452877045,17619.216182579006,40566.82088598223
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-1min.csv,1078,33,3,0.7829313543599258,0.21706864564007422,0.0,0.0,0.0,0.0,3.0,81.6,531.3614974021912,20549.14433931377,53209.04540884203
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-2s.csv,1078,34,3,0.7829313543599258,0.21706864564007422,0.0,0.0,0.0,0.0,3.0,80.4,504.22541093826294,19389.93390843828,57577.129593968435
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-30s.csv,1078,34,3,0.7829313543599258,0.21706864564007422,0.0,0.0,0.0,0.0,3.0,80.7,503.6102396249771,19274.172429960472,58742.56679202467
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-5min.csv,1078,28,3,0.7829313543599258,0.21706864564007422,0.0,0.0,0.0,0.0,8.5,82.80000000000001,217.5703970193863,17319.924940174766,48491.337435035806
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-10s.csv,1595,41,3,0.8532915360501567,0.14670846394984327,0.0,0.0,0.0,0.0,26.0,88.0,539.8298637866974,45880.68476504258,53531.79757134549
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-15min.csv,1595,20,3,0.8532915360501567,0.14670846394984327,0.0,0.0,0.0,0.0,76.5,215.3,219.89949452877045,18184.454561652405,46048.58295660495
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-1min.csv,1595,34,3,0.8532915360501567,0.14670846394984327,0.0,0.0,0.0,0.0,27.5,91.4,572.8412984609604,45670.18192917966,56011.698252860246
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-2s.csv,1595,47,3,0.8532915360501567,0.14670846394984327,0.0,0.0,0.0,0.0,27.0,87.19999999999999,564.6533041000366,34510.92824526912,53677.412109204015
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-30s.csv,1595,37,3,0.8532915360501567,0.14670846394984327,0.0,0.0,0.0,0.0,28.0,92.19999999999999,539.8298637866974,47356.139870516665,52796.091604906345
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-5min.csv,1595,25,3,0.8532915360501567,0.14670846394984327,0.0,0.0,0.0,0.0,69.0,88.80000000000001,220.19681930541992,19138.266241411744,51842.7139008073
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-10s.csv,1117,36,3,0.7905102954341987,0.20948970456580127,0.0,0.0,0.0,0.0,4.0,81.5,482.81624495983124,23204.35867619061,61005.98922553744
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-15min.csv,1117,23,3,0.7905102954341987,0.20948970456580127,0.0,0.0,0.0,0.0,29.0,85.80000000000001,219.77218437194824,17107.334751527673,52618.96643884473
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-1min.csv,1117,35,3,0.7905102954341987,0.20948970456580127,0.0,0.0,0.0,0.0,5.0,81.6,535.215039730072,26322.55353552181,63385.74166798177
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-2s.csv,1117,36,3,0.7905102954341987,0.20948970456580127,0.0,0.0,0.0,0.0,4.5,81.0,516.6756541728973,24272.955416226403,57578.435949187566
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-30s.csv,1117,36,3,0.7905102954341987,0.20948970456580127,0.0,0.0,0.0,0.0,4.0,81.0,542.4036720991135,30018.972469573273,64170.91350014416
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-5min.csv,1117,26,3,0.7905102954341987,0.20948970456580127,0.0,0.0,0.0,0.0,17.0,84.0,219.89949452877045,18963.718836263506,57876.58135383799
