pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
0,1764713957.108104944,37,0,FA:83:EB:19:FD:BB,8E89BED6,-33255.830340,-3506.837860,-33255.830807,348293.317532,279106.005257,1.002505,26.638631,27.500000,-17882.414611,18.537486,324468.085106,376.000000,8448.118164,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-63395.480469,-42626.242188,706368,707120,-35332.650512,-97684.737073,10884.070339,2234.465554
1,1764713957.139503002,37,0,FA:83:EB:19:FD:BB,8E89BED6,-32995.221804,-3564.831193,-32995.222616,347761.318474,287669.535123,1.003552,14.473791,27.500000,-17661.909068,18.549687,324468.085106,376.000000,8340.281250,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-62857.757812,-42550.015625,706369,707121,-28153.460609,-84136.120661,-670.858744,-12293.785092
2,1764713957.968406200,37,0,FA:83:EB:19:FD:BB,8E89BED6,-39050.155959,-3159.530441,-39050.155031,339820.584109,271571.319589,0.998846,50.202985,20.000000,-20075.403727,19.460114,465425.531915,376.000000,5571.485352,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-144103.531250,-53686.808594,8714662,8715414,-32007.200943,-118283.771887,10405.995569,-3042.864894
3,1764713958.000749111,37,0,FA:83:EB:19:FD:BB,8E89BED6,-38502.869886,-3139.044999,-38502.870565,339422.836289,299680.180288,1.000549,42.191150,20.000000,-19828.415444,19.465596,465425.531915,376.000000,5653.186523,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-144103.531250,-53541.085938,8714663,8715415,-19292.697229,-99143.896015,-12076.775017,-22866.826916
4,1764713958.432564974,37,0,FA:83:EB:19:FD:BB,8E89BED6,-33042.739736,-2999.869857,-33042.738799,322187.412768,266252.969224,1.008623,-10.179772,28.000000,-18103.076574,18.802830,555851.063830,376.000000,8791.162109,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-61003.160156,-47477.632812,12716307,12717059,-35622.838047,-88716.196805,6913.424425,-2637.598703
5,1764713958.864019394,37,0,FA:83:EB:19:FD:BB,8E89BED6,-37614.384165,-2973.842538,-37614.385608,349054.803148,277726.939580,1.009364,2.935235,20.000000,-18606.806477,19.206773,465425.531915,376.000000,7233.662109,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-15914.959961,-42634.976562,16726908,16727660,-25579.000509,-111177.450312,3536.528508,-9697.374505
6,1764713959.291161776,37,0,FA:83:EB:19:FD:BB,8E89BED6,-37889.004305,-1399.178240,-37889.003027,348418.941591,283619.784198,1.006650,2.836549,20.000000,-18542.755993,19.087969,587765.957447,376.000000,6086.851074,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-30092.955078,-49294.585938,20748678,20749430,-23603.255407,-109918.379436,1424.235843,-12739.898774
7,1764713959.725478411,37,0,FA:83:EB:19:FD:BB,8E89BED6,-32949.079009,-2238.188396,-32949.080599,352055.073818,292907.135412,1.006498,11.423920,27.500000,-17943.120231,18.969025,324468.085106,376.000000,9403.377930,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-57921.265625,-48221.199219,24770569,24771321,-34773.492807,-90576.158134,7678.752773,-1344.631220
8,1764713960.559260130,37,0,FA:83:EB:19:FD:BB,8E89BED6,-39159.014574,-3527.623096,-39159.015281,330372.816755,271521.095713,0.996504,72.524488,20.000000,-20104.384861,20.088245,372340.425532,376.000000,5577.945801,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-132763.781250,-47404.160156,32793416,32794168,-32990.778254,-118490.530709,9844.464289,-1808.793405
9,1764713960.591018200,37,0,FA:83:EB:19:FD:BB,8E89BED6,-38644.053964,-3517.639041,-38644.054549,329220.028796,275853.824394,0.998086,69.254268,20.000000,-19859.007679,20.090144,372340.425532,376.000000,5614.317383,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-132763.781250,-47245.812500,32793417,32794169,-19180.944677,-97815.450555,-13059.501950,-23555.416763
