pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
0,1763953610.856736660,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36144.516315,-36144.516315,-36144.516315,244997.214754,244997.214754,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36144.515625,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-79243.632812,-50709.910156,7358337,7358721
1,1763953611.298748970,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40220.631814,-40220.631814,-40220.631814,260016.492805,260016.492805,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40220.632812,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-91837.601562,-56451.960938,11370352,11370736
3,1763953612.683820009,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-39842.879516,-39842.879516,-39842.879516,257383.680456,257383.680456,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-39842.878906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-131250.093750,-54938.949219,23400885,23401269
4,1763953612.684067726,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40719.690744,-40719.690744,-40719.690744,257155.156896,257155.156896,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40719.691406,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-131250.093750,-55614.226562,23400886,23401270
5,1763953613.582560062,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-35537.804883,-35537.804883,-35537.804883,237103.181915,237103.181915,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35537.804688,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-125212.703125,-53271.707031,31413554,31413938
6,1763953613.582782745,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36501.792754,-36501.792754,-36501.792754,236782.637819,236782.637819,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36501.792969,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-125212.703125,-53880.925781,31413555,31413939
8,1763953614.044466496,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-39840.930024,-39840.930024,-39840.930024,255959.452166,255959.452166,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-39840.929688,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-127818.492188,-54893.726562,35429997,35430381
9,1763953614.044639587,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40738.274506,-40738.274506,-40738.274506,255721.538557,255721.538557,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40738.273438,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-127818.492188,-55568.320312,35429998,35430382
10,1763953615.001080751,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36060.358512,-36060.358512,-36060.358512,238652.706896,238652.706896,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36060.359375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-60996.562500,-53606.445312,43432991,43433375
11,1763953615.932566881,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-35965.071898,-35965.071898,-35965.071898,244242.452918,244242.452918,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35965.070312,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-72005.539062,-53728.933594,51468240,51468624
12,1763953617.293528080,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-35974.303044,-35974.303044,-35974.303044,237693.926682,237693.926682,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35974.304688,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-62411.687500,-53750.941406,63498252,63498636
13,1763953618.223730087,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-39417.444946,-39417.444946,-39417.444946,256017.020493,256017.020493,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-39417.445312,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-129105.515625,-54933.031250,71509503,71509887
14,1763953618.223919392,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40317.511537,-40317.511537,-40317.511537,255775.152007,255775.152007,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40317.511719,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-129105.515625,-55605.125000,71509504,71509888
15,1763953618.705578804,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36010.758708,-36010.758708,-36010.758708,241669.477800,241669.477800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36010.757812,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-93583.382812,-53234.210938,75510737,75511121
16,1763953618.705821276,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36958.976800,-36958.976800,-36958.976800,241364.660807,241364.660807,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36958.976562,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-93583.382812,-53840.003906,75510738,75511122
17,1763953619.152263641,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36451.388977,-36451.388977,-36451.388977,242744.484966,242744.484966,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36451.390625,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-137640.250000,-53283.234375,79531817,79532201
18,1763953619.152489901,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-37260.896718,-37260.896718,-37260.896718,242634.915574,242634.915574,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-37260.898438,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-137640.250000,-53881.597656,79531818,79532202
19,1763953620.087064743,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-35714.744448,-35714.744448,-35714.744448,243008.961685,243008.961685,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35714.746094,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-121193.453125,-55522.062500,87559346,87559730
20,1763953620.087295055,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36311.886114,-36311.886114,-36311.886114,242891.095206,242891.095206,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36311.886719,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-121193.453125,-56188.601562,87559347,87559731
21,1763953620.569530010,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-35918.644237,-35918.644237,-35918.644237,237490.351010,237490.351010,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35918.644531,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-59404.292969,-53684.410156,91574508,91574892
22,1763953621.022064209,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-39622.558361,-39622.558361,-39622.558361,253502.841247,253502.841247,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-39622.558594,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-68297.234375,-55362.109375,95574498,95574882
23,1763953621.496319771,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-34637.832731,-34637.832731,-34637.832731,239411.062010,239411.062010,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-34637.832031,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-104579.437500,-53229.007812,99594340,99594724
