pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
0,1764395459.946939707,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-16739.240976,-508.066917,-16739.241778,365935.430164,284964.692630,0.979898,-67.367007,56.000000,-35582.779016,19.263217,228723.404255,376.000000,6487.484375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-29505.898438,-23721.705078,2756403,2757155,25543.670228,-4130.390846,-102319.817903,7106.693644
1,1764395459.982118845,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-16050.612148,-486.187024,-16050.611859,364634.404271,298846.788536,0.981419,-66.855096,56.000000,-35317.413877,19.288074,228723.404255,376.000000,6872.402344,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-29221.236328,-23683.017578,2756404,2757156,7922.364823,-71100.266481,-90126.587574,38120.549754
2,1764395461.954291105,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-23011.594344,-30.061724,-23011.594870,351837.726726,278049.305470,0.976916,-58.604413,99.000000,-36118.301700,19.801127,372340.425532,376.000000,8669.170898,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-76036.445312,-33757.253906,6760323,6761075,4814.102939,-16053.359444,-87916.250839,27053.375197
3,1764395461.989523649,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22345.144560,-43.656752,-22345.145637,351978.124016,278154.461153,0.976204,-59.420081,75.000000,-35822.594996,19.857164,372340.425532,376.000000,9076.116211,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-74616.101562,-33674.546875,6760324,6761076,-954.042338,-65580.917649,-54714.775507,49562.399756
4,1764395463.987912893,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22224.830385,-98.864133,-22224.829876,346814.962876,279466.377560,1.012848,26.757971,100.000000,-33295.482223,20.651963,5319.148936,376.000000,12786.172852,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-17596.615234,-25786.525391,10775647,10776399,4395.903991,-35888.068035,-63825.834374,52911.754261
5,1764395468.157353878,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-24469.706315,-3355.673168,-24469.706676,340418.984021,270008.098594,1.001213,42.617161,95.000000,-36124.952337,20.897329,156914.893617,376.000000,8528.257812,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-22695.552734,-41439.082031,18810522,18811274,2699.959039,-30959.412415,-61939.224159,54942.426792
6,1764395470.156740189,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22898.100306,-1152.357367,-22898.101218,352813.287411,271770.815854,0.983319,68.566007,97.000000,-34666.736695,20.569115,164893.617021,376.000000,9110.814453,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-104559.820312,-36181.222656,22828490,22829242,13023.820953,472.098479,-101010.510984,-101.997267
7,1764395470.195225954,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22303.003074,-1216.343809,-22303.001442,352709.119488,278762.690307,0.984230,68.910785,97.000000,-34400.397140,20.617512,164893.617021,376.000000,9583.653320,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-104559.820312,-36059.781250,22828491,22829243,8950.569892,-36048.730255,-68559.967981,46697.323023
8,1764395472.325699091,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-14379.922469,-1950.839062,-14379.920914,364410.987264,299054.675067,1.009090,-7.192990,26.500000,-31686.974233,19.284747,146276.595745,376.000000,10990.214844,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-15068.603516,-29113.164062,26840931,26841683,18953.137435,-30817.900515,-77585.721656,26772.277017
9,1764395478.349299192,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-14011.735105,-1650.498317,-14011.734164,368272.970537,289104.313338,0.999733,-45.646303,30.500000,-32707.179339,19.852184,279255.319149,376.000000,8592.441406,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-11913.507812,-24608.595703,38874415,38875167,18350.186952,-35246.758503,-82555.184739,38662.094559
