chunk_index,start_byte,timestamp_ms,formatted_time,lat,lon,accuracy_m,alt,speed,loc_ts
0,0,1769641294419,18:01:34.419,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
1,262144,1769641294751,18:01:34.751,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
2,524288,1769641295208,18:01:35.208,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
3,786432,1769641295810,18:01:35.810,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
4,1048576,1769641296245,18:01:36.245,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
5,1310720,1769641296619,18:01:36.619,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
6,1572864,1769641297077,18:01:37.077,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
7,1835008,1769641297511,18:01:37.511,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
8,2097152,1769641297962,18:01:37.962,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
9,2359296,1769641298528,18:01:38.528,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
10,2621440,1769641299148,18:01:39.148,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
11,2883584,1769641299725,18:01:39.725,42.3448447,-71.0826676,10.16,-1.100000023841858,0.10069041,1769641292657
12,3145728,1769641300264,18:01:40.264,42.3448429,-71.0826704,9.206,-1.100000023841858,0.022331303,1769641299708
13,3407872,1769641300764,18:01:40.764,42.3448429,-71.0826704,9.206,-1.100000023841858,0.022331303,1769641299708
14,3670016,1769641301228,18:01:41.228,42.3448429,-71.0826704,9.206,-1.100000023841858,0.022331303,1769641299708
15,3932160,1769641301638,18:01:41.638,42.3448429,-71.0826704,9.206,-1.100000023841858,0.022331303,1769641299708
16,4194304,1769641302123,18:01:42.123,42.3448429,-71.0826704,9.206,-1.100000023841858,0.022331303,1769641299708
17,4456448,1769641302510,18:01:42.510,42.3448429,-71.0826704,9.206,-1.100000023841858,0.022331303,1769641299708
18,4718592,1769641302943,18:01:42.943,42.3448429,-71.0826704,9.206,-1.100000023841858,0.022331303,1769641299708
19,4980736,1769641303435,18:01:43.435,42.3448429,-71.0826704,9.206,-1.100000023841858,0.022331303,1769641299708
