chunk_index,start_byte,timestamp_ms,formatted_time,lat,lon,accuracy_m,alt,speed,loc_ts
0,0,1769642934195,18:28:54.195,42.3498563,-71.0780382,16.165,-32.82576014962116,0.13328068,1769642907121
1,262144,1769642934709,18:28:54.709,42.3498563,-71.0780382,16.165,-32.82576014962116,0.13328068,1769642907121
2,524288,1769642935275,18:28:55.275,42.3498563,-71.0780382,16.165,-32.82576014962116,0.13328068,1769642907121
3,786432,1769642935763,18:28:55.763,42.3498563,-71.0780382,16.165,-32.82576014962116,0.13328068,1769642907121
4,1048576,1769642936244,18:28:56.244,42.3498563,-71.0780382,16.165,-32.82576014962116,0.13328068,1769642907121
5,1310720,1769642936642,18:28:56.642,42.3498563,-71.0780382,16.165,-32.82576014962116,0.13328068,1769642907121
6,1572864,1769642937023,18:28:57.023,42.3498563,-71.0780382,16.165,-32.82576014962116,0.13328068,1769642907121
7,1835008,1769642937440,18:28:57.440,42.3498563,-71.0780382,16.165,-32.82576014962116,0.13328068,1769642907121
8,2097152,1769642937881,18:28:57.881,42.3498563,-71.0780382,16.165,-32.82576014962116,0.13328068,1769642907121
9,2359296,1769642938343,18:28:58.343,42.3498563,-71.0780382,16.165,-32.82576014962116,0.13328068,1769642907121
10,2621440,1769642938841,18:28:58.841,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
11,2883584,1769642939237,18:28:59.237,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
12,3145728,1769642939644,18:28:59.644,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
13,3407872,1769642940163,18:29:00.163,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
14,3670016,1769642940668,18:29:00.668,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
15,3932160,1769642941131,18:29:01.131,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
16,4194304,1769642941593,18:29:01.593,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
17,4456448,1769642941969,18:29:01.969,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
18,4718592,1769642942430,18:29:02.430,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
19,4980736,1769642942850,18:29:02.850,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
20,5242880,1769642943364,18:29:03.364,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
21,5505024,1769642943854,18:29:03.854,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
22,5767168,1769642944271,18:29:04.271,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
23,6029312,1769642944622,18:29:04.622,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
24,6291456,1769642945037,18:29:05.037,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
25,6553600,1769642946016,18:29:06.016,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
26,6815744,1769642946656,18:29:06.656,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
27,7077888,1769642947012,18:29:07.012,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
28,7340032,1769642947555,18:29:07.555,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
29,7602176,1769642948292,18:29:08.292,42.3497112,-71.0779922,24.9,-32.317498021292835,0.0,1769642938164
30,7864320,1769642948985,18:29:08.985,42.3497298,-71.0779971,38.91,-32.097708977368704,0.118898034,1769642948685
31,8126464,1769642949383,18:29:09.383,42.3497335,-71.0779999,38.911,-32.097708977368704,0.15163878,1769642949151
32,8388608,1769642949722,18:29:09.722,42.3497335,-71.0779999,38.911,-32.097708977368704,0.15163878,1769642949151
33,8650752,1769642950722,18:29:10.722,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
34,8912896,1769642951339,18:29:11.339,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
