src_file,confusion,gt_pos,pred_pos,tp,fp,fn,tn,precision,recall,f1,hours,ttd_s,tx_tok,rot_tok,tx_s,rot_s,core_density,WINDOW_S,DENSITY_MIN,PERIODIC_MODE,PERIODIC_BLOCK_S,PERIODIC_STEP_S,PERIODIC_MIN_PERSISTENCE_S
controlled/Car_Trip/scenarios_car_trip_final__adv0_apple0_google0_samsung0_tile0__20260130_035922/background_only.csv,TN,False,False,0,0,0,1,0.0,0.0,0.0,0.5498739576339723,,,,,,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-1min_rot-15min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,1min,15min,60.0,900.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-2s_rot-10s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,2s,10s,2.0,10.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-1min_rot-15min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,1min,15min,60.0,900.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-30s_rot-1min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,30s,1min,30.0,60.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-2s_rot-2s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,2s,2s,2.0,2.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260130_040718/scenario_tx-1min_rot-15min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,1min,15min,60.0,900.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260130_040718/scenario_tx-10s_rot-15min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,10s,15min,10.0,900.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260130_040718/scenario_tx-15s_rot-15min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,15s,15min,15.0,900.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260130_040718/scenario_tx-10s_rot-10s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,10s,10s,10.0,10.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260130_040718/scenario_tx-10s_rot-30s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,10s,30s,10.0,30.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260130_040718/scenario_tx-30s_rot-1min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,30s,1min,30.0,60.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv2_apple0_google0_samsung0_tile0__advtag-4c001219ff-4c001219fe__20260130_041026/scenario_tx-10s_rot-15min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,10s,15min,10.0,900.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260130_040718/scenario_tx-30s_rot-15min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,30s,15min,30.0,900.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv2_apple0_google0_samsung0_tile0__advtag-4c001219ff-4c001219fe__20260130_041026/scenario_tx-1min_rot-15min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,1min,15min,60.0,900.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-2s_rot-2s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,2s,2s,2.0,2.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv2_apple0_google0_samsung0_tile0__advtag-4c001219ff-4c001219fe__20260130_041026/scenario_tx-10s_rot-30s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,10s,30s,10.0,30.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv2_apple0_google0_samsung0_tile0__advtag-4c001219ff-4c001219fe__20260130_041026/scenario_tx-30s_rot-15min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498739576339723,2700.0,30s,15min,30.0,900.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv2_apple0_google0_samsung0_tile0__advtag-4c001219ff-4c001219fe__20260130_041026/scenario_tx-2s_rot-10s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498790425724454,2700.0,2s,10s,2.0,10.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv2_apple0_google0_samsung0_tile0__advtag-4c001219ff-4c001219fe__20260130_041026/scenario_tx-2s_rot-2s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5498790425724454,2700.0,2s,2s,2.0,2.0,,300,1.0,True,1500.0,1200.0,1700.0
controlled/Car_Trip/scenarios_car_trip_final__adv4_apple0_google0_samsung0_tile0__advtag-4c001219fc-4c001219fd-4c001219fe-4c001219ff__20260130_041124/scenario_tx-2s_rot-2s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,0.5503529636727439,2700.0,2s,2s,2.0,2.0,,300,1.0,True,1500.0,1200.0,1700.0
