src_file,confusion,gt_pos,pred_pos,tp,fp,fn,tn,precision,recall,f1,hours,ttd_s,tx_tok,rot_tok,tx_s,rot_s,core_density,core_density_max,WINDOW_S,DENSITY_MIN,PERIODIC_MODE,PERIODIC_BLOCK_S,PERIODIC_STEP_S,PERIODIC_MIN_PERSISTENCE_S
controlled/HtoW/scenarios_Home_to_work__adv0_apple0_google0_samsung0_tile0__20260130_081034/background_only.csv,FP,False,True,0,1,0,0,0.0,0.0,0.0,1.8596313177877002,7200.0,,,,,1.2878827500629129,1.2878827500629129,300,1.0,True,1800.0,1800.0,2400.0
controlled/WtoH/scenarios_Work_to_home__adv0_apple0_google0_samsung0_tile0__20260130_042543/background_only.csv,TN,False,False,0,0,0,1,0.0,0.0,0.0,1.7450529344214334,3600.0,,,,,0.9090236566242158,0.9090236566242158,300,1.0,True,1800.0,1800.0,2400.0
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260202_005824/scenario_tx-15s_rot-15s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,1.746912286347813,3600.0,15s,15s,15.0,15.0,0.9569290881880542,0.9569290881880542,300,1.0,True,1800.0,1800.0,2400.0
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260202_005824/scenario_tx-2s_rot-2s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,1.746912286347813,3600.0,2s,2s,2.0,2.0,0.9136974696844156,0.9136974696844156,300,1.0,True,1800.0,1800.0,2400.0
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260202_005853/scenario_tx-2s_rot-2s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,1.7460505862368478,3600.0,2s,2s,2.0,2.0,0.9280877595004009,0.9280877595004009,300,1.0,True,1800.0,1800.0,2400.0
controlled/Airport/scenarios_airport_total_trip__adv0_apple0_google0_samsung0_tile0__20260130_033342/background_only.csv,FP,False,True,0,1,0,0,0.0,0.0,0.0,2.925384619500902,10800.0,,,,,1.5749856241543838,1.5749856241543838,300,1.0,True,1800.0,1800.0,2400.0
controlled/Car_Trip/scenarios_car_trip_final__adv0_apple0_google0_samsung0_tile0__20260201_205457/background_only.csv,TN,False,False,0,0,0,1,0.0,0.0,0.0,1.053612549437417,3600.0,,,,,0.9996604438511494,0.9996604438511494,300,1.0,True,1800.0,1800.0,2400.0
controlled/Car_Trip/scenarios_car_trip_final__adv0_apple0_google0_samsung1_tile0__20260202_005237/scenario_tx-10s_rot-10s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,1.053612549437417,3600.0,10s,10s,10.0,10.0,0.9996604438511494,0.9996604438511494,300,1.0,True,1800.0,1800.0,2400.0
controlled/Car_Trip/scenarios_car_trip_final__adv0_apple0_google0_samsung1_tile0__20260202_005237/scenario_tx-1min_rot-1min.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,1.053612549437417,3600.0,1min,1min,60.0,60.0,0.9996604438511494,0.9996604438511494,300,1.0,True,1800.0,1800.0,2400.0
controlled/Car_Trip/scenarios_car_trip_final__adv0_apple0_google0_samsung1_tile0__20260202_005237/scenario_tx-15s_rot-15s.csv,FN,True,False,0,0,1,0,0.0,0.0,0.0,1.053612549437417,3600.0,15s,15s,15.0,15.0,0.9996604438511494,0.9996604438511494,300,1.0,True,1800.0,1800.0,2400.0
