adv_setting,tp,fp,fn,tn,precision,recall,f1,scenario
adv0,0,1,0,0,0.0,0.0,0.0,HtoW
adv1,20,0,0,0,1.0,1.0,1.0,HtoW
adv2,5,0,0,0,1.0,1.0,1.0,HtoW
adv3,5,0,0,0,1.0,1.0,1.0,HtoW
adv4,5,0,0,0,1.0,1.0,1.0,HtoW
adv0,0,0,0,1,0.0,0.0,0.0,WtoH
adv1,17,0,3,0,1.0,0.85,0.9189189189189189,WtoH
adv2,5,0,0,0,1.0,1.0,1.0,WtoH
adv3,5,0,0,0,1.0,1.0,1.0,WtoH
adv4,5,0,0,0,1.0,1.0,1.0,WtoH
adv0,0,1,0,0,0.0,0.0,0.0,Airport
adv0,15,0,5,1,1.0,0.75,0.8571428571428571,Car_Trip
adv1,15,0,5,0,1.0,0.75,0.8571428571428571,Car_Trip
adv2,5,0,0,0,1.0,1.0,1.0,Car_Trip
adv3,5,0,0,0,1.0,1.0,1.0,Car_Trip
adv4,5,0,0,0,1.0,1.0,1.0,Car_Trip
