pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_joint_hz,iq_off_i,iq_off_q,iq_eps,iq_phi_deg,amp_a,fit_iters,fit_cost,cfo_exact_quick_hz,cfo_exact_ls_hz
0,1762515825.284591,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.593750,109415.289062,0.953905,81.119293,0.000000,54169.328871,26.220390,94827.586207,232.000000,53087.832031,50406.804215,0.287150,-0.253582,-0.452653,53.416178,0.193250,13,18.4893,43983.593750,43983.593750
1,1762515825.304034,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.593750,109415.289062,0.953905,81.119293,0.000000,54169.328871,26.220390,94827.586207,232.000000,53087.832031,50406.804215,0.287150,-0.253582,-0.452653,53.416178,0.193250,13,18.4893,0.000000,0.000000
2,1762515825.315824,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.593750,109415.289062,0.953905,81.119293,0.000000,54169.328871,26.220390,94827.586207,232.000000,53087.832031,50406.804215,0.287150,-0.253582,-0.452653,53.416178,0.193250,13,18.4893,40108.613281,40108.613281
3,1762515825.325575,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.593750,109415.289062,0.953905,81.119293,0.000000,54169.328871,26.220390,94827.586207,232.000000,53087.832031,50406.804215,0.287150,-0.253582,-0.452653,53.416178,0.193250,13,18.4893,0.000000,0.000000
4,1762515825.334174,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.593750,109415.289062,0.953905,81.119293,0.000000,54169.328871,26.220390,94827.586207,232.000000,53087.832031,50406.804215,0.287150,-0.253582,-0.452653,53.416178,0.193250,13,18.4893,52090.281250,52090.281250
5,1762515825.342177,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.593750,109415.289062,0.953905,81.119293,0.000000,54169.328871,26.220390,94827.586207,232.000000,53087.832031,50406.804215,0.287150,-0.253582,-0.452653,53.416178,0.193250,13,18.4893,0.000000,0.000000
6,1762515825.349685,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.593750,109415.289062,0.953905,81.119293,0.000000,54169.328871,26.220390,94827.586207,232.000000,53087.832031,50406.804215,0.287150,-0.253582,-0.452653,53.416178,0.193250,13,18.4893,53549.085938,53549.085938
7,1762515825.356815,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.593750,109415.289062,0.953905,81.119293,0.000000,54169.328871,26.220390,94827.586207,232.000000,53087.832031,50406.804215,0.287150,-0.253582,-0.452653,53.416178,0.193250,13,18.4893,0.000000,0.000000
8,1762515825.363609,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.593750,109415.289062,0.953905,81.119293,0.000000,54169.328871,26.220390,94827.586207,232.000000,53087.832031,50406.804215,0.287150,-0.253582,-0.452653,53.416178,0.193250,13,18.4893,46167.585938,46167.585938
9,1762515825.370229,37,0,e5:10:31:12:54:30,,50406.804688,38311.558594,58178.875000,135416.593750,109415.289062,0.953905,81.119293,0.000000,54169.328871,26.220390,94827.586207,232.000000,53087.832031,50406.804215,0.287150,-0.253582,-0.452653,53.416178,0.193250,13,18.4893,0.000000,0.000000
